site,tick,user_name,user_steamid,event_type
235,7822,4TAYLOR,76561198852710277,planted
234,15022,Majesticzz,76561198144801954,planted
235,36483,spamzzy,76561198003724030,planted
234,54340,Majesticzz,76561198144801954,planted
234,94006,juna,76561198366358433,planted
235,102242,juna,76561198366358433,planted
234,110947,tender272,76561197993724724,planted
235,127655,micro,76561198072040762,planted
234,142244,sathsea,76561198401647782,planted
234,95445,Majesticzz,76561198144801954,defused
235,129079,spamzzy,76561198003724030,defused
234,144447,4TAYLOR,76561198852710277,defused
