site,tick,user_name,user_steamid,event_type
413,16319,sathsea,76561198401647782,planted
413,24408,micro,76561198072040762,planted
413,35210,micro,76561198072040762,planted
186,41091,wasteyute,76561199373196281,planted
186,48891,sathsea,76561198401647782,planted
186,62148,sathsea,76561198401647782,planted
413,90910,micro,76561198072040762,planted
186,111087,sathsea,76561198401647782,planted
186,131290,4TAYLOR,76561198852710277,planted
186,143638,4TAYLOR,76561198852710277,planted
413,150660,a_m_c,76561198804371130,planted
413,181270,4TAYLOR,76561198852710277,planted
413,183583,micro,76561198072040762,defused
413,27032,micro,76561198072040762,exploded
186,133914,4TAYLOR,76561198852710277,exploded
186,146262,4TAYLOR,76561198852710277,exploded
