assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,4TAYLOR,76561198852710277,False,False,1.8863151,13,153,0,False,generic,False,False,0,0,False,2023,sathsea,76561198401647782,knife_t,17293822569102704699,0,,0
False,Majesticzz,76561198144801954,CULIACAN,76561198166020071,False,False,0.8674191,4,55,0,False,generic,False,False,0,0,False,2072,tender272,76561197993724724,knife_t,17293822569102704699,0,,0
False,,,juna,76561198366358433,False,False,1.1204005,4,55,0,False,generic,False,False,0,0,False,2107,4TAYLOR,76561198852710277,knife_skeleton,17293822569106571789,44485103306,,0
False,4TAYLOR,76561198852710277,CULIACAN,76561198166020071,False,False,1.6381023,13,153,0,False,generic,False,False,0,0,False,2190,juna,76561198366358433,knife_t,17293822569102704699,0,,0
False,,,Majesticzz,76561198144801954,False,False,1.0791276,13,153,0,False,generic,False,False,0,0,False,2251,wasteyute,76561199373196281,knife_butterfly,17293822569175450115,45837259540,,0
False,,,a_m_c,76561198804371130,False,False,0.91108614,4,55,0,False,generic,False,False,0,0,False,2508,micro,76561198072040762,knife_t,17293822569102704699,0,,0
False,,,a_m_c,76561198804371130,False,False,8.1044035,0,131,0,True,head,False,False,0,0,False,6540,tender272,76561197993724724,elite,17293822569102704642,0,,0
False,Majesticzz,76561198144801954,4TAYLOR,76561198852710277,False,False,6.6247187,0,135,0,True,head,False,False,0,0,False,6713,micro,76561198072040762,elite,17293822569102704642,0,,0
False,,,a_m_c,76561198804371130,False,False,9.624949,0,128,0,True,head,False,False,0,0,False,7112,sathsea,76561198401647782,elite,17293822569102704642,0,,0
False,,,spamzzy,76561198003724030,False,False,11.246205,0,129,0,True,head,False,False,0,0,False,7217,wasteyute,76561199373196281,usp_silencer,17293822569174925373,45820039912,,0
False,,,juna,76561198366358433,False,False,15.3331585,0,99,0,True,head,False,False,0,0,False,7318,CULIACAN,76561198166020071,glock,17293822569105850372,45153816217,,0
False,,,spamzzy,76561198003724030,False,False,24.205948,0,117,0,True,head,False,False,0,0,False,7654,juna,76561198366358433,usp_silencer,17293822569174925373,45820039912,,0
False,,,a_m_c,76561198804371130,False,False,7.3752265,0,96,0,True,head,False,False,0,0,False,10408,micro,76561198072040762,mp9,17293822569102704674,0,,0
False,tender272,76561197993724724,juna,76561198366358433,False,False,13.512338,24,87,0,True,head,False,False,0,0,False,10418,a_m_c,76561198804371130,p250,17293822569147138084,38763884987,,0
False,,,spamzzy,76561198003724030,False,False,9.159864,0,40,0,False,stomach,False,False,0,0,False,10603,tender272,76561197993724724,m4a1,17293822569102704656,0,,0
False,a_m_c,76561198804371130,spamzzy,76561198003724030,False,False,10.685131,6,29,0,False,stomach,False,False,0,0,False,10638,juna,76561198366358433,m4a1,17293822569102704656,0,,0
False,,,4TAYLOR,76561198852710277,False,False,8.263712,0,127,0,True,head,False,False,0,0,False,10672,sathsea,76561198401647782,m4a1_silencer,17293822569179119676,45861558567,,0
False,,,Majesticzz,76561198144801954,False,False,27.357567,0,77,0,True,head,False,False,0,0,False,10750,wasteyute,76561199373196281,mp9,17293822569102704674,0,,0
False,micro,76561198072040762,sathsea,76561198401647782,False,False,28.54928,30,45,0,False,generic,False,False,0,0,False,13662,Majesticzz,76561198144801954,hegrenade,,,,0
