site,tick,user_name,user_steamid,event_type
988,30208,CULIACAN,76561198166020071,planted
743,51122,a_m_c,76561198804371130,planted
743,57851,Majesticzz,76561198144801954,planted
743,68407,spamzzy,76561198003724030,planted
743,94776,micro,76561198072040762,planted
988,156333,sathsea,76561198401647782,planted
743,175928,sathsea,76561198401647782,planted
988,31873,juna,76561198366358433,defused
743,52592,tender272,76561197993724724,defused
743,59958,tender272,76561197993724724,defused
743,96558,spamzzy,76561198003724030,defused
743,178552,sathsea,76561198401647782,exploded
