assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,tender272,76561197993724724,False,True,1.8503389,4,56,0,False,generic,False,False,0,0,False,2138,Majesticzz,76561198144801954,knife,17293822569102704682,0,,0
False,Majesticzz,76561198144801954,spamzzy,76561198003724030,False,False,1.2940257,4,55,0,False,generic,False,False,0,0,False,2247,tender272,76561197993724724,knife_widowmaker,17293822569105195531,43586431217,,0
False,micro,76561198072040762,wasteyute,76561199373196281,False,False,0.9658064,1,22,0,False,generic,False,False,0,0,False,2349,spamzzy,76561198003724030,knife_falchion,17293822569102705152,39316488355,,0
False,a_m_c,76561198804371130,CULIACAN,76561198166020071,False,False,1.7449343,1,21,0,False,generic,False,False,0,0,False,2727,micro,76561198072040762,knife_t,17293822569102704699,0,,0
False,wasteyute,76561199373196281,sathsea,76561198401647782,False,False,1.5426159,4,55,0,False,generic,False,False,0,0,False,2747,4TAYLOR,76561198852710277,knife_m9_bayonet,17293822569139864060,44970148319,,0
False,,,wasteyute,76561199373196281,False,False,1.495038,13,153,0,False,generic,False,False,0,0,False,2778,CULIACAN,76561198166020071,knife_falchion,17293822569102705152,39316488355,,0
False,CULIACAN,76561198166020071,a_m_c,76561198804371130,False,False,1.6159343,4,55,0,False,generic,False,False,0,0,False,2833,juna,76561198366358433,knife_t,17293822569102704699,0,,0
False,,,wasteyute,76561199373196281,False,False,1.0620756,13,153,0,False,generic,False,False,0,0,False,2859,a_m_c,76561198804371130,knife_falchion,17293822569102705152,39316488355,,0
True,4TAYLOR,76561198852710277,CULIACAN,76561198166020071,False,False,7.6567793,0,109,0,True,head,False,False,0,0,False,6374,wasteyute,76561199373196281,glock,17293822569148186628,37262857196,,0
False,,,micro,76561198072040762,False,False,5.408677,0,135,0,True,head,False,False,0,0,False,6427,CULIACAN,76561198166020071,usp_silencer,17293822569179578429,42933777691,,0
False,a_m_c,76561198804371130,spamzzy,76561198003724030,False,False,12.364247,0,103,0,True,head,False,False,0,0,False,6474,sathsea,76561198401647782,glock,17293822569165815812,44584738570,,0
False,,,4TAYLOR,76561198852710277,False,False,8.816083,0,141,0,True,head,False,False,0,0,False,6627,tender272,76561197993724724,p250,17293822569155985444,45862577293,,0
False,sathsea,76561198401647782,micro,76561198072040762,False,False,9.632532,0,130,0,True,head,False,False,0,0,False,6852,a_m_c,76561198804371130,usp_silencer,17293822569179578429,42933777691,,0
False,,,juna,76561198366358433,False,False,12.820646,0,32,0,False,chest,False,False,0,0,False,7161,Majesticzz,76561198144801954,usp_silencer,17293822569177546813,44879497641,,0
False,Majesticzz,76561198144801954,spamzzy,76561198003724030,False,False,6.184348,0,111,0,True,head,False,False,0,0,False,7862,micro,76561198072040762,glock,17293822569165815812,44584738570,,0
False,,,spamzzy,76561198003724030,False,False,8.77996,0,107,0,True,head,False,False,0,0,False,8033,juna,76561198366358433,glock,17293822569165815812,44584738570,,0
False,,,wasteyute,76561199373196281,False,False,26.520601,5,20,0,False,chest,False,False,0,0,True,12335,a_m_c,76561198804371130,p250,17293822569178267684,28775218758,,0
False,spamzzy,76561198003724030,micro,76561198072040762,False,False,9.577638,26,295,0,True,head,False,True,0,0,True,12493,4TAYLOR,76561198852710277,ssg08,17293822569106636840,25467760260,,0
False,a_m_c,76561198804371130,spamzzy,76561198003724030,False,False,28.964312,0,138,0,True,head,False,False,0,0,True,12515,wasteyute,76561199373196281,ak47,17293822569102704647,0,,0
False,micro,76561198072040762,tender272,76561197993724724,False,False,10.237727,32,66,0,True,head,False,False,0,0,False,12738,Majesticzz,76561198144801954,usp_silencer,17293822569102704701,0,,0
False,wasteyute,76561199373196281,micro,76561198072040762,False,False,4.995623,26,297,0,True,head,False,False,0,0,True,12942,spamzzy,76561198003724030,ssg08,17293822569106636840,25467760260,,0
