site,tick,user_name,user_steamid,event_type
398,15860,Scorchyy,76561198173968051,planted
404,21463,Scorchyy,76561198173968051,planted
398,32336,---Beast,76561198057153682,planted
398,39462,Scorchyy,76561198173968051,planted
398,43959,1TyRa,76561198837643069,planted
404,57370,jsfeltner,76561198052394260,planted
398,69435,---Beast,76561198057153682,planted
404,97174,gadflyy,76561198034937989,planted
404,107858,madss,76561198174431453,planted
404,116357,lunari,76561198264316850,planted
398,133244,torii,76561198047444847,planted
398,140468,lunari,76561198264316850,planted
404,150589,madss,76561198174431453,planted
404,160250,gadflyy,76561198034937989,planted
398,169319,madss,76561198174431453,planted
404,57930,madss,76561198174431453,defused
404,117634,jsfeltner,76561198052394260,defused
398,46583,1TyRa,76561198837643069,exploded
404,110482,madss,76561198174431453,exploded
398,171943,madss,76561198174431453,exploded
