assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,torii,76561198047444847,gadflyy,76561198034937989,False,False,1.1902692,5,61,0,False,generic,False,False,0,0,False,1337,violet_,76561198103629138,knife_tactical,17293822569102705149,45235649500,,0
False,,,Scorchyy,76561198173968051,False,False,0.8190835,2,31,0,False,generic,False,False,0,0,False,1508,jsfeltner,76561198052394260,knife_butterfly,17293822569103491587,46204847983,,0
False,,,1TyRa,76561198837643069,False,False,1.2212653,13,153,0,False,generic,False,False,0,0,False,1869,torii,76561198047444847,knife_butterfly,17293822569129509379,44712505531,,0
False,,,1TyRa,76561198837643069,False,False,0.8348994,4,55,0,False,generic,False,False,0,0,False,2012,madss,76561198174431453,knife_butterfly,17293822569129509379,44712505531,,0
False,,,1TyRa,76561198837643069,False,False,0.6114273,2,30,0,False,generic,False,False,0,0,False,2307,---Beast,76561198057153682,knife_butterfly,17293822569129509379,44712505531,,0
False,,,gadflyy,76561198034937989,False,False,1.3645937,13,153,0,False,generic,False,False,0,0,False,2605,calamity,76561198882807602,knife_tactical,17293822569102705149,45235649500,,0
False,madss,76561198174431453,lunari,76561198264316850,False,False,1.2918751,13,153,0,False,generic,False,False,0,0,False,2737,1TyRa,76561198837643069,knife_gut,17293822569103032826,45861679429,,0
False,lunari,76561198264316850,Scorchyy,76561198173968051,False,False,2.6363082,3,34,0,False,generic,False,False,0,0,False,4117,gadflyy,76561198034937989,knife_butterfly,17293822569103491587,46204847983,,0
False,,,lunari,76561198264316850,False,False,1.2174852,13,153,0,False,generic,False,False,0,0,False,4237,Scorchyy,76561198173968051,knife_gut,17293822569103032826,45861679429,,0
False,,,calamity,76561198882807602,False,False,17.997534,0,95,0,True,head,False,False,0,0,False,7155,violet_,76561198103629138,glock,17293822569102704644,0,,0
False,,,gadflyy,76561198034937989,False,False,40.085964,0,104,0,True,head,False,False,0,0,False,7218,---Beast,76561198057153682,usp_silencer,17293822569163128893,44119990561,,0
False,,,lunari,76561198264316850,False,False,13.85114,0,126,0,True,head,False,False,0,0,False,7438,jsfeltner,76561198052394260,usp_silencer,17293822569177153597,35083808890,,0
False,violet_,76561198103629138,madss,76561198174431453,False,False,12.6473465,0,127,0,True,head,False,False,0,0,False,7648,calamity,76561198882807602,usp_silencer,17293822569186852925,43889590318,,0
False,,,lunari,76561198264316850,False,False,11.549452,0,128,0,True,head,False,False,0,0,False,7690,Scorchyy,76561198173968051,usp_silencer,17293822569177153597,35083808890,,0
False,,,madss,76561198174431453,False,False,27.564714,0,114,0,True,head,False,False,0,0,False,7793,1TyRa,76561198837643069,usp_silencer,17293822569186852925,43889590318,,0
False,,,calamity,76561198882807602,False,False,8.0799885,5,14,0,False,chest,False,False,0,0,False,11183,gadflyy,76561198034937989,mac10,17293822569102704657,0,,0
False,,,madss,76561198174431453,False,False,10.519864,5,26,0,False,chest,False,False,0,0,False,14158,1TyRa,76561198837643069,m4a1_silencer,17293822569167192124,42547371335,,0
False,gadflyy,76561198034937989,torii,76561198047444847,False,False,15.756897,17,53,0,True,head,False,False,0,0,False,14269,calamity,76561198882807602,mp9,17293822569106702370,43412991886,,0
False,,,madss,76561198174431453,False,False,11.768784,18,87,0,True,head,False,False,0,0,False,14341,---Beast,76561198057153682,m4a1_silencer,17293822569167192124,42547371335,,0
False,1TyRa,76561198837643069,Scorchyy,76561198173968051,False,False,9.977763,1,43,0,False,chest,False,False,0,0,False,14461,madss,76561198174431453,deagle,17293822569117908993,45019810660,,0
False,,,jsfeltner,76561198052394260,False,False,9.830299,6,170,0,True,head,False,False,0,0,False,14697,lunari,76561198264316850,deagle,17293822569189081089,44243935076,,0
False,,,Scorchyy,76561198173968051,False,False,20.062748,4,22,0,False,chest,False,False,0,0,False,17778,violet_,76561198103629138,m4a1,17293822569102704656,0,,0
False,,,Scorchyy,76561198173968051,False,False,27.493376,4,22,0,False,chest,False,False,0,0,True,17873,torii,76561198047444847,m4a1,17293822569102704656,0,,0
False,,,1TyRa,76561198837643069,False,False,24.394062,0,79,0,True,head,False,False,0,0,False,20868,gadflyy,76561198034937989,mp5sd,17293822569163194391,36496454596,,0
False,,,---Beast,76561198057153682,False,False,5.01352,0,119,0,True,head,False,False,0,0,False,21078,torii,76561198047444847,galilar,17293822569135079437,33906766851,,0
False,1TyRa,76561198837643069,calamity,76561198882807602,False,False,8.035388,0,25,0,False,chest,False,False,0,0,False,21654,violet_,76561198103629138,mac10,17293822569102704657,0,,0
False,,,---Beast,76561198057153682,False,False,5.4730196,0,119,0,True,head,False,False,0,0,False,23459,madss,76561198174431453,galilar,17293822569135079437,33906766851,,0
False,,,---Beast,76561198057153682,False,False,20.84072,0,116,0,True,head,False,False,0,0,False,23611,lunari,76561198264316850,galilar,17293822569135079437,33906766851,,0
False,,,jsfeltner,76561198052394260,False,False,11.50044,0,86,0,False,generic,False,False,0,0,False,27151,violet_,76561198103629138,hegrenade,,,,0
False,,,jsfeltner,76561198052394260,False,False,11.585026,0,6,0,False,generic,False,False,0,0,False,27159,torii,76561198047444847,inferno,,,,0
False,,,jsfeltner,76561198052394260,False,False,12.967681,0,8,0,False,generic,False,False,0,0,False,27236,lunari,76561198264316850,inferno,,,,0
False,,,jsfeltner,76561198052394260,False,False,13.362544,0,8,0,False,generic,False,False,0,0,False,27262,madss,76561198174431453,inferno,,,,0
False,Scorchyy,76561198173968051,jsfeltner,76561198052394260,False,False,15.618196,0,35,0,False,chest,False,False,0,0,False,27317,gadflyy,76561198034937989,m4a1_silencer,17293822569167192124,42547371335,,0
False,,,madss,76561198174431453,False,False,10.174908,5,25,0,False,chest,False,False,0,0,False,30235,jsfeltner,76561198052394260,m4a1_silencer,17293822569167192124,42547371335,,0
True,---Beast,76561198057153682,1TyRa,76561198837643069,False,False,13.579749,0,91,0,True,head,False,False,0,0,False,31980,violet_,76561198103629138,mp5sd,17293822569163194391,36496454596,,0
False,,,calamity,76561198882807602,False,False,9.081769,5,15,0,False,chest,False,False,0,0,False,32092,lunari,76561198264316850,mac10,17293822569102704657,0,,0
False,,,madss,76561198174431453,False,False,24.529087,5,23,0,False,chest,False,False,0,0,False,32823,Scorchyy,76561198173968051,m4a1_silencer,17293822569167192124,42547371335,,0
False,,,---Beast,76561198057153682,False,False,31.272806,0,114,0,True,head,False,False,0,0,False,33368,torii,76561198047444847,galilar,17293822569135079437,33906766851,,0
False,,,gadflyy,76561198034937989,False,False,25.57616,4,22,0,False,chest,False,False,0,0,False,33514,calamity,76561198882807602,m4a1,17293822569181937680,44135098770,,0
False,,,1TyRa,76561198837643069,False,False,27.89825,1,110,0,False,chest,False,False,0,0,False,33537,madss,76561198174431453,awp,17293822569120989193,42516020979,,0
False,,,---Beast,76561198057153682,False,False,29.8925,0,115,0,True,head,False,False,0,0,False,33669,gadflyy,76561198034937989,galilar,17293822569135079437,33906766851,,0
False,,,violet_,76561198103629138,False,False,10.025927,1,25,0,False,chest,False,False,0,0,False,38598,calamity,76561198882807602,fiveseven,17293822569179250691,38635044761,,0
False,---Beast,76561198057153682,Scorchyy,76561198173968051,False,False,28.223263,0,64,0,False,stomach,False,False,4,0,False,38643,lunari,76561198264316850,awp,17293822569120989193,42516020979,,0
False,,,1TyRa,76561198837643069,False,False,14.904042,0,35,0,False,chest,False,False,0,0,False,38679,violet_,76561198103629138,ak47,17293822569155198983,40140775463,,0
False,,,1TyRa,76561198837643069,False,False,19.175348,0,140,0,True,head,False,False,0,0,False,40198,madss,76561198174431453,ak47,17293822569155198983,40140775463,,0
