site,tick,user_name,user_steamid,event_type
322,85702,madss,76561198174431453,planted
323,121371,violet_,76561198103629138,planted
323,128044,lunari,76561198264316850,planted
322,133934,lunari,76561198264316850,planted
323,141359,torii,76561198047444847,planted
322,161610,1TyRa,76561198837643069,planted
322,169251,Scorchyy,76561198173968051,planted
323,178644,1TyRa,76561198837643069,planted
322,186581,---Beast,76561198057153682,planted
322,86400,1TyRa,76561198837643069,defused
323,121867,Scorchyy,76561198173968051,defused
322,163926,lunari,76561198264316850,defused
322,171638,gadflyy,76561198034937989,defused
322,189205,---Beast,76561198057153682,exploded
