assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,gadflyy,76561198034937989,False,False,1.0376654,2,31,0,False,generic,False,False,0,0,False,1457,violet_,76561198103629138,knife_tactical,17293822569102705149,45235649500,,0
False,,,madss,76561198174431453,False,False,1.5708708,5,61,0,False,generic,False,False,0,0,False,1569,torii,76561198047444847,knife_butterfly,17293822569143206403,33682395837,,0
False,lunari,76561198264316850,madss,76561198174431453,False,False,1.0502911,5,61,0,False,generic,False,False,0,0,False,1783,gadflyy,76561198034937989,knife_butterfly,17293822569143206403,33682395837,,0
False,,,madss,76561198174431453,False,False,0.85317135,5,62,0,False,generic,False,False,0,0,False,1924,lunari,76561198264316850,knife_butterfly,17293822569143206403,33682395837,,0
False,,,,,False,False,0.0,0,8,0,False,generic,False,False,0,0,False,3101,madss,76561198174431453,worldent,,,,0
False,,,calamity,76561198882807602,False,False,0.0,0,0,0,False,-1,False,False,0,0,False,4100,calamity,76561198882807602,world,,,,0
False,,,---Beast,76561198057153682,False,False,14.062081,0,174,0,True,head,False,False,0,0,False,6008,gadflyy,76561198034937989,deagle,17293822569165750273,33769998993,,0
False,,,---Beast,76561198057153682,False,False,14.421303,0,172,0,True,head,False,False,0,0,False,6052,madss,76561198174431453,deagle,17293822569165750273,33769998993,,0
False,,,violet_,76561198103629138,False,False,17.308622,0,124,0,True,head,False,False,0,0,False,6769,---Beast,76561198057153682,usp_silencer,17293822569144451133,43102402016,,0
False,,,violet_,76561198103629138,False,False,0.0,0,0,0,False,generic,False,False,0,0,False,13373,violet_,76561198103629138,world,,,,0
False,,,calamity,76561198882807602,False,False,0.0,0,0,0,False,-1,False,False,0,0,False,44398,calamity,76561198882807602,world,,,,0
False,,,jsfeltner,76561198052394260,False,False,30.167023,0,112,0,True,head,False,False,0,0,False,80056,violet_,76561198103629138,usp_silencer,17293822569182462013,44139780505,,0
False,,,jsfeltner,76561198052394260,False,False,14.145794,0,126,0,True,head,False,False,0,0,False,80388,lunari,76561198264316850,usp_silencer,17293822569182462013,44139780505,,0
False,,,1TyRa,76561198837643069,False,False,10.400525,0,130,0,True,head,False,False,0,0,False,80472,gadflyy,76561198034937989,hkp2000,17293822569102704672,0,,0
False,,,---Beast,76561198057153682,False,False,5.7471843,0,35,0,False,chest,False,False,0,0,False,80768,torii,76561198047444847,elite,17293822569151660034,35775323891,,0
False,,,Scorchyy,76561198173968051,False,False,14.468427,0,116,0,True,head,False,False,0,0,False,81087,madss,76561198174431453,elite,17293822569151660034,35775323891,,0
False,,,Scorchyy,76561198173968051,False,False,19.590664,0,34,0,False,right_arm,False,False,0,0,False,85306,torii,76561198047444847,m4a1_silencer,17293822569130885180,46204000377,,0
False,,,jsfeltner,76561198052394260,False,False,26.85452,0,41,0,False,stomach,False,False,0,0,False,85586,lunari,76561198264316850,m4a1_silencer,17293822569109651516,45259891513,,0
False,,,calamity,76561198882807602,False,False,5.09055,0,99,0,True,head,False,False,0,0,False,85704,madss,76561198174431453,mp9,17293822569148383266,44200653968,,0
False,,,1TyRa,76561198837643069,False,False,11.564425,0,92,0,True,head,False,False,0,0,False,85767,gadflyy,76561198034937989,mp9,17293822569104867362,42434643331,,0
False,,,calamity,76561198882807602,False,False,11.182433,0,34,0,False,chest,False,False,0,0,False,85835,violet_,76561198103629138,p250,17293822569138815012,28532072090,,0
False,jsfeltner,76561198052394260,Scorchyy,76561198173968051,False,False,19.151764,18,85,0,True,head,False,False,0,0,False,89043,gadflyy,76561198034937989,m4a1_silencer,17293822569130885180,46204000377,,0
False,,,torii,76561198047444847,False,False,15.510773,0,27,0,False,right_leg,False,False,0,0,False,89594,calamity,76561198882807602,ak47,17293822569149038599,42327156074,,0
False,,,---Beast,76561198057153682,False,False,37.01845,4,21,0,False,chest,False,False,0,0,False,89729,torii,76561198047444847,m4a1,17293822569119416336,33883730628,,0
False,,,1TyRa,76561198837643069,False,False,6.825144,19,58,0,True,head,False,False,0,0,False,90777,violet_,76561198103629138,mp9,17293822569104867362,42434643331,,0
False,,,---Beast,76561198057153682,False,False,11.076923,4,22,0,False,chest,False,False,0,0,False,91065,madss,76561198174431453,m4a1,17293822569119416336,33883730628,,0
False,,,Scorchyy,76561198173968051,False,False,17.038967,18,86,0,True,head,False,False,0,0,False,91107,lunari,76561198264316850,m4a1_silencer,17293822569130885180,46204000377,,0
False,,,---Beast,76561198057153682,False,False,13.271137,3,28,0,False,chest,False,False,0,0,True,93758,madss,76561198174431453,ak47,17293822569182527495,44893556625,,0
False,,,Scorchyy,76561198173968051,True,False,17.811537,15,109,0,True,head,False,False,0,0,False,94761,lunari,76561198264316850,ak47,17293822569149038599,42327156074,,0
False,,,---Beast,76561198057153682,False,False,2.1401231,0,36,0,False,chest,False,False,0,0,False,94843,gadflyy,76561198034937989,ak47,17293822569182527495,44893556625,,0
False,---Beast,76561198057153682,Scorchyy,76561198173968051,False,False,20.343555,4,34,0,False,stomach,False,False,0,0,False,94853,torii,76561198047444847,ak47,17293822569149038599,42327156074,,0
