site,tick,user_name,user_steamid,event_type
319,12136,calamity,76561198882807602,planted
319,17369,Scorchyy,76561198173968051,planted
382,23607,Scorchyy,76561198173968051,planted
382,33013,calamity,76561198882807602,planted
382,38182,---Beast,76561198057153682,planted
319,43916,1TyRa,76561198837643069,planted
319,53152,calamity,76561198882807602,planted
319,79768,lunari,76561198264316850,planted
319,86255,madss,76561198174431453,planted
319,97570,lunari,76561198264316850,planted
382,126537,gadflyy,76561198034937989,planted
382,137027,violet_,76561198103629138,planted
319,18502,torii,76561198047444847,defused
382,26231,Scorchyy,76561198173968051,exploded
319,100194,lunari,76561198264316850,exploded
