assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,madss,76561198174431453,gadflyy,76561198034937989,False,False,1.1279044,13,153,0,False,generic,False,False,0,0,False,2354,1TyRa,76561198837643069,knife_tactical,17293822569102705149,45235649500,,0
False,,,violet_,76561198103629138,False,True,1.2509854,13,153,0,False,generic,False,False,0,0,False,2449,---Beast,76561198057153682,knife_m9_bayonet,17293822569139864060,45382977069,,0
False,lunari,76561198264316850,torii,76561198047444847,False,False,1.3334237,4,55,0,False,generic,False,False,0,0,False,2469,calamity,76561198882807602,knife_outdoor,17293822569109127689,45541312170,,0
False,,,gadflyy,76561198034937989,False,False,0.8994853,4,55,0,False,generic,False,False,0,0,False,2519,Scorchyy,76561198173968051,knife_tactical,17293822569102705149,45235649500,,0
False,,,jsfeltner,76561198052394260,False,False,1.0477948,4,55,0,False,generic,False,False,0,0,False,2992,torii,76561198047444847,knife_t,17293822569102704699,0,,0
False,torii,76561198047444847,violet_,76561198103629138,False,True,1.392332,4,55,0,False,generic,False,False,0,0,False,3030,jsfeltner,76561198052394260,knife_m9_bayonet,17293822569139864060,45382977069,,0
False,gadflyy,76561198034937989,lunari,76561198264316850,False,False,31.806194,0,110,0,True,head,False,False,0,0,False,5889,calamity,76561198882807602,usp_silencer,17293822569177153597,35083808890,,0
True,1TyRa,76561198837643069,jsfeltner,76561198052394260,False,False,6.9968185,0,110,0,True,head,False,False,0,0,False,5958,gadflyy,76561198034937989,glock,17293822569181347844,44100775372,,0
False,,,violet_,76561198103629138,False,False,21.712872,0,119,0,True,head,False,False,0,0,False,6137,jsfeltner,76561198052394260,usp_silencer,17293822569144451133,43102402016,,0
False,,,torii,76561198047444847,False,False,33.517292,0,109,0,True,head,False,False,0,0,False,6271,---Beast,76561198057153682,usp_silencer,17293822569177546813,44921063700,,0
False,lunari,76561198264316850,torii,76561198047444847,False,False,33.552578,0,110,0,True,head,False,False,0,0,False,6404,Scorchyy,76561198173968051,usp_silencer,17293822569177546813,44921063700,,0
False,,,1TyRa,76561198837643069,False,False,9.847356,0,106,0,True,head,False,False,0,0,False,6774,lunari,76561198264316850,glock,17293822569176039428,40140777331,,0
False,,,torii,76561198047444847,False,False,7.4305997,0,33,0,False,chest,False,False,0,0,False,7984,1TyRa,76561198837643069,usp_silencer,17293822569177546813,44921063700,,0
True,1TyRa,76561198837643069,calamity,76561198882807602,False,False,5.107301,22,61,0,True,head,False,False,0,0,False,11169,lunari,76561198264316850,mac10,17293822569102704657,0,,0
False,,,1TyRa,76561198837643069,False,False,18.141293,0,95,0,True,head,False,False,0,0,False,11575,madss,76561198174431453,tec9,17293822569187835934,45906573137,,0
False,,,---Beast,76561198057153682,False,False,14.139275,4,92,0,True,head,False,False,0,0,False,11797,violet_,76561198103629138,tec9,17293822569122562078,31461640545,,0
False,jsfeltner,76561198052394260,---Beast,76561198057153682,False,False,15.910811,1,22,0,False,left_arm,False,False,0,0,False,11893,torii,76561198047444847,tec9,17293822569122562078,31461640545,,0
False,,,jsfeltner,76561198052394260,False,False,14.125883,4,13,0,False,chest,False,False,0,0,True,12154,gadflyy,76561198034937989,mp9,17293822569102704674,0,,0
