assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
True,keen,76561198014912532,SaVage,76561198163665188,False,False,2.1795735,0,146,0,True,head,False,False,0,0,False,1577,Nightraid,76561198862368967,elite,17293822569102704642,0,,0
False,,,SaVage,76561198163665188,False,False,9.628069,0,128,0,True,head,False,False,0,0,False,1806,Myst,76561198972571019,elite,17293822569102704642,0,,0
True,Mechanical,76561198328327898,beau,76561198083879548,False,False,12.210682,0,103,0,True,head,False,False,0,0,False,1942,shadiy,76561198144493390,glock,17293822569105326084,27689923613,,0
False,,,jayketh,76561198197327995,False,False,9.243271,0,107,0,True,head,False,False,0,0,False,1986,SaVage,76561198163665188,glock,17293822569186721796,46000197337,,0
False,,,keen,76561198014912532,False,False,16.667841,0,124,0,True,head,False,False,0,0,False,2055,beau,76561198083879548,usp_silencer,17293822569157099581,44358353513,,0
False,,,Mechanical,76561198328327898,False,False,2.7526507,0,116,0,True,head,False,False,0,0,False,4295,hazr,76561198024347602,glock,17293822569125838852,19304052312,,0
False,,,Mechanical,76561198328327898,False,False,2.8405304,0,116,0,True,head,False,False,0,0,False,4390,keen,76561198014912532,glock,17293822569125838852,19304052312,,0
False,,,ADDICT,76561198067762481,False,False,29.971197,0,112,0,True,head,False,False,0,0,False,5793,Mechanical,76561198328327898,usp_silencer,17293822569135734845,44991158604,,0
False,,,jayketh,76561198197327995,False,False,10.017059,0,106,0,True,head,False,False,0,0,False,5893,ADDICT,76561198067762481,glock,17293822569186721796,46000197337,,0
False,,,keen,76561198014912532,False,False,47.643204,24,277,0,True,head,False,False,0,0,False,8478,Myst,76561198972571019,ssg08,17293822569143599144,39570022720,,0
True,keen,76561198014912532,ADDICT,76561198067762481,False,False,2.120893,20,61,0,True,head,False,False,0,0,False,9593,Nightraid,76561198862368967,mp9,17293822569134293026,4233057649,,0
False,,,beau,76561198083879548,False,False,8.105817,21,58,0,True,head,False,False,0,0,False,9653,ADDICT,76561198067762481,mac10,17293822569111879697,39803932387,,0
False,,,shadiy,76561198144493390,False,False,8.981013,18,57,0,True,head,False,False,0,0,False,10316,Mechanical,76561198328327898,mp9,17293822569102704674,0,,0
False,,,keen,76561198014912532,False,False,17.953886,6,72,0,False,chest,False,False,0,0,False,11492,beau,76561198083879548,ssg08,17293822569143599144,39570022720,,0
False,,,jayketh,76561198197327995,False,False,13.221342,3,28,0,False,chest,False,False,0,0,False,11712,keen,76561198014912532,ak47,17293822569187115015,46068366154,,0
False,keen,76561198014912532,shadiy,76561198144493390,False,False,15.299266,4,28,0,False,stomach,False,False,0,0,False,11970,jayketh,76561198197327995,galilar,17293822569170731021,23550947412,,0
False,,,ADDICT,76561198067762481,False,False,26.552961,0,25,0,False,right_leg,False,False,0,0,False,15038,jayketh,76561198197327995,m4a1_silencer,17293822569167192124,45074687196,,0
False,,,shadiy,76561198144493390,False,False,22.137896,0,139,0,True,head,False,False,0,0,False,15336,beau,76561198083879548,ak47,17293822569187115015,46068366154,,0
False,,,shadiy,76561198144493390,False,False,25.548485,0,138,0,True,head,False,False,0,0,False,15406,Myst,76561198972571019,ak47,17293822569187115015,46068366154,,0
False,Myst,76561198972571019,Nightraid,76561198862368967,False,False,6.5320067,5,106,0,True,head,False,False,0,0,False,15468,shadiy,76561198144493390,tec9,17293822569102835742,33974545728,,0
False,,,SaVage,76561198163665188,False,False,17.621151,3,23,0,False,chest,False,False,0,0,False,17014,Nightraid,76561198862368967,galilar,17293822569179906061,41435488755,,0
False,Nightraid,76561198862368967,Mechanical,76561198328327898,False,False,17.417973,15,109,0,True,head,False,False,0,0,False,17274,SaVage,76561198163665188,ak47,17293822569187115015,46068366154,,0
False,,,ADDICT,76561198067762481,False,False,19.556648,0,120,0,True,head,False,False,0,0,False,17315,Mechanical,76561198328327898,m4a1_silencer,17293822569167192124,45074687196,,0
False,,,keen,76561198014912532,False,False,22.54107,0,139,0,True,head,False,False,0,0,False,20252,Nightraid,76561198862368967,ak47,17293822569187115015,46068366154,,0
False,,,shadiy,76561198144493390,False,False,14.005987,0,124,0,True,head,False,False,0,0,False,20354,jayketh,76561198197327995,m4a1_silencer,17293822569102704700,0,,0
False,,,shadiy,76561198144493390,False,False,15.466581,0,123,0,True,head,False,False,0,0,False,20386,Myst,76561198972571019,m4a1_silencer,17293822569102704700,0,,0
False,,,shadiy,76561198144493390,False,False,8.351046,0,37,0,False,chest,False,False,0,0,False,20418,Mechanical,76561198328327898,m4a1_silencer,17293822569102704700,0,,0
False,shadiy,76561198144493390,keen,76561198014912532,False,False,30.14668,0,138,0,True,head,False,False,0,0,False,20640,beau,76561198083879548,ak47,17293822569187115015,46068366154,,0
False,keen,76561198014912532,shadiy,76561198144493390,False,False,11.075571,18,88,0,True,head,False,False,0,0,False,25552,Myst,76561198972571019,m4a1_silencer,17293822569102704700,0,,0
False,,,Nightraid,76561198862368967,False,False,10.027622,15,110,0,True,head,False,False,0,0,False,25933,SaVage,76561198163665188,ak47,17293822569122496519,41859677015,,0
False,SaVage,76561198163665188,keen,76561198014912532,False,False,20.84628,15,108,0,True,head,False,False,0,0,False,25972,Nightraid,76561198862368967,ak47,17293822569187115015,46068366154,,0
False,beau,76561198083879548,jayketh,76561198197327995,False,False,40.242348,4,33,0,False,stomach,False,False,0,0,False,27642,keen,76561198014912532,ak47,17293822569187115015,46068366154,,0
False,shadiy,76561198144493390,ADDICT,76561198067762481,False,False,37.41514,16,77,0,True,head,False,False,0,0,False,28480,Mechanical,76561198328327898,m4a1_silencer,17293822569167192124,45074687196,,0
False,,,hazr,76561198024347602,False,False,14.277893,3,23,0,False,chest,False,False,0,0,False,28701,beau,76561198083879548,galilar,17293822569170731021,23550947412,,0
False,,,hazr,76561198024347602,False,False,11.864219,13,92,0,True,head,False,False,0,0,False,28898,jayketh,76561198197327995,galilar,17293822569170731021,23550947412,,0
False,,,ADDICT,76561198067762481,False,False,14.020435,0,124,0,True,head,False,False,0,0,False,33594,Nightraid,76561198862368967,m4a1_silencer,17293822569167192124,45074687196,,0
False,,,ADDICT,76561198067762481,False,False,32.018192,0,113,0,True,head,False,False,0,0,False,36210,beau,76561198083879548,m4a1_silencer,17293822569167192124,45074687196,,0
False,,,ADDICT,76561198067762481,False,False,21.91591,0,119,0,True,head,False,False,0,0,False,36530,jayketh,76561198197327995,m4a1_silencer,17293822569167192124,45074687196,,0
False,,,ADDICT,76561198067762481,False,False,16.294165,0,122,0,True,head,False,False,0,0,False,36634,Mechanical,76561198328327898,m4a1_silencer,17293822569167192124,45074687196,,0
False,,,ADDICT,76561198067762481,False,False,18.842747,0,121,0,True,head,False,False,0,0,False,37351,Myst,76561198972571019,m4a1_silencer,17293822569167192124,45074687196,,0
False,,,shadiy,76561198144493390,False,False,17.700489,15,109,0,True,head,False,False,0,0,False,41801,Mechanical,76561198328327898,ak47,17293822569187115015,46068366154,,0
True,Myst,76561198972571019,beau,76561198083879548,False,False,4.788632,16,111,0,True,head,False,False,0,0,True,42635,hazr,76561198024347602,ak47,17293822569105588231,44850428761,,0
False,,,ADDICT,76561198067762481,False,False,10.13604,18,88,0,True,head,False,False,0,0,False,42894,jayketh,76561198197327995,m4a1_silencer,17293822569167192124,45074687196,,0
