site,tick,user_name,user_steamid,event_type
291,1732,hazr,76561198024347602,planted
291,16093,keen,76561198014912532,planted
99,24342,keen,76561198014912532,planted
99,31666,keen,76561198014912532,planted
99,62542,hazr,76561198024347602,planted
291,82290,Mechanical,76561198328327898,planted
291,89189,Nightraid,76561198862368967,planted
99,97575,beau,76561198083879548,planted
99,63693,beau,76561198083879548,defused
99,98909,ADDICT,76561198067762481,defused
99,34290,keen,76561198014912532,exploded
