assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,beau,76561198083879548,False,False,24.204205,0,117,0,True,head,False,False,0,0,False,726,keen,76561198014912532,usp_silencer,17293822569172500541,40943089424,,0
False,,,SaVage,76561198163665188,False,False,5.171689,0,113,0,True,head,False,False,0,0,False,3078,Myst,76561198972571019,glock,17293822569125838852,20019480092,,0
False,,,hazr,76561198024347602,False,False,23.323355,5,11,0,False,neck,False,False,0,0,False,3117,jayketh,76561198197327995,glock,17293822569181872132,43183634534,,0
False,,,Mechanical,76561198328327898,False,False,25.912321,0,116,0,True,head,False,False,0,0,False,3165,shadiy,76561198144493390,usp_silencer,17293822569170862141,24845159722,,0
False,jayketh,76561198197327995,Nightraid,76561198862368967,False,False,8.50639,0,131,0,True,head,False,False,0,0,False,3230,SaVage,76561198163665188,usp_silencer,17293822569177546813,45810106015,,0
False,Nightraid,76561198862368967,hazr,76561198024347602,False,False,21.38583,0,91,0,True,head,False,False,0,0,False,3345,Mechanical,76561198328327898,glock,17293822569181872132,43183634534,,0
False,,,Nightraid,76561198862368967,False,False,17.043804,0,123,0,True,head,False,False,0,0,False,3468,hazr,76561198024347602,usp_silencer,17293822569177546813,45810106015,,0
False,,,ADDICT,76561198067762481,False,False,16.477238,6,11,0,False,chest,False,False,0,0,False,3530,beau,76561198083879548,glock,17293822569127673860,45074770266,,0
False,,,ADDICT,76561198067762481,False,False,8.211995,0,109,0,True,head,False,False,0,0,False,3925,Nightraid,76561198862368967,glock,17293822569127673860,45074770266,,0
False,,,keen,76561198014912532,False,False,37.636745,0,60,0,True,head,False,False,0,0,False,7586,Myst,76561198972571019,mac10,17293822569102704657,0,,0
False,,,ADDICT,76561198067762481,False,False,25.854193,0,43,0,False,stomach,False,False,0,0,False,7966,beau,76561198083879548,ak47,17293822569144582151,45074682785,,0
False,,,SaVage,76561198163665188,False,False,10.253496,0,118,0,True,head,False,False,0,0,False,7968,jayketh,76561198197327995,galilar,17293822569121972237,43250793573,,0
False,,,keen,76561198014912532,False,False,22.479038,0,19,0,False,chest,False,False,0,0,False,8025,Nightraid,76561198862368967,mac10,17293822569102704657,0,,0
False,hazr,76561198024347602,SaVage,76561198163665188,False,False,29.024916,0,71,0,True,head,False,False,1,0,False,8107,Mechanical,76561198328327898,galilar,17293822569121972237,43250793573,,0
False,,,ADDICT,76561198067762481,False,False,11.153674,15,110,0,True,head,False,False,0,0,False,12896,Nightraid,76561198862368967,ak47,17293822569144582151,45074682785,,0
False,,,keen,76561198014912532,False,False,11.120136,20,55,0,True,head,False,False,0,0,True,13389,Myst,76561198972571019,mac10,17293822569102704657,0,,0
False,hazr,76561198024347602,SaVage,76561198163665188,False,False,28.029749,3,22,0,False,chest,False,False,0,0,False,14704,jayketh,76561198197327995,galilar,17293822569121972237,43250793573,,0
False,,,shadiy,76561198144493390,False,False,21.645485,3,23,0,False,chest,False,False,0,0,True,14989,beau,76561198083879548,galilar,17293822569177874445,44894167060,,0
False,,,Mechanical,76561198328327898,False,False,19.880564,5,24,0,False,left_arm,False,False,0,0,False,15619,ADDICT,76561198067762481,m4a1_silencer,17293822569138618428,45105615136,,0
False,keen,76561198014912532,shadiy,76561198144493390,False,False,27.538223,0,123,0,True,head,False,False,0,0,False,16879,Mechanical,76561198328327898,m4a1,17293822569178005520,43648027381,,0
False,,,Nightraid,76561198862368967,False,False,8.941823,4,101,0,True,head,False,False,0,0,False,19257,ADDICT,76561198067762481,fiveseven,17293822569105588227,36371872585,,0
False,ADDICT,76561198067762481,hazr,76561198024347602,False,False,16.92369,0,121,0,True,head,False,False,0,0,False,19326,Nightraid,76561198862368967,m4a1_silencer,17293822569102704700,0,,0
False,,,keen,76561198014912532,False,False,40.069237,0,109,0,True,head,False,False,0,0,False,20597,Mechanical,76561198328327898,m4a1_silencer,17293822569190391868,45726639268,,0
False,,,hazr,76561198024347602,False,False,32.102894,0,137,0,True,head,False,False,0,0,False,24407,Myst,76561198972571019,ak47,17293822569144582151,45074682785,,0
False,,,jayketh,76561198197327995,False,False,28.4785,4,134,0,True,head,False,False,0,0,False,25237,hazr,76561198024347602,deagle,17293822569136062465,45957423215,,0
False,,,shadiy,76561198144493390,False,False,22.448317,0,119,0,True,head,False,False,0,0,False,25420,jayketh,76561198197327995,m4a1_silencer,17293822569138618428,45105615136,,0
False,,,shadiy,76561198144493390,False,False,6.6806617,0,37,0,False,right_arm,False,False,0,0,False,26276,beau,76561198083879548,m4a1_silencer,17293822569138618428,45105615136,,0
False,,,SaVage,76561198163665188,False,False,22.795977,15,107,0,True,head,False,False,0,0,False,30067,jayketh,76561198197327995,ak47,17293822569144582151,40836884181,,0
False,,,keen,76561198014912532,False,False,40.0937,1,109,0,False,chest,False,False,0,0,False,30078,Nightraid,76561198862368967,awp,17293822569120989193,39957153806,,0
False,,,hazr,76561198024347602,False,False,11.133067,3,28,0,False,chest,False,False,0,0,False,30169,Myst,76561198972571019,ak47,17293822569179447303,39892185073,,0
True,hazr,76561198024347602,SaVage,76561198163665188,False,False,7.282053,0,142,0,True,head,False,False,0,0,False,31299,Mechanical,76561198328327898,ak47,17293822569144582151,40836884181,,0
False,,,SaVage,76561198163665188,False,False,6.802687,0,88,0,True,head,False,False,1,0,False,38491,Nightraid,76561198862368967,ak47,17293822569144582151,40836884181,,0
False,,,SaVage,76561198163665188,False,False,42.066822,15,104,0,True,head,False,False,0,0,False,38612,Myst,76561198972571019,ak47,17293822569144582151,40836884181,,0
False,jayketh,76561198197327995,Mechanical,76561198328327898,False,False,4.3636923,1,27,0,False,chest,False,False,0,0,False,39637,ADDICT,76561198067762481,fiveseven,17293822569157558275,23550985529,,0
False,,,shadiy,76561198144493390,False,False,14.310863,0,141,0,True,head,False,False,0,0,False,39780,Mechanical,76561198328327898,ak47,17293822569144582151,45074682785,,0
False,ADDICT,76561198067762481,shadiy,76561198144493390,False,False,12.823539,0,141,0,True,head,False,False,0,0,False,39840,jayketh,76561198197327995,ak47,17293822569144582151,45074682785,,0
False,ADDICT,76561198067762481,hazr,76561198024347602,False,False,12.155247,0,141,0,True,head,False,False,0,0,False,40029,beau,76561198083879548,ak47,17293822569179447303,39892185073,,0
False,,,Nightraid,76561198862368967,False,False,18.778538,1,111,0,False,chest,False,False,0,0,False,42328,shadiy,76561198144493390,awp,17293822569119678473,46019043923,,0
False,,,keen,76561198014912532,False,False,29.221516,1,109,0,False,chest,False,False,0,0,False,43424,jayketh,76561198197327995,awp,17293822569120989193,39957153806,,0
False,,,keen,76561198014912532,False,False,45.784992,1,108,0,False,chest,False,False,0,0,False,45252,Mechanical,76561198328327898,awp,17293822569120989193,39957153806,,0
False,,,ADDICT,76561198067762481,False,False,5.619457,4,28,0,False,chest,False,False,0,0,False,45523,Myst,76561198972571019,ak47,17293822569144582151,45074682785,,0
False,,,SaVage,76561198163665188,False,False,5.4916773,16,111,0,True,head,False,False,0,0,False,46236,Nightraid,76561198862368967,ak47,17293822569144582151,40836884181,,0
False,,,keen,76561198014912532,False,False,31.530636,1,110,0,False,chest,False,False,0,0,False,46416,beau,76561198083879548,awp,17293822569120989193,39957153806,,0
False,,,ADDICT,76561198067762481,False,False,13.985202,0,141,0,True,head,False,False,0,0,False,48867,Nightraid,76561198862368967,ak47,17293822569144582151,45074682785,,0
False,,,ADDICT,76561198067762481,False,False,8.416297,0,142,0,True,head,False,False,0,0,False,49747,jayketh,76561198197327995,ak47,17293822569144582151,45074682785,,0
False,,,ADDICT,76561198067762481,False,False,10.1235285,15,109,0,True,head,False,False,0,0,False,49773,beau,76561198083879548,ak47,17293822569144582151,45074682785,,0
False,,,hazr,76561198024347602,False,False,3.381228,0,143,0,True,head,False,False,0,0,False,50390,Myst,76561198972571019,ak47,17293822569179447303,39892185073,,0
False,,,Mechanical,76561198328327898,False,False,6.044927,4,14,0,False,chest,False,False,0,0,False,50760,hazr,76561198024347602,mp9,17293822569177022498,45105574477,,0
False,,,shadiy,76561198144493390,False,False,12.254617,0,142,0,True,head,False,False,0,0,True,50785,Mechanical,76561198328327898,ak47,17293822569149038599,45430045994,,0
False,,,jayketh,76561198197327995,False,False,28.65937,4,23,0,False,chest,False,False,0,0,False,53514,keen,76561198014912532,m4a1_silencer,17293822569190391868,45726639268,,0
False,,,jayketh,76561198197327995,False,False,25.425983,5,23,0,False,right_arm,False,False,0,0,True,53644,shadiy,76561198144493390,m4a1_silencer,17293822569190391868,45726639268,,0
False,,,SaVage,76561198163665188,False,False,30.88774,4,33,0,False,stomach,False,False,0,0,False,54169,Nightraid,76561198862368967,ak47,17293822569144582151,40836884181,,0
False,,,hazr,76561198024347602,False,False,25.842129,0,138,0,True,head,False,False,0,0,True,55691,Mechanical,76561198328327898,ak47,17293822569179447303,39892185073,,0
False,,,Myst,76561198972571019,False,False,20.78817,4,21,0,False,chest,False,False,0,0,True,55950,SaVage,76561198163665188,m4a1,17293822569178005520,43648027381,,0
False,,,beau,76561198083879548,False,False,24.600536,5,24,0,False,chest,False,False,0,0,False,56007,hazr,76561198024347602,m4a1_silencer,17293822569102704700,0,,0
False,jayketh,76561198197327995,Myst,76561198972571019,False,False,16.328938,19,89,0,True,head,False,False,0,0,False,56023,ADDICT,76561198067762481,m4a1,17293822569178005520,43648027381,,0
False,,,Nightraid,76561198862368967,False,False,32.121216,2,172,0,True,head,False,False,3,0,False,58352,shadiy,76561198144493390,awp,17293822569119678473,46019043923,,0
False,,,SaVage,76561198163665188,False,False,4.781961,16,111,0,True,head,False,False,0,0,False,60628,Mechanical,76561198328327898,ak47,17293822569144582151,40836884181,,0
False,,,jayketh,76561198197327995,False,False,24.811909,17,82,0,True,head,False,False,0,0,False,60774,ADDICT,76561198067762481,m4a1_silencer,17293822569190391868,45726639268,,0
False,ADDICT,76561198067762481,keen,76561198014912532,False,False,30.968307,1,83,0,False,chest,False,False,1,0,False,61035,jayketh,76561198197327995,awp,17293822569120989193,39957153806,,0
True,beau,76561198083879548,Nightraid,76561198862368967,False,False,34.31855,1,136,0,False,stomach,False,False,0,0,True,61496,keen,76561198014912532,awp,17293822569119678473,46019043923,,0
False,,,Myst,76561198972571019,False,False,16.814054,15,108,0,True,head,False,False,0,0,True,61622,SaVage,76561198163665188,ak47,17293822569144582151,45074682785,,0
False,,,hazr,76561198024347602,False,False,23.213833,15,107,0,True,head,False,False,0,0,False,63137,Myst,76561198972571019,ak47,17293822569179447303,39892185073,,0
False,Nightraid,76561198862368967,beau,76561198083879548,False,False,23.316816,0,25,0,False,right_leg,False,False,0,0,False,63161,hazr,76561198024347602,m4a1_silencer,17293822569102704700,0,,0
False,,,Mechanical,76561198328327898,False,False,18.607937,5,25,0,False,chest,False,False,0,0,False,66639,ADDICT,76561198067762481,m4a1_silencer,17293822569138618428,45105615136,,0
False,,,Mechanical,76561198328327898,False,False,9.788708,5,25,0,False,chest,False,False,0,0,False,67456,keen,76561198014912532,m4a1_silencer,17293822569138618428,45105615136,,0
False,ADDICT,76561198067762481,shadiy,76561198144493390,False,False,25.63244,0,26,0,False,right_leg,False,False,0,0,False,67515,Mechanical,76561198328327898,ak47,17293822569149038599,45430045994,,0
False,jayketh,76561198197327995,Myst,76561198972571019,False,False,24.555378,13,64,0,True,head,False,False,1,0,False,67728,hazr,76561198024347602,m4a1_silencer,17293822569102704700,0,,0
False,,,shadiy,76561198144493390,False,False,22.043497,15,108,0,True,head,False,False,0,0,False,67819,Myst,76561198972571019,ak47,17293822569149038599,45430045994,,0
False,,,shadiy,76561198144493390,False,False,32.384335,3,26,0,False,chest,False,False,0,0,False,67894,jayketh,76561198197327995,ak47,17293822569149038599,45430045994,,0
False,,,SaVage,76561198163665188,False,False,6.6137266,12,87,0,True,head,False,False,1,0,False,68244,Nightraid,76561198862368967,ak47,17293822569144582151,40836884181,,0
False,,,shadiy,76561198144493390,False,False,23.451584,0,139,0,True,head,False,False,0,0,False,69797,beau,76561198083879548,ak47,17293822569149038599,45430045994,,0
False,shadiy,76561198144493390,keen,76561198014912532,False,False,29.974619,1,109,0,False,chest,False,False,0,0,True,72304,beau,76561198083879548,awp,17293822569120989193,39957153806,,0
True,keen,76561198014912532,shadiy,76561198144493390,False,False,21.551943,15,108,0,True,head,False,False,0,0,True,72418,Myst,76561198972571019,ak47,17293822569149038599,45430045994,,0
False,,,shadiy,76561198144493390,False,False,20.316769,15,108,0,True,head,False,False,0,0,True,72601,jayketh,76561198197327995,ak47,17293822569149038599,45430045994,,0
False,,,SaVage,76561198163665188,False,False,20.675983,3,27,0,False,left_arm,False,False,0,0,False,73672,Mechanical,76561198328327898,ak47,17293822569144582151,40836884181,,0
False,,,Nightraid,76561198862368967,False,False,36.45135,1,136,0,False,stomach,False,False,0,0,False,73801,keen,76561198014912532,awp,17293822569119678473,46019043923,,0
False,,,shadiy,76561198144493390,False,False,36.014973,0,26,0,False,left_leg,False,False,0,0,False,73894,Nightraid,76561198862368967,ak47,17293822569149038599,45430045994,,0
False,,,hazr,76561198024347602,False,False,9.713318,0,130,0,True,head,False,False,0,0,False,81168,Myst,76561198972571019,usp_silencer,17293822569177546813,39893664570,,0
False,,,jayketh,76561198197327995,False,False,13.355016,0,101,0,True,head,False,False,0,0,False,81497,ADDICT,76561198067762481,glock,17293822569186721796,46000197337,,0
False,,,hazr,76561198024347602,False,False,13.473298,0,127,0,True,head,False,False,0,0,False,81679,jayketh,76561198197327995,usp_silencer,17293822569177546813,39893664570,,0
