round_num,winning_team,round_end_reason,bomb_planted,demo_type,map_name,parsing_status
1,,,True,cs2,de_mirage,success
2,T,ct_killed,True,cs2,de_mirage,success
3,T,ct_killed,True,cs2,de_mirage,success
4,T,ct_killed,True,cs2,de_mirage,success
5,T,ct_killed,True,cs2,de_mirage,success
6,T,bomb_exploded,True,cs2,de_mirage,success
7,T,ct_killed,True,cs2,de_mirage,success
8,T,ct_killed,True,cs2,de_mirage,success
9,T,ct_killed,True,cs2,de_mirage,success
10,CT,t_killed,True,cs2,de_mirage,success
11,CT,bomb_defused,True,cs2,de_mirage,success
12,T,ct_killed,True,cs2,de_mirage,success
13,T,ct_killed,True,cs2,de_mirage,success
14,T,ct_killed,True,cs2,de_mirage,success
15,T,ct_killed,True,cs2,de_mirage,success
16,CT,bomb_defused,True,cs2,de_mirage,success
17,CT,t_killed,True,cs2,de_mirage,success
18,CT,t_killed,True,cs2,de_mirage,success
