site,tick,user_name,user_steamid,event_type,match_id
988,30208,CULIACAN,76561198166020071,planted,aether-vs-full-send-m3-train
743,51122,a_m_c,76561198804371130,planted,aether-vs-full-send-m3-train
743,57851,Majesticzz,76561198144801954,planted,aether-vs-full-send-m3-train
743,68407,spamzzy,76561198003724030,planted,aether-vs-full-send-m3-train
743,94776,micro,76561198072040762,planted,aether-vs-full-send-m3-train
988,156333,sathsea,76561198401647782,planted,aether-vs-full-send-m3-train
743,175928,sathsea,76561198401647782,planted,aether-vs-full-send-m3-train
988,31873,juna,76561198366358433,defused,aether-vs-full-send-m3-train
743,52592,tender272,76561197993724724,defused,aether-vs-full-send-m3-train
743,59958,tender272,76561197993724724,defused,aether-vs-full-send-m3-train
743,96558,spamzzy,76561198003724030,defused,aether-vs-full-send-m3-train
743,178552,sathsea,76561198401647782,exploded,aether-vs-full-send-m3-train
398,15860,Scorchyy,76561198173968051,planted,incontrol-vs-nocturnal-m1-mirage
404,21463,Scorchyy,76561198173968051,planted,incontrol-vs-nocturnal-m1-mirage
398,32336,---Beast,76561198057153682,planted,incontrol-vs-nocturnal-m1-mirage
398,39462,Scorchyy,76561198173968051,planted,incontrol-vs-nocturnal-m1-mirage
398,43959,1TyRa,76561198837643069,planted,incontrol-vs-nocturnal-m1-mirage
404,57370,jsfeltner,76561198052394260,planted,incontrol-vs-nocturnal-m1-mirage
398,69435,---Beast,76561198057153682,planted,incontrol-vs-nocturnal-m1-mirage
404,97174,gadflyy,76561198034937989,planted,incontrol-vs-nocturnal-m1-mirage
404,107858,madss,76561198174431453,planted,incontrol-vs-nocturnal-m1-mirage
404,116357,lunari,76561198264316850,planted,incontrol-vs-nocturnal-m1-mirage
398,133244,torii,76561198047444847,planted,incontrol-vs-nocturnal-m1-mirage
398,140468,lunari,76561198264316850,planted,incontrol-vs-nocturnal-m1-mirage
404,150589,madss,76561198174431453,planted,incontrol-vs-nocturnal-m1-mirage
404,160250,gadflyy,76561198034937989,planted,incontrol-vs-nocturnal-m1-mirage
398,169319,madss,76561198174431453,planted,incontrol-vs-nocturnal-m1-mirage
