round_num,time_elapsed,tick,map_name,round_time_elapsed,round_time_remaining,time_phase,t_players_alive,ct_players_alive,player_count_advantage,t_total_hp,ct_total_hp,t_avg_hp,ct_avg_hp,t_total_armor,ct_total_armor,t_equipment_value,ct_equipment_value,t_avg_equipment_value,ct_avg_equipment_value,equipment_advantage,equipment_advantage_per_player,bomb_planted,time_since_plant,time_until_explosion,bomb_being_defused,t_awp_count,ct_awp_count,awp_advantage,t_rifle_count,ct_rifle_count,rifle_advantage,winning_team,round_duration,match_id
2,10,640,de_overpass,10,105,0,5,5,0,500.0,500.0,100.0,100.0,500.0,500.0,3250,3250,650.0,650.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,38.484375,ecstatic-vs-havu-m3-overpass
2,20,1280,de_overpass,20,95,0,5,5,0,500.0,500.0,100.0,100.0,500.0,500.0,3250,3250,650.0,650.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,38.484375,ecstatic-vs-havu-m3-overpass
2,30,1920,de_overpass,30,85,1,5,5,0,500.0,500.0,100.0,100.0,500.0,500.0,3250,3250,650.0,650.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,38.484375,ecstatic-vs-havu-m3-overpass
3,10,3103,de_overpass,10,105,0,6,5,1,600.0,500.0,100.0,100.0,200.0,200.0,8600,7800,1433.3333333333333,1560.0,800,-126.66666666666674,0,0.0,0.0,0,0,0,0,0,0,0,T,114.453125,ecstatic-vs-havu-m3-overpass
3,20,3743,de_overpass,20,95,0,5,5,0,500.0,500.0,100.0,100.0,0.0,0.0,1000,1000,200.0,200.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,T,114.453125,ecstatic-vs-havu-m3-overpass
3,30,4383,de_overpass,30,85,1,5,5,0,500.0,500.0,100.0,100.0,200.0,300.0,2800,2950,560.0,590.0,-150,-30.0,0,0.0,0.0,0,0,0,0,0,0,0,T,114.453125,ecstatic-vs-havu-m3-overpass
3,40,5023,de_overpass,40,75,1,5,5,0,500.0,500.0,100.0,100.0,400.0,400.0,4200,4200,840.0,840.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,T,114.453125,ecstatic-vs-havu-m3-overpass
3,50,5663,de_overpass,50,65,1,5,5,0,500.0,500.0,100.0,100.0,400.0,400.0,4200,4200,840.0,840.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,T,114.453125,ecstatic-vs-havu-m3-overpass
3,60,6303,de_overpass,60,55,1,5,5,0,500.0,500.0,100.0,100.0,400.0,400.0,4200,4200,840.0,840.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,T,114.453125,ecstatic-vs-havu-m3-overpass
3,70,6943,de_overpass,70,45,2,5,5,0,500.0,500.0,100.0,100.0,400.0,400.0,4200,4200,840.0,840.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,T,114.453125,ecstatic-vs-havu-m3-overpass
