round_num,time_elapsed,tick,map_name,round_time_elapsed,round_time_remaining,time_phase,t_players_alive,ct_players_alive,player_count_advantage,t_total_hp,ct_total_hp,t_avg_hp,ct_avg_hp,t_total_armor,ct_total_armor,t_equipment_value,ct_equipment_value,t_avg_equipment_value,ct_avg_equipment_value,equipment_advantage,equipment_advantage_per_player,bomb_planted,time_since_plant,time_until_explosion,bomb_being_defused,t_awp_count,ct_awp_count,awp_advantage,t_rifle_count,ct_rifle_count,rifle_advantage,winning_team,round_duration,match_id
2,15,960,de_train,15,100,0,5,5,0,500,500,100.0,100.0,300,100,5150,1850,1030.0,370.0,3300,660.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,79.3125,ence-vs-1win-m1-train
2,30,1920,de_train,30,85,1,5,5,0,500,500,100.0,100.0,300,400,5150,4200,1030.0,840.0,950,190.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,79.3125,ence-vs-1win-m1-train
2,45,2880,de_train,45,70,1,5,5,0,500,438,100.0,87.6,300,383,5150,4200,1030.0,840.0,950,190.0,1,0.5625,39.4375,0,0,0,0,0,0,0,Unknown,79.3125,ence-vs-1win-m1-train
2,60,3840,de_train,60,55,1,3,5,-2,300,438,100.0,87.6,200,383,3400,4200,1133.3333333333333,840.0,18446744073709550816,293.33333333333326,1,15.5625,24.4375,0,0,0,0,0,0,0,Unknown,79.3125,ence-vs-1win-m1-train
2,75,4800,de_train,75,40,2,0,4,-4,0,348,0.0,87.0,0,288,0,3350,0.0,837.5,18446744073709548266,-837.5,1,30.5625,9.4375,0,0,0,0,0,0,0,Unknown,79.3125,ence-vs-1win-m1-train
3,15,6036,de_train,15,100,0,5,5,0,500,500,100.0,100.0,100,500,3450,22550,690.0,4510.0,18446744073709532516,-3820.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,140.203125,ence-vs-1win-m1-train
3,30,6996,de_train,30,85,1,5,5,0,500,500,100.0,100.0,400,500,12850,22300,2570.0,4460.0,18446744073709542166,-1890.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,140.203125,ence-vs-1win-m1-train
3,45,7956,de_train,45,70,1,5,4,1,430,379,86.0,94.75,378,393,12850,18450,2570.0,4612.5,18446744073709546016,-2042.5,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,140.203125,ence-vs-1win-m1-train
3,60,8916,de_train,60,55,1,5,4,1,430,368,86.0,92.0,378,393,12850,18450,2570.0,4612.5,18446744073709546016,-2042.5,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,140.203125,ence-vs-1win-m1-train
3,75,9876,de_train,75,40,2,5,4,1,430,368,86.0,92.0,378,393,13050,18450,2610.0,4612.5,18446744073709546216,-2002.5,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,140.203125,ence-vs-1win-m1-train
4,15,15009,de_train,15,100,0,5,5,0,500,500,100.0,100.0,360,293,22600,13300,4520.0,2660.0,9300,1860.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,154.15625,ence-vs-1win-m1-train
4,30,15969,de_train,30,85,1,5,5,0,500,500,100.0,100.0,460,493,24800,16150,4960.0,3230.0,8650,1730.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,154.15625,ence-vs-1win-m1-train
4,45,16929,de_train,45,70,1,5,5,0,500,500,100.0,100.0,460,493,24800,16150,4960.0,3230.0,8650,1730.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,154.15625,ence-vs-1win-m1-train
4,60,17889,de_train,60,55,1,5,5,0,500,500,100.0,100.0,460,493,24800,16150,4960.0,3230.0,8650,1730.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,154.15625,ence-vs-1win-m1-train
4,75,18849,de_train,75,40,2,5,5,0,500,500,100.0,100.0,460,493,24000,16150,4800.0,3230.0,7850,1570.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,154.15625,ence-vs-1win-m1-train
5,15,24875,de_train,15,100,0,5,5,0,500,500,100.0,100.0,412,480,24800,15550,4960.0,3110.0,9250,1850.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,123.8125,ence-vs-1win-m1-train
5,30,25835,de_train,30,85,1,5,5,0,500,500,100.0,100.0,412,480,24800,15850,4960.0,3170.0,8950,1790.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,123.8125,ence-vs-1win-m1-train
5,45,26795,de_train,45,70,1,2,4,-2,200,342,100.0,85.5,159,374,9500,12400,4750.0,3100.0,18446744073709548716,1650.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,123.8125,ence-vs-1win-m1-train
5,60,27755,de_train,60,55,1,2,3,-1,200,242,100.0,80.66666666666667,159,277,9200,12900,4600.0,4300.0,18446744073709547916,300.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,123.8125,ence-vs-1win-m1-train
5,75,28715,de_train,75,40,2,2,3,-1,200,242,100.0,80.66666666666667,159,277,9200,12900,4600.0,4300.0,18446744073709547916,300.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,123.8125,ence-vs-1win-m1-train
6,15,32799,de_train,15,100,0,5,5,0,500,500,100.0,100.0,500,484,27150,27700,5430.0,5540.0,18446744073709551066,-110.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,146.21875,ence-vs-1win-m1-train
6,30,33759,de_train,30,85,1,5,5,0,500,500,100.0,100.0,500,484,27250,27700,5450.0,5540.0,18446744073709551166,-90.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,146.21875,ence-vs-1win-m1-train
6,45,34719,de_train,45,70,1,5,5,0,465,499,93.0,99.8,477,484,26950,27700,5390.0,5540.0,18446744073709550866,-150.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,146.21875,ence-vs-1win-m1-train
6,60,35679,de_train,60,55,1,5,5,0,465,494,93.0,98.8,477,484,26950,27700,5390.0,5540.0,18446744073709550866,-150.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,146.21875,ence-vs-1win-m1-train
6,75,36639,de_train,75,40,2,5,5,0,465,494,93.0,98.8,477,484,26650,27400,5330.0,5480.0,18446744073709550866,-150.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,146.21875,ence-vs-1win-m1-train
7,15,42157,de_train,15,100,0,5,5,0,500,500,100.0,100.0,0,484,1000,27500,200.0,5500.0,18446744073709525116,-5300.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,134.71875,ence-vs-1win-m1-train
7,30,43117,de_train,30,85,1,5,5,0,500,500,100.0,100.0,500,484,17650,28800,3530.0,5760.0,18446744073709540466,-2230.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,134.71875,ence-vs-1win-m1-train
7,45,44077,de_train,45,70,1,5,5,0,500,500,100.0,100.0,500,484,17650,28800,3530.0,5760.0,18446744073709540466,-2230.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,134.71875,ence-vs-1win-m1-train
7,60,45037,de_train,60,55,1,5,5,0,500,500,100.0,100.0,500,484,17650,28800,3530.0,5760.0,18446744073709540466,-2230.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,134.71875,ence-vs-1win-m1-train
7,75,45997,de_train,75,40,2,5,5,0,500,500,100.0,100.0,500,484,17650,28800,3530.0,5760.0,18446744073709540466,-2230.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,134.71875,ence-vs-1win-m1-train
8,15,50779,de_train,15,100,0,5,5,0,500,500,100.0,100.0,100,465,2150,28600,430.0,5720.0,18446744073709525166,-5290.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,124.171875,ence-vs-1win-m1-train
8,30,51739,de_train,30,85,1,5,5,0,500,500,100.0,100.0,0,465,3450,29550,690.0,5910.0,18446744073709525516,-5220.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,124.171875,ence-vs-1win-m1-train
8,45,52699,de_train,45,70,1,5,5,0,500,499,100.0,99.8,0,465,3450,29550,690.0,5910.0,18446744073709525516,-5220.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,124.171875,ence-vs-1win-m1-train
8,60,53659,de_train,60,55,1,4,5,-1,381,482,95.25,96.4,0,465,2750,29250,687.5,5850.0,18446744073709525116,-5162.5,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,124.171875,ence-vs-1win-m1-train
8,75,54619,de_train,75,40,2,4,5,-1,381,482,95.25,96.4,0,465,2750,29250,687.5,5850.0,18446744073709525116,-5162.5,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,124.171875,ence-vs-1win-m1-train
9,15,58726,de_train,15,100,0,5,5,0,500,500,100.0,100.0,500,464,24500,30750,4900.0,6150.0,18446744073709545366,-1250.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,140.0,ence-vs-1win-m1-train
9,30,59686,de_train,30,85,1,5,5,0,500,500,100.0,100.0,500,464,24500,30750,4900.0,6150.0,18446744073709545366,-1250.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,140.0,ence-vs-1win-m1-train
9,45,60646,de_train,45,70,1,5,5,0,484,415,96.8,83.0,491,455,24500,30750,4900.0,6150.0,18446744073709545366,-1250.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,140.0,ence-vs-1win-m1-train
9,60,61606,de_train,60,55,1,4,5,-1,378,376,94.5,75.2,392,452,19400,30750,4850.0,6150.0,18446744073709540266,-1300.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,140.0,ence-vs-1win-m1-train
9,75,62566,de_train,75,40,2,1,5,-4,86,321,86.0,64.2,92,446,4800,29150,4800.0,5830.0,18446744073709527266,-1030.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,140.0,ence-vs-1win-m1-train
10,15,67686,de_train,15,100,0,5,5,0,500,500,100.0,100.0,0,462,1000,29800,200.0,5960.0,18446744073709522816,-5760.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,160.34375,ence-vs-1win-m1-train
10,30,68646,de_train,30,85,1,5,5,0,500,500,100.0,100.0,100,462,3750,31950,750.0,6390.0,18446744073709523416,-5640.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,160.34375,ence-vs-1win-m1-train
10,45,69606,de_train,45,70,1,5,5,0,500,500,100.0,100.0,100,462,3750,30100,750.0,6020.0,18446744073709525266,-5270.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,160.34375,ence-vs-1win-m1-train
10,60,70566,de_train,60,55,1,5,5,0,500,500,100.0,100.0,100,462,3750,30100,750.0,6020.0,18446744073709525266,-5270.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,160.34375,ence-vs-1win-m1-train
10,75,71526,de_train,75,40,2,5,5,0,500,500,100.0,100.0,200,462,5100,30100,1020.0,6020.0,18446744073709526616,-5000.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,160.34375,ence-vs-1win-m1-train
11,15,77948,de_train,15,100,0,5,5,0,500,500,100.0,100.0,500,476,26050,27000,5210.0,5400.0,18446744073709550666,-190.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,154.5,ence-vs-1win-m1-train
11,30,78908,de_train,30,85,1,5,5,0,500,500,100.0,100.0,500,476,26350,30650,5270.0,6130.0,18446744073709547316,-860.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,154.5,ence-vs-1win-m1-train
11,45,79868,de_train,45,70,1,5,5,0,465,471,93.0,94.2,477,467,26050,30650,5210.0,6130.0,18446744073709547016,-920.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,154.5,ence-vs-1win-m1-train
11,60,80828,de_train,60,55,1,5,5,0,465,471,93.0,94.2,477,467,26050,30650,5210.0,6130.0,18446744073709547016,-920.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,154.5,ence-vs-1win-m1-train
11,75,81788,de_train,75,40,2,5,5,0,465,471,93.0,94.2,477,467,26050,30650,5210.0,6130.0,18446744073709547016,-920.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,154.5,ence-vs-1win-m1-train
12,15,87836,de_train,15,100,0,5,5,0,500,500,100.0,100.0,425,499,27450,29600,5490.0,5920.0,18446744073709549466,-430.0,0,0.0,0.0,0,0,0,0,0,0,0,Unknown,152.3125,ence-vs-1win-m1-train
