round_num,time_elapsed,tick,map_name,round_time_elapsed,round_time_remaining,time_phase,t_players_alive,ct_players_alive,player_count_advantage,t_total_hp,ct_total_hp,t_avg_hp,ct_avg_hp,t_total_armor,ct_total_armor,t_equipment_value,ct_equipment_value,t_avg_equipment_value,ct_avg_equipment_value,equipment_advantage,equipment_advantage_per_player,bomb_planted,time_since_plant,time_until_explosion,bomb_being_defused,t_awp_count,ct_awp_count,awp_advantage,t_rifle_count,ct_rifle_count,rifle_advantage,winning_team,round_duration,match_id
3,10,55456,de_train,10,105,0,5,5,0,500.0,500.0,100.0,100.0,0.0,0.0,1000,1000,200.0,200.0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,-1,T,168.078125,fake-do-biru-vs-oddik-m2-train
3,20,56096,de_train,20,95,0,5,5,0,500.0,500.0,100.0,100.0,100.0,300.0,4700,8300,940.0,1660.0,-3600,-720.0,0,0.0,0.0,0,0,0,0,0,0,0,T,168.078125,fake-do-biru-vs-oddik-m2-train
3,30,56736,de_train,30,85,1,5,5,0,500.0,500.0,100.0,100.0,0.0,0.0,1400,1000,280.0,200.0,400,80.0,0,0.0,0.0,0,0,0,0,0,1,-1,T,168.078125,fake-do-biru-vs-oddik-m2-train
3,40,57376,de_train,40,75,1,5,5,0,500.0,500.0,100.0,100.0,300.0,300.0,3800,3550,760.0,710.0,250,50.0,0,0.0,0.0,0,0,0,0,0,0,0,T,168.078125,fake-do-biru-vs-oddik-m2-train
3,50,58016,de_train,50,65,1,5,5,0,500.0,500.0,100.0,100.0,308.0,404.0,4100,4200,820.0,840.0,-100,-20.0,0,0.0,0.0,0,0,0,0,0,1,-1,T,168.078125,fake-do-biru-vs-oddik-m2-train
3,60,58656,de_train,60,55,1,5,5,0,500.0,500.0,100.0,100.0,308.0,404.0,4500,4200,900.0,840.0,300,60.0,0,0.0,0.0,0,0,0,0,0,1,-1,T,168.078125,fake-do-biru-vs-oddik-m2-train
3,70,59296,de_train,70,45,2,5,5,0,500.0,500.0,100.0,100.0,308.0,404.0,4500,4200,900.0,840.0,300,60.0,0,0.0,0.0,0,0,0,0,0,1,-1,T,168.078125,fake-do-biru-vs-oddik-m2-train
3,80,59936,de_train,80,35,2,3,3,0,260.0,300.0,86.66666666666667,100.0,101.0,204.0,2900,2100,966.6666666666666,700.0,800,266.66666666666663,0,0.0,0.0,0,0,0,0,0,0,0,T,168.078125,fake-do-biru-vs-oddik-m2-train
3,90,60576,de_train,90,25,2,3,3,0,260.0,300.0,86.66666666666667,100.0,101.0,204.0,2800,2100,933.3333333333334,700.0,700,233.33333333333337,0,0.0,0.0,0,0,0,0,1,0,1,T,168.078125,fake-do-biru-vs-oddik-m2-train
3,100,61216,de_train,100,15,2,3,3,0,260.0,300.0,86.66666666666667,100.0,101.0,204.0,2800,2100,933.3333333333334,700.0,700,233.33333333333337,0,0.0,0.0,0,0,0,0,1,0,1,T,168.078125,fake-do-biru-vs-oddik-m2-train
