round_num,time_elapsed,tick,map_name,round_time_elapsed,round_time_remaining,time_phase,t_players_alive,ct_players_alive,player_count_advantage,t_total_hp,ct_total_hp,t_avg_hp,ct_avg_hp,t_total_armor,ct_total_armor,t_equipment_value,ct_equipment_value,t_avg_equipment_value,ct_avg_equipment_value,equipment_advantage,equipment_advantage_per_player,bomb_planted,time_since_plant,time_until_explosion,bomb_being_defused,t_awp_count,ct_awp_count,awp_advantage,t_rifle_count,ct_rifle_count,rifle_advantage,winning_team,round_duration,match_id
2,10,640,de_inferno,10,105,0,5,5,0,500,500,100.0,100.0,500,500,3250,3250,650.0,650.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,T,44.890625,kaleido-vs-arise-m2-inferno
2,20,1280,de_inferno,20,95,0,5,5,0,500,500,100.0,100.0,500,500,3250,3250,650.0,650.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,T,44.890625,kaleido-vs-arise-m2-inferno
2,30,1920,de_inferno,30,85,1,3,3,0,173,150,57.666666666666664,50.0,292,291,1950,1950,650.0,650.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,T,44.890625,kaleido-vs-arise-m2-inferno
2,40,2560,de_inferno,40,75,1,2,1,1,148,78,74.0,78.0,198,99,1300,650,650.0,650.0,650,0.0,0,0.0,0.0,0,0,0,0,0,0,0,T,44.890625,kaleido-vs-arise-m2-inferno
3,10,3513,de_inferno,10,105,0,5,5,0,500,500,100.0,100.0,0,0,1000,1000,200.0,200.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,T,143.1875,kaleido-vs-arise-m2-inferno
3,20,4153,de_inferno,20,95,0,5,5,0,500,500,100.0,100.0,300,200,2950,2500,590.0,500.0,450,90.0,0,0.0,0.0,0,0,0,0,0,0,0,T,143.1875,kaleido-vs-arise-m2-inferno
3,30,4793,de_inferno,30,85,1,5,5,0,500,500,100.0,100.0,400,400,3600,4200,720.0,840.0,-600,-120.0,0,0.0,0.0,0,0,0,0,0,0,0,T,143.1875,kaleido-vs-arise-m2-inferno
3,40,5433,de_inferno,40,75,1,5,5,0,500,500,100.0,100.0,400,400,4800,4200,960.0,840.0,600,120.0,0,0.0,0.0,0,0,0,0,0,0,0,T,143.1875,kaleido-vs-arise-m2-inferno
3,50,6073,de_inferno,50,65,1,4,5,-1,400,500,100.0,100.0,300,400,3950,4200,987.5,840.0,-250,147.5,0,0.0,0.0,0,0,0,0,0,0,0,T,143.1875,kaleido-vs-arise-m2-inferno
3,60,6713,de_inferno,60,55,1,3,5,-2,300,500,100.0,100.0,200,400,2300,4200,766.6666666666666,840.0,-1900,-73.33333333333337,0,0.0,0.0,0,0,0,0,0,0,0,T,143.1875,kaleido-vs-arise-m2-inferno
3,70,7353,de_inferno,70,45,2,3,5,-2,300,473,100.0,94.6,200,386,2700,4200,900.0,840.0,-1500,60.0,0,0.0,0.0,0,0,0,0,0,0,0,T,143.1875,kaleido-vs-arise-m2-inferno
3,80,7993,de_inferno,80,35,2,3,4,-1,300,400,100.0,100.0,200,300,2700,3350,900.0,837.5,-650,62.5,0,0.0,0.0,0,0,0,0,0,0,0,T,143.1875,kaleido-vs-arise-m2-inferno
3,90,8633,de_inferno,90,25,2,3,4,-1,300,400,100.0,100.0,200,300,2700,3350,900.0,837.5,-650,62.5,0,0.0,0.0,0,0,0,0,0,0,0,T,143.1875,kaleido-vs-arise-m2-inferno
