Model,n_estimators,learning_rate,max_depth,accuracy
AdaBoost,50,0.5,3,0.5821917808219178
AdaBoost,50,1.0,3,0.5753424657534246
AdaBoost,50,1.5,3,0.5684931506849316
AdaBoost,100,0.5,3,0.589041095890411
AdaBoost,100,1.0,3,0.5753424657534246
AdaBoost,100,1.5,3,0.589041095890411
AdaBoost,200,0.5,3,0.5684931506849316
AdaBoost,200,1.0,3,0.5753424657534246
AdaBoost,200,1.5,3,0.5684931506849316
GradientBoosting,50,0.05,3,0.4657534246575342
GradientBoosting,50,0.05,5,0.4520547945205479
GradientBoosting,50,0.1,3,0.5616438356164384
GradientBoosting,50,0.1,5,0.4520547945205479
GradientBoosting,50,0.2,3,0.5342465753424658
GradientBoosting,50,0.2,5,0.4520547945205479
GradientBoosting,100,0.05,3,0.5
GradientBoosting,100,0.05,5,0.4520547945205479
GradientBoosting,100,0.1,3,0.5547945205479452
GradientBoosting,100,0.1,5,0.4520547945205479
GradientBoosting,100,0.2,3,0.5205479452054794
GradientBoosting,100,0.2,5,0.4520547945205479
GradientBoosting,200,0.05,3,0.541095890410959
GradientBoosting,200,0.05,5,0.4520547945205479
GradientBoosting,200,0.1,3,0.5205479452054794
GradientBoosting,200,0.1,5,0.4520547945205479
GradientBoosting,200,0.2,3,0.5
GradientBoosting,200,0.2,5,0.4520547945205479
XGBoost,50,0.05,3,0.4315068493150685
XGBoost,50,0.05,5,0.4657534246575342
XGBoost,50,0.05,7,0.4657534246575342
XGBoost,50,0.1,3,0.589041095890411
XGBoost,50,0.1,5,0.5753424657534246
XGBoost,50,0.1,7,0.5753424657534246
XGBoost,50,0.2,3,0.5753424657534246
XGBoost,50,0.2,5,0.6712328767123288
XGBoost,50,0.2,7,0.6712328767123288
XGBoost,100,0.05,3,0.589041095890411
XGBoost,100,0.05,5,0.589041095890411
XGBoost,100,0.05,7,0.589041095890411
XGBoost,100,0.1,3,0.5821917808219178
XGBoost,100,0.1,5,0.636986301369863
XGBoost,100,0.1,7,0.636986301369863
XGBoost,100,0.2,3,0.6027397260273972
XGBoost,100,0.2,5,0.6438356164383562
XGBoost,100,0.2,7,0.6438356164383562
XGBoost,200,0.05,3,0.5958904109589042
XGBoost,200,0.05,5,0.6506849315068494
XGBoost,200,0.05,7,0.6506849315068494
XGBoost,200,0.1,3,0.6095890410958904
XGBoost,200,0.1,5,0.6164383561643836
XGBoost,200,0.1,7,0.6164383561643836
XGBoost,200,0.2,3,0.6095890410958904
XGBoost,200,0.2,5,0.6575342465753424
XGBoost,200,0.2,7,0.6575342465753424
