round_num,time_elapsed,tick,map_name,round_time_elapsed,round_time_remaining,time_phase,t_players_alive,ct_players_alive,player_count_advantage,t_total_hp,ct_total_hp,t_avg_hp,ct_avg_hp,t_total_armor,ct_total_armor,t_equipment_value,ct_equipment_value,t_avg_equipment_value,ct_avg_equipment_value,equipment_advantage,equipment_advantage_per_player,bomb_planted,time_since_plant,time_until_explosion,bomb_being_defused,t_awp_count,ct_awp_count,awp_advantage,t_rifle_count,ct_rifle_count,rifle_advantage,winning_team,round_duration,match_id
6,10,644,de_inferno,10,105,0,5,5,0,500.0,500.0,100.0,100.0,100.0,475.0,5900,21450,1180.0,4290.0,-15550,-3110.0,0,0.0,0.0,0,0,0,0,0,0,0,T,179.140625,mouz-vs-gentle-mates-m1-inferno-p2
6,20,1284,de_inferno,20,95,0,5,5,0,500.0,500.0,100.0,100.0,300.0,475.0,15700,28650,3140.0,5730.0,-12950,-2590.0,0,0.0,0.0,0,0,0,0,0,1,-1,T,179.140625,mouz-vs-gentle-mates-m1-inferno-p2
6,30,1924,de_inferno,30,85,1,5,5,0,500.0,500.0,100.0,100.0,500.0,475.0,24900,28650,4980.0,5730.0,-3750,-750.0,0,0.0,0.0,0,0,0,0,0,0,0,T,179.140625,mouz-vs-gentle-mates-m1-inferno-p2
6,40,2564,de_inferno,40,75,1,5,5,0,500.0,500.0,100.0,100.0,500.0,475.0,24900,28650,4980.0,5730.0,-3750,-750.0,0,0.0,0.0,0,0,0,0,0,0,0,T,179.140625,mouz-vs-gentle-mates-m1-inferno-p2
6,50,3204,de_inferno,50,65,1,5,5,0,394.0,500.0,78.8,100.0,431.0,475.0,24900,28650,4980.0,5730.0,-3750,-750.0,0,0.0,0.0,0,0,1,-1,0,0,0,T,179.140625,mouz-vs-gentle-mates-m1-inferno-p2
6,60,3844,de_inferno,60,55,1,5,5,0,382.0,500.0,76.4,100.0,431.0,475.0,24600,27550,4920.0,5510.0,-2950,-590.0,0,0.0,0.0,0,0,1,-1,0,0,0,T,179.140625,mouz-vs-gentle-mates-m1-inferno-p2
6,70,4484,de_inferno,70,45,2,5,5,0,382.0,496.0,76.4,99.2,431.0,475.0,24600,27550,4920.0,5510.0,-2950,-590.0,0,0.0,0.0,0,0,1,-1,0,2,-2,T,179.140625,mouz-vs-gentle-mates-m1-inferno-p2
6,80,5124,de_inferno,80,35,2,5,5,0,382.0,495.0,76.4,99.0,431.0,475.0,24400,27550,4880.0,5510.0,-3150,-630.0,0,0.0,0.0,0,0,1,-1,0,3,-3,T,179.140625,mouz-vs-gentle-mates-m1-inferno-p2
6,90,5764,de_inferno,90,25,2,5,5,0,382.0,434.0,76.4,86.8,431.0,468.0,24400,27250,4880.0,5450.0,-2850,-570.0,0,0.0,0.0,0,0,1,-1,0,2,-2,T,179.140625,mouz-vs-gentle-mates-m1-inferno-p2
6,100,6404,de_inferno,100,15,2,4,5,-1,282.0,434.0,70.5,86.8,331.0,468.0,19300,26450,4825.0,5290.0,-7150,-465.0,0,0.0,0.0,0,0,1,-1,0,2,-2,T,179.140625,mouz-vs-gentle-mates-m1-inferno-p2
7,10,12109,de_inferno,10,105,0,5,5,0,500.0,500.0,100.0,100.0,276.0,225.0,20150,12750,4030.0,2550.0,7400,1480.0,0,0.0,0.0,0,0,0,0,0,0,0,T,138.359375,mouz-vs-gentle-mates-m1-inferno-p2
7,20,12749,de_inferno,20,95,0,5,5,0,500.0,500.0,100.0,100.0,376.0,325.0,27450,25500,5490.0,5100.0,1950,390.0,0,0.0,0.0,0,0,0,0,0,1,-1,T,138.359375,mouz-vs-gentle-mates-m1-inferno-p2
7,30,13389,de_inferno,30,85,1,5,5,0,500.0,500.0,100.0,100.0,376.0,425.0,27450,29150,5490.0,5830.0,-1700,-340.0,0,0.0,0.0,0,0,0,0,0,0,0,T,138.359375,mouz-vs-gentle-mates-m1-inferno-p2
7,40,14029,de_inferno,40,75,1,5,5,0,500.0,500.0,100.0,100.0,376.0,425.0,27450,29150,5490.0,5830.0,-1700,-340.0,0,0.0,0.0,0,1,1,0,0,0,0,T,138.359375,mouz-vs-gentle-mates-m1-inferno-p2
7,50,14669,de_inferno,50,65,1,5,5,0,500.0,500.0,100.0,100.0,376.0,425.0,27450,29150,5490.0,5830.0,-1700,-340.0,0,0.0,0.0,0,0,1,-1,0,1,-1,T,138.359375,mouz-vs-gentle-mates-m1-inferno-p2
7,60,15309,de_inferno,60,55,1,5,5,0,417.0,500.0,83.4,100.0,323.0,425.0,27450,29150,5490.0,5830.0,-1700,-340.0,0,0.0,0.0,0,1,1,0,0,2,-2,T,138.359375,mouz-vs-gentle-mates-m1-inferno-p2
