round_num,time_elapsed,tick,map_name,round_time_elapsed,round_time_remaining,time_phase,t_players_alive,ct_players_alive,player_count_advantage,t_total_hp,ct_total_hp,t_avg_hp,ct_avg_hp,t_total_armor,ct_total_armor,t_equipment_value,ct_equipment_value,t_avg_equipment_value,ct_avg_equipment_value,equipment_advantage,equipment_advantage_per_player,bomb_planted,time_since_plant,time_until_explosion,bomb_being_defused,t_awp_count,ct_awp_count,awp_advantage,t_rifle_count,ct_rifle_count,rifle_advantage,winning_team,round_duration,match_id
2,10,640,de_dust2,10,105,0,5,5,0,500,500,100.0,100.0,500,500,3250,3250,650.0,650.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,T,31.921875,nemiga-vs-tpudcatb-tpu-m1-dust2
2,20,1280,de_dust2,20,95,0,5,3,2,500,300,100.0,100.0,500,300,3250,1950,650.0,650.0,1300,0.0,0,0.0,0.0,0,0,0,0,0,0,0,T,31.921875,nemiga-vs-tpudcatb-tpu-m1-dust2
2,30,1920,de_dust2,30,85,1,3,2,1,300,117,100.0,58.5,300,194,1950,1300,650.0,650.0,650,0.0,0,0.0,0.0,0,0,0,0,0,0,0,T,31.921875,nemiga-vs-tpudcatb-tpu-m1-dust2
3,10,2683,de_dust2,10,105,0,5,5,0,500,500,100.0,100.0,300,100,13100,4900,2620.0,980.0,8200,1640.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,68.859375,nemiga-vs-tpudcatb-tpu-m1-dust2
3,20,3323,de_dust2,20,95,0,5,5,0,500,500,100.0,100.0,0,0,1000,1000,200.0,200.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,68.859375,nemiga-vs-tpudcatb-tpu-m1-dust2
3,30,3963,de_dust2,30,85,1,5,5,0,500,500,100.0,100.0,200,200,2300,3400,460.0,680.0,-1100,-220.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,68.859375,nemiga-vs-tpudcatb-tpu-m1-dust2
3,40,4603,de_dust2,40,75,1,5,5,0,500,500,100.0,100.0,300,300,4750,4750,950.0,950.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,68.859375,nemiga-vs-tpudcatb-tpu-m1-dust2
3,50,5243,de_dust2,50,65,1,5,5,0,500,500,100.0,100.0,300,300,4750,4750,950.0,950.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,68.859375,nemiga-vs-tpudcatb-tpu-m1-dust2
3,60,5883,de_dust2,60,55,1,4,5,-1,400,484,100.0,96.8,200,293,3900,4750,975.0,950.0,-850,25.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,68.859375,nemiga-vs-tpudcatb-tpu-m1-dust2
4,10,7090,de_dust2,10,105,0,5,5,0,500,500,100.0,100.0,0,400,1000,11900,200.0,2380.0,-10900,-2180.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,77.34375,nemiga-vs-tpudcatb-tpu-m1-dust2
4,20,7730,de_dust2,20,95,0,5,5,0,500,500,100.0,100.0,0,500,2700,20200,540.0,4040.0,-17500,-3500.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,77.34375,nemiga-vs-tpudcatb-tpu-m1-dust2
4,30,8370,de_dust2,30,85,1,5,5,0,500,500,100.0,100.0,0,500,2700,22350,540.0,4470.0,-19650,-3930.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,77.34375,nemiga-vs-tpudcatb-tpu-m1-dust2
4,40,9010,de_dust2,40,75,1,5,5,0,500,500,100.0,100.0,0,500,2700,22350,540.0,4470.0,-19650,-3930.0,0,0.0,0.0,0,0,0,0,0,2,-2,CT,77.34375,nemiga-vs-tpudcatb-tpu-m1-dust2
4,50,9650,de_dust2,50,65,1,1,5,-4,100,472,100.0,94.4,0,486,1900,22350,1900.0,4470.0,-20450,-2570.0,0,0.0,0.0,0,0,0,0,0,1,-1,CT,77.34375,nemiga-vs-tpudcatb-tpu-m1-dust2
4,60,10290,de_dust2,60,55,1,1,5,-4,100,472,100.0,94.4,0,486,1900,22350,1900.0,4470.0,-20450,-2570.0,0,0.0,0.0,0,0,0,0,0,2,-2,CT,77.34375,nemiga-vs-tpudcatb-tpu-m1-dust2
4,70,10930,de_dust2,70,45,2,1,5,-4,57,461,57.0,92.2,0,480,1900,22550,1900.0,4510.0,-20650,-2610.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,77.34375,nemiga-vs-tpudcatb-tpu-m1-dust2
5,10,12040,de_dust2,10,105,0,5,5,0,500,500,100.0,100.0,400,486,17400,24150,3480.0,4830.0,-6750,-1350.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,72.375,nemiga-vs-tpudcatb-tpu-m1-dust2
5,20,12680,de_dust2,20,95,0,5,5,0,500,500,100.0,100.0,500,486,22950,28250,4590.0,5650.0,-5300,-1060.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,72.375,nemiga-vs-tpudcatb-tpu-m1-dust2
