round_num,time_elapsed,tick,map_name,round_time_elapsed,round_time_remaining,time_phase,t_players_alive,ct_players_alive,player_count_advantage,t_total_hp,ct_total_hp,t_avg_hp,ct_avg_hp,t_total_armor,ct_total_armor,t_equipment_value,ct_equipment_value,t_avg_equipment_value,ct_avg_equipment_value,equipment_advantage,equipment_advantage_per_player,bomb_planted,time_since_plant,time_until_explosion,bomb_being_defused,t_awp_count,ct_awp_count,awp_advantage,t_rifle_count,ct_rifle_count,rifle_advantage,winning_team,round_duration,match_id
2,10,641,de_nuke,10,105,0,5,5,0,500.0,500.0,100.0,100.0,300.0,400.0,4550.0,4200.0,910.0,840.0,350.0,70.0,0,0.0,0.0,0,0,0,0,0,0,0,T,92.0625,semperfi-vs-underground-m1-nuke
2,20,1281,de_nuke,20,95,0,5,5,0,500.0,500.0,100.0,100.0,300.0,400.0,4550.0,4200.0,910.0,840.0,350.0,70.0,0,0.0,0.0,0,0,0,0,0,0,0,T,92.0625,semperfi-vs-underground-m1-nuke
2,30,1921,de_nuke,30,85,1,3,5,-2,300.0,487.0,100.0,97.4,100.0,393.0,2850.0,4200.0,950.0,840.0,-1350.0,110.0,0,0.0,0.0,0,0,0,0,0,0,0,T,92.0625,semperfi-vs-underground-m1-nuke
2,40,2561,de_nuke,40,75,1,2,3,-1,200.0,300.0,100.0,100.0,100.0,200.0,1850.0,2400.0,925.0,800.0,-550.0,125.0,0,0.0,0.0,0,0,0,0,0,0,0,T,92.0625,semperfi-vs-underground-m1-nuke
2,50,3201,de_nuke,50,65,1,2,3,-1,200.0,300.0,100.0,100.0,100.0,200.0,1850.0,2400.0,925.0,800.0,-550.0,125.0,0,0.0,0.0,0,0,0,0,0,0,0,T,92.0625,semperfi-vs-underground-m1-nuke
2,60,3841,de_nuke,60,55,1,2,3,-1,200.0,300.0,100.0,100.0,100.0,200.0,1850.0,2400.0,925.0,800.0,-550.0,125.0,0,0.0,0.0,0,0,0,0,0,0,0,T,92.0625,semperfi-vs-underground-m1-nuke
2,70,4481,de_nuke,70,45,2,2,1,1,200.0,100.0,100.0,100.0,100.0,100.0,1050.0,850.0,525.0,850.0,200.0,-325.0,0,0.0,0.0,0,0,0,0,0,0,0,T,92.0625,semperfi-vs-underground-m1-nuke
2,80,5121,de_nuke,80,35,2,2,1,1,200.0,100.0,100.0,100.0,100.0,100.0,1050.0,850.0,525.0,850.0,200.0,-325.0,1,1.734375,38.265625,0,0,0,0,0,0,0,T,92.0625,semperfi-vs-underground-m1-nuke
2,90,5761,de_nuke,90,25,2,2,1,1,200.0,100.0,100.0,100.0,100.0,100.0,1050.0,850.0,525.0,850.0,200.0,-325.0,1,11.734375,28.265625,0,0,0,0,0,0,0,T,92.0625,semperfi-vs-underground-m1-nuke
3,10,6533,de_nuke,10,105,0,5,5,0,500.0,500.0,100.0,100.0,400.0,300.0,10000.0,6850.0,2000.0,1370.0,3150.0,630.0,0,0.0,0.0,0,0,0,0,0,1,-1,CT,94.953125,semperfi-vs-underground-m1-nuke
3,20,7173,de_nuke,20,95,0,5,5,0,500.0,500.0,100.0,100.0,500.0,500.0,14800.0,12950.0,2960.0,2590.0,1850.0,370.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,94.953125,semperfi-vs-underground-m1-nuke
3,30,7813,de_nuke,30,85,1,5,5,0,500.0,500.0,100.0,100.0,500.0,500.0,19050.0,13200.0,3810.0,2640.0,5850.0,1170.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,94.953125,semperfi-vs-underground-m1-nuke
3,40,8453,de_nuke,40,75,1,5,5,0,500.0,500.0,100.0,100.0,500.0,500.0,19050.0,13200.0,3810.0,2640.0,5850.0,1170.0,0,0.0,0.0,0,0,0,0,0,1,-1,CT,94.953125,semperfi-vs-underground-m1-nuke
3,50,9093,de_nuke,50,65,1,4,5,-1,400.0,500.0,100.0,100.0,400.0,500.0,15550.0,13200.0,3887.5,2640.0,2350.0,1247.5,0,0.0,0.0,0,0,0,0,0,1,-1,CT,94.953125,semperfi-vs-underground-m1-nuke
3,60,9733,de_nuke,60,55,1,3,4,-1,300.0,400.0,100.0,100.0,300.0,400.0,12050.0,10450.0,4016.6666666666665,2612.5,1600.0,1404.1666666666663,0,0.0,0.0,0,0,0,0,0,1,-1,CT,94.953125,semperfi-vs-underground-m1-nuke
