round_num,time_elapsed,tick,map_name,round_time_elapsed,round_time_remaining,time_phase,t_players_alive,ct_players_alive,player_count_advantage,t_total_hp,ct_total_hp,t_avg_hp,ct_avg_hp,t_total_armor,ct_total_armor,t_equipment_value,ct_equipment_value,t_avg_equipment_value,ct_avg_equipment_value,equipment_advantage,equipment_advantage_per_player,bomb_planted,time_since_plant,time_until_explosion,bomb_being_defused,t_awp_count,ct_awp_count,awp_advantage,t_rifle_count,ct_rifle_count,rifle_advantage,winning_team,round_duration,match_id
2,10,641,de_mirage,10,105,0,5,5,0,500.0,500.0,100.0,100.0,300.0,400.0,5350,4200,1070.0,840.0,1150,230.0,0,0.0,0.0,0,0,0,0,0,0,0,T,44.296875,vpprodigy-vs-fire-flux-m1-mirage
2,20,1281,de_mirage,20,95,0,5,5,0,500.0,489.0,100.0,97.8,300.0,394.0,4950,4200,990.0,840.0,750,150.0,0,0.0,0.0,0,0,0,0,0,0,0,T,44.296875,vpprodigy-vs-fire-flux-m1-mirage
2,30,1921,de_mirage,30,85,1,5,4,1,455.0,400.0,91.0,100.0,293.0,300.0,4950,3350,990.0,837.5,1600,152.5,0,0.0,0.0,0,0,0,0,0,0,0,T,44.296875,vpprodigy-vs-fire-flux-m1-mirage
2,40,2561,de_mirage,40,75,1,5,2,3,372.0,186.0,74.4,93.0,286.0,200.0,4750,1800,950.0,900.0,2950,50.0,0,0.0,0.0,0,0,0,0,0,0,0,T,44.296875,vpprodigy-vs-fire-flux-m1-mirage
3,10,3476,de_mirage,10,105,0,5,5,0,500.0,500.0,100.0,100.0,486.0,0.0,7700,1000,1540.0,200.0,6700,1340.0,0,0.0,0.0,0,0,0,0,0,0,0,T,100.5,vpprodigy-vs-fire-flux-m1-mirage
3,20,4116,de_mirage,20,95,0,5,5,0,500.0,500.0,100.0,100.0,500.0,0.0,17450,1200,3490.0,240.0,16250,3250.0,0,0.0,0.0,0,0,0,0,0,0,0,T,100.5,vpprodigy-vs-fire-flux-m1-mirage
3,30,4756,de_mirage,30,85,1,5,5,0,500.0,500.0,100.0,100.0,500.0,0.0,20150,1200,4030.0,240.0,18950,3790.0,0,0.0,0.0,0,0,0,0,0,0,0,T,100.5,vpprodigy-vs-fire-flux-m1-mirage
3,40,5396,de_mirage,40,75,1,5,5,0,446.0,500.0,89.2,100.0,474.0,0.0,20150,1200,4030.0,240.0,18950,3790.0,0,0.0,0.0,0,0,0,0,0,0,0,T,100.5,vpprodigy-vs-fire-flux-m1-mirage
3,50,6036,de_mirage,50,65,1,5,5,0,446.0,500.0,89.2,100.0,474.0,0.0,20150,1200,4030.0,240.0,18950,3790.0,0,0.0,0.0,0,0,0,0,0,0,0,T,100.5,vpprodigy-vs-fire-flux-m1-mirage
3,60,6676,de_mirage,60,55,1,5,5,0,446.0,500.0,89.2,100.0,474.0,0.0,20150,1200,4030.0,240.0,18950,3790.0,0,0.0,0.0,0,0,0,0,0,0,0,T,100.5,vpprodigy-vs-fire-flux-m1-mirage
3,70,7316,de_mirage,70,45,2,5,5,0,446.0,500.0,89.2,100.0,474.0,0.0,20150,1200,4030.0,240.0,18950,3790.0,0,0.0,0.0,0,0,0,0,0,0,0,T,100.5,vpprodigy-vs-fire-flux-m1-mirage
3,80,7956,de_mirage,80,35,2,5,5,0,446.0,443.0,89.2,88.6,474.0,0.0,20150,1200,4030.0,240.0,18950,3790.0,1,7.546875,32.453125,0,0,0,0,0,0,0,T,100.5,vpprodigy-vs-fire-flux-m1-mirage
3,90,8596,de_mirage,90,25,2,5,3,2,446.0,243.0,89.2,81.0,474.0,0.0,20150,800,4030.0,266.6666666666667,19350,3763.3333333333335,1,17.546875,22.453125,0,0,0,0,0,0,0,T,100.5,vpprodigy-vs-fire-flux-m1-mirage
3,100,9236,de_mirage,100,15,2,5,1,4,446.0,100.0,89.2,100.0,474.0,0.0,20150,200,4030.0,200.0,19950,3830.0,1,27.546875,12.453125,0,0,0,0,0,0,0,T,100.5,vpprodigy-vs-fire-flux-m1-mirage
4,10,9908,de_mirage,10,105,0,5,5,0,500.0,500.0,100.0,100.0,467.0,300.0,21050,13650,4210.0,2730.0,7400,1480.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,113.1875,vpprodigy-vs-fire-flux-m1-mirage
4,20,10548,de_mirage,20,95,0,5,5,0,500.0,500.0,100.0,100.0,467.0,500.0,22050,22400,4410.0,4480.0,-350,-70.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,113.1875,vpprodigy-vs-fire-flux-m1-mirage
4,30,11188,de_mirage,30,85,1,5,5,0,500.0,500.0,100.0,100.0,467.0,500.0,22050,22400,4410.0,4480.0,-350,-70.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,113.1875,vpprodigy-vs-fire-flux-m1-mirage
4,40,11828,de_mirage,40,75,1,5,5,0,498.0,500.0,99.6,100.0,466.0,500.0,22050,22400,4410.0,4480.0,-350,-70.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,113.1875,vpprodigy-vs-fire-flux-m1-mirage
4,50,12468,de_mirage,50,65,1,5,5,0,498.0,476.0,99.6,95.2,466.0,484.0,22050,22400,4410.0,4480.0,-350,-70.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,113.1875,vpprodigy-vs-fire-flux-m1-mirage
4,60,13108,de_mirage,60,55,1,5,5,0,482.0,476.0,96.4,95.2,466.0,484.0,22050,22400,4410.0,4480.0,-350,-70.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,113.1875,vpprodigy-vs-fire-flux-m1-mirage
4,70,13748,de_mirage,70,45,2,5,5,0,482.0,476.0,96.4,95.2,466.0,484.0,22050,22400,4410.0,4480.0,-350,-70.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,113.1875,vpprodigy-vs-fire-flux-m1-mirage
4,80,14388,de_mirage,80,35,2,5,5,0,482.0,476.0,96.4,95.2,466.0,484.0,22050,22400,4410.0,4480.0,-350,-70.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,113.1875,vpprodigy-vs-fire-flux-m1-mirage
4,90,15028,de_mirage,90,25,2,5,5,0,482.0,476.0,96.4,95.2,466.0,484.0,21850,21400,4370.0,4280.0,450,90.0,0,0.0,0.0,0,0,0,0,0,0,0,CT,113.1875,vpprodigy-vs-fire-flux-m1-mirage
