round_num,time_elapsed,tick,map_name,round_time_elapsed,round_time_remaining,time_phase,t_players_alive,ct_players_alive,player_count_advantage,t_total_hp,ct_total_hp,t_avg_hp,ct_avg_hp,t_total_armor,ct_total_armor,t_equipment_value,ct_equipment_value,t_avg_equipment_value,ct_avg_equipment_value,equipment_advantage,equipment_advantage_per_player,bomb_planted,time_since_plant,time_until_explosion,bomb_being_defused,t_awp_count,ct_awp_count,awp_advantage,t_rifle_count,ct_rifle_count,rifle_advantage,winning_team,round_duration,match_id
2,10,641,de_train,10,105,0,5,5,0,500.0,500.0,100.0,100.0,400.0,400.0,4400,4200,880.0,840.0,200,40.0,0,0.0,0.0,0,0,0,0,0,0,0,T,97.0625,vpprodigy-vs-fire-flux-m2-train
2,20,1281,de_train,20,95,0,5,5,0,500.0,500.0,100.0,100.0,400.0,400.0,4400,4200,880.0,840.0,200,40.0,0,0.0,0.0,0,0,0,0,0,0,0,T,97.0625,vpprodigy-vs-fire-flux-m2-train
2,30,1921,de_train,30,85,1,5,5,0,500.0,500.0,100.0,100.0,400.0,400.0,4400,4200,880.0,840.0,200,40.0,0,0.0,0.0,0,0,0,0,0,0,0,T,97.0625,vpprodigy-vs-fire-flux-m2-train
2,40,2561,de_train,40,75,1,5,5,0,500.0,500.0,100.0,100.0,400.0,400.0,4400,4200,880.0,840.0,200,40.0,0,0.0,0.0,0,0,0,0,0,0,0,T,97.0625,vpprodigy-vs-fire-flux-m2-train
2,50,3201,de_train,50,65,1,5,5,0,500.0,495.0,100.0,99.0,400.0,400.0,4400,4200,880.0,840.0,200,40.0,0,0.0,0.0,0,0,0,0,0,0,0,T,97.0625,vpprodigy-vs-fire-flux-m2-train
2,60,3841,de_train,60,55,1,5,5,0,486.0,425.0,97.2,85.0,394.0,373.0,4400,4200,880.0,840.0,200,40.0,0,0.0,0.0,0,0,0,0,0,0,0,T,97.0625,vpprodigy-vs-fire-flux-m2-train
2,70,4481,de_train,70,45,2,4,2,2,386.0,200.0,96.5,100.0,294.0,100.0,3050,1250,762.5,625.0,1800,137.5,0,0.0,0.0,0,0,0,0,0,0,0,T,97.0625,vpprodigy-vs-fire-flux-m2-train
2,80,5121,de_train,80,35,2,4,2,2,386.0,176.0,96.5,88.0,294.0,100.0,3050,1250,762.5,625.0,1800,137.5,1,4.109375,35.890625,0,0,0,0,0,0,0,T,97.0625,vpprodigy-vs-fire-flux-m2-train
2,90,5761,de_train,90,25,2,2,1,1,187.0,76.0,93.5,76.0,194.0,0.0,1700,400,850.0,400.0,1300,450.0,1,14.109375,25.890625,0,0,0,0,0,0,0,T,97.0625,vpprodigy-vs-fire-flux-m2-train
3,10,6853,de_train,10,105,0,4,5,-1,400.0,500.0,100.0,100.0,194.0,0.0,6150,1000,1537.5,200.0,5150,1337.5,0,0.0,0.0,0,0,0,0,0,0,0,T,110.40625,vpprodigy-vs-fire-flux-m2-train
3,20,7493,de_train,20,95,0,5,5,0,500.0,500.0,100.0,100.0,400.0,100.0,13800,2900,2760.0,580.0,10900,2180.0,0,0.0,0.0,0,0,0,0,0,0,0,T,110.40625,vpprodigy-vs-fire-flux-m2-train
3,30,8133,de_train,30,85,1,5,5,0,500.0,500.0,100.0,100.0,500.0,500.0,19200,11700,3840.0,2340.0,7500,1500.0,0,0.0,0.0,0,0,0,0,0,0,0,T,110.40625,vpprodigy-vs-fire-flux-m2-train
3,40,8773,de_train,40,75,1,4,3,1,354.0,300.0,88.5,100.0,386.0,300.0,15300,6900,3825.0,2300.0,8400,1525.0,0,0.0,0.0,0,0,0,0,0,0,0,T,110.40625,vpprodigy-vs-fire-flux-m2-train
