player_name,demo_file,map_name,kills,deaths,kd_ratio,headshot_percentage,avg_time_to_kill_ticks,opening_kills,kills_before_bomb,kills_after_bomb,avg_time_alive_ticks,multi_kill_2k,multi_kill_3k,multi_kill_4k,multi_kill_5k,total_damage,damage_per_round,bombs_planted,bombs_defused
a_m_c,aether-vs-full-send-m1-mirage,de_mirage,18,18,1.0,44.44444444444444,72962.94444444444,26,88,74,10443.26923076923,4,1,0,0,2462,102.58333333333333,0,0
sathsea,aether-vs-full-send-m1-mirage,de_mirage,18,16,1.125,33.33333333333333,55494.22222222222,26,102,60,6721.192307692308,4,2,1,0,2615,108.95833333333333,1,0
CULIACAN,aether-vs-full-send-m1-mirage,de_mirage,15,17,0.8823529411764706,40.0,85483.46666666666,24,62,73,7009.307692307692,4,1,0,0,2105,87.70833333333333,0,0
micro,aether-vs-full-send-m1-mirage,de_mirage,23,16,1.4375,39.130434782608695,67439.43478260869,25,114,93,7540.7692307692305,5,3,0,0,2817,117.375,1,0
Majesticzz,aether-vs-full-send-m1-mirage,de_mirage,19,17,1.1176470588235294,52.63157894736842,64894.63157894737,26,98,73,7712.461538461538,4,2,1,0,2218,92.41666666666667,2,1
juna,aether-vs-full-send-m1-mirage,de_mirage,19,15,1.2666666666666666,57.89473684210527,63298.63157894737,26,98,73,8167.2692307692305,4,1,0,0,2892,120.5,2,0
wasteyute,aether-vs-full-send-m1-mirage,de_mirage,12,15,0.8,66.66666666666666,58801.666666666664,26,64,44,8119.807692307692,0,0,0,0,1861,77.54166666666667,0,0
tender272,aether-vs-full-send-m1-mirage,de_mirage,16,18,0.8888888888888888,93.75,73020.5,21,78,66,6829.7307692307695,5,0,0,0,2514,104.75,1,0
4TAYLOR,aether-vs-full-send-m1-mirage,de_mirage,13,19,0.6842105263157895,46.15384615384615,91227.30769230769,26,48,69,5801.615384615385,2,2,1,0,1829,76.20833333333333,1,1
spamzzy,aether-vs-full-send-m1-mirage,de_mirage,17,19,0.8947368421052632,52.94117647058824,87340.88235294117,26,66,87,7646.076923076923,3,1,0,0,2554,106.41666666666667,1,1
