player_name,demo_file,map_name,kills,deaths,kd_ratio,headshot_percentage,avg_time_to_kill_ticks,opening_kills,kills_before_bomb,kills_after_bomb,avg_time_alive_ticks,multi_kill_2k,multi_kill_3k,multi_kill_4k,multi_kill_5k,total_damage,damage_per_round,bombs_planted,bombs_defused
a_m_c,aether-vs-full-send-m2-inferno,de_inferno,19,18,1.0555555555555556,26.31578947368421,92657.84210526316,25,115,113,6948.8,4,2,0,0,2796,121.56521739130434,1,0
sathsea,aether-vs-full-send-m2-inferno,de_inferno,20,18,1.1111111111111112,35.0,96580.05,25,114,126,8724.04,3,3,0,0,2463,107.08695652173913,4,0
CULIACAN,aether-vs-full-send-m2-inferno,de_inferno,15,19,0.7894736842105263,53.333333333333336,107290.73333333334,25,72,108,6167.64,5,0,0,0,2061,89.6086956521739,0,0
micro,aether-vs-full-send-m2-inferno,de_inferno,20,13,1.5384615384615385,35.0,104764.55,25,95,145,10702.28,5,2,1,0,2871,124.82608695652173,3,1
Majesticzz,aether-vs-full-send-m2-inferno,de_inferno,12,17,0.7058823529411765,50.0,84216.25,25,76,68,7499.64,2,0,0,0,1875,81.52173913043478,0,0
juna,aether-vs-full-send-m2-inferno,de_inferno,21,19,1.105263157894737,42.857142857142854,92282.90476190476,25,122,130,6473.0,5,1,0,0,2311,100.47826086956522,0,0
wasteyute,aether-vs-full-send-m2-inferno,de_inferno,12,18,0.6666666666666666,33.33333333333333,96946.66666666667,25,65,79,6828.32,2,0,0,0,1641,71.34782608695652,1,0
tender272,aether-vs-full-send-m2-inferno,de_inferno,18,19,0.9473684210526315,44.44444444444444,102264.77777777778,25,89,127,6515.48,6,4,0,0,2609,113.43478260869566,0,0
4TAYLOR,aether-vs-full-send-m2-inferno,de_inferno,14,19,0.7368421052631579,50.0,81487.42857142857,25,90,78,7882.6,2,0,0,0,2370,103.04347826086956,3,0
spamzzy,aether-vs-full-send-m2-inferno,de_inferno,21,16,1.3125,42.857142857142854,82745.09523809524,25,136,116,8691.4,7,0,0,0,2819,122.56521739130434,0,0
