player_name,demo_file,map_name,kills,deaths,kd_ratio,headshot_percentage,avg_time_to_kill_ticks,opening_kills,kills_before_bomb,kills_after_bomb,avg_time_alive_ticks,multi_kill_2k,multi_kill_3k,multi_kill_4k,multi_kill_5k,total_damage,damage_per_round,bombs_planted,bombs_defused
a_m_c,aether-vs-full-send-m3-train,de_train,17,17,1.0,29.411764705882355,93868.88235294117,26,56,63,9245.481481481482,4,1,0,0,2691,107.64,1,0
sathsea,aether-vs-full-send-m3-train,de_train,10,18,0.5555555555555556,40.0,51713.3,16,52,18,7816.666666666667,3,0,0,0,1551,62.04,2,0
CULIACAN,aether-vs-full-send-m3-train,de_train,15,20,0.75,60.0,90330.06666666667,26,49,56,6747.444444444444,3,2,0,0,2265,90.6,1,0
micro,aether-vs-full-send-m3-train,de_train,25,19,1.3157894736842106,60.0,75484.16,27,102,73,6547.259259259259,9,3,0,0,3779,151.16,1,0
Majesticzz,aether-vs-full-send-m3-train,de_train,13,20,0.65,46.15384615384615,87837.38461538461,27,44,47,6971.814814814815,1,0,0,0,1608,64.32,1,0
juna,aether-vs-full-send-m3-train,de_train,18,17,1.0588235294117647,33.33333333333333,74533.22222222222,25,75,51,8889.962962962964,5,2,0,0,2215,88.6,0,1
wasteyute,aether-vs-full-send-m3-train,de_train,15,21,0.7142857142857143,33.33333333333333,77157.26666666666,27,66,39,5542.62962962963,4,2,0,0,2241,89.64,0,0
tender272,aether-vs-full-send-m3-train,de_train,25,18,1.3888888888888888,68.0,95610.24,27,84,91,7747.037037037037,7,2,0,0,3554,142.16,0,2
4TAYLOR,aether-vs-full-send-m3-train,de_train,21,20,1.05,71.42857142857143,104058.61904761905,27,62,85,6338.851851851852,5,1,1,0,3352,134.08,0,0
spamzzy,aether-vs-full-send-m3-train,de_train,26,16,1.625,53.84615384615385,81524.69230769231,27,96,86,10699.851851851852,5,3,0,0,3208,128.32,1,1
