player_name,demo_file,map_name,kills,deaths,kd_ratio,headshot_percentage,avg_time_to_kill_ticks,opening_kills,kills_before_bomb,kills_after_bomb,avg_time_alive_ticks,multi_kill_2k,multi_kill_3k,multi_kill_4k,multi_kill_5k,total_damage,damage_per_round,bombs_planted,bombs_defused
1TyRa,incontrol-vs-nocturnal-m2-train,de_train,14,11,1.2727272727272727,57.14285714285714,143973.07142857142,21,62,64,24656.363636363636,2,2,1,0,1839,91.95,2,1
---Beast,incontrol-vs-nocturnal-m2-train,de_train,20,12,1.6666666666666667,30.0,122478.55,21,108,72,15177.318181818182,8,1,0,0,2961,148.05,1,0
madss,incontrol-vs-nocturnal-m2-train,de_train,11,19,0.5789473684210527,54.54545454545454,110675.36363636363,22,60,39,11265.272727272728,2,1,0,0,1534,76.7,1,0
violet_,incontrol-vs-nocturnal-m2-train,de_train,18,17,1.0588235294117647,38.88888888888889,133136.61111111112,20,86,76,7074.590909090909,5,2,1,0,2498,124.9,1,0
calamity,incontrol-vs-nocturnal-m2-train,de_train,17,14,1.2142857142857142,23.52941176470588,122138.35294117648,22,95,58,9991.727272727272,3,1,0,0,1874,93.7,0,0
lunari,incontrol-vs-nocturnal-m2-train,de_train,8,16,0.5,62.5,138191.625,16,43,29,15954.5,3,0,0,0,1272,63.6,2,1
gadflyy,incontrol-vs-nocturnal-m2-train,de_train,11,19,0.5789473684210527,27.27272727272727,144518.18181818182,22,43,56,10942.818181818182,1,1,0,0,1976,98.8,0,1
torii,incontrol-vs-nocturnal-m2-train,de_train,8,17,0.47058823529411764,25.0,143782.5,20,39,33,15355.5,1,0,0,0,1407,70.35,1,0
Scorchyy,incontrol-vs-nocturnal-m2-train,de_train,17,8,2.125,47.05882352941176,122129.35294117648,22,105,48,45709.63636363636,5,1,0,0,1841,92.05,1,1
jsfeltner,incontrol-vs-nocturnal-m2-train,de_train,17,9,1.8888888888888888,52.94117647058824,132767.17647058822,22,92,61,38610.13636363636,4,2,1,0,2387,119.35,0,0
