player_name,demo_file,map_name,kills,deaths,kd_ratio,headshot_percentage,avg_time_to_kill_ticks,opening_kills,kills_before_bomb,kills_after_bomb,avg_time_alive_ticks,multi_kill_2k,multi_kill_3k,multi_kill_4k,multi_kill_5k,total_damage,damage_per_round,bombs_planted,bombs_defused
Techno4K,liquid-vs-the-mongolz-inferno,de_inferno,18,14,1.2857142857142858,50.0,94312.27777777778,23,119,97,10326.95652173913,5,3,0,0,2489,108.21739130434783,1,0
controlez,liquid-vs-the-mongolz-inferno,de_inferno,19,12,1.5833333333333333,63.1578947368421,85512.36842105263,23,138,90,23054.782608695652,4,1,1,1,2292,99.65217391304348,2,1
Mzinho,liquid-vs-the-mongolz-inferno,de_inferno,14,13,1.0769230769230769,50.0,107325.85714285714,23,79,89,10846.347826086956,3,2,0,0,1810,78.69565217391305,1,0
NertZ,liquid-vs-the-mongolz-inferno,de_inferno,11,14,0.7857142857142857,54.54545454545454,112739.90909090909,22,64,68,9949.130434782608,2,0,0,0,1862,80.95652173913044,1,0
siuhy,liquid-vs-the-mongolz-inferno,de_inferno,11,16,0.6875,81.81818181818183,111578.54545454546,22,64,68,8881.739130434782,4,0,0,0,1865,81.08695652173913,1,1
910,liquid-vs-the-mongolz-inferno,de_inferno,13,13,1.0,53.84615384615385,87848.76923076923,23,89,67,10305.260869565218,1,0,0,0,1719,74.73913043478261,2,0
ultimate,liquid-vs-the-mongolz-inferno,de_inferno,9,16,0.5625,44.44444444444444,80614.66666666667,19,68,40,9101.130434782608,0,0,0,0,1251,54.391304347826086,1,0
EliGE,liquid-vs-the-mongolz-inferno,de_inferno,13,15,0.8666666666666667,69.23076923076923,112233.46153846153,23,74,82,10217.95652173913,3,0,0,0,1722,74.8695652173913,1,0
bLitz,liquid-vs-the-mongolz-inferno,de_inferno,15,11,1.3636363636363635,60.0,67245.06666666667,23,125,55,12511.869565217392,4,0,0,0,2261,98.30434782608695,1,0
NAF-FLY,liquid-vs-the-mongolz-inferno,de_inferno,15,14,1.0714285714285714,66.66666666666666,108133.06666666667,22,88,92,12353.826086956522,3,1,0,0,2013,87.52173913043478,1,1
