player_name,demo_file,map_name,kills,deaths,kd_ratio,headshot_percentage,avg_time_to_kill_ticks,opening_kills,kills_before_bomb,kills_after_bomb,avg_time_alive_ticks,multi_kill_2k,multi_kill_3k,multi_kill_4k,multi_kill_5k,total_damage,damage_per_round,bombs_planted,bombs_defused
Jame,parivision-vs-natus-vincere-ancient,de_ancient,10,15,0.6666666666666666,50.0,46727.5,16,94,46,8297.2,2,1,0,0,1227,61.35,0,0
w0nderful,parivision-vs-natus-vincere-ancient,de_ancient,16,11,1.4545454545454546,31.25,81017.125,20,102,122,14884.9,4,0,0,0,2258,112.9,2,0
iM,parivision-vs-natus-vincere-ancient,de_ancient,20,14,1.4285714285714286,45.0,88613.75,20,117,163,8556.7,4,3,1,0,2721,136.05,1,0
BELCHONOKK,parivision-vs-natus-vincere-ancient,de_ancient,17,15,1.1333333333333333,58.82352941176471,39416.470588235294,19,169,69,8841.25,4,3,1,0,2447,122.35,1,0
nota,parivision-vs-natus-vincere-ancient,de_ancient,8,15,0.5333333333333333,50.0,75156.75,20,55,57,6439.5,1,0,0,0,1257,62.85,2,0
xiELO,parivision-vs-natus-vincere-ancient,de_ancient,14,17,0.8235294117647058,71.42857142857143,56347.42857142857,19,121,75,5925.45,2,1,0,0,2039,101.95,0,0
Aleksib,parivision-vs-natus-vincere-ancient,de_ancient,13,14,0.9285714285714286,46.15384615384615,66275.46153846153,20,98,84,7634.95,2,1,0,0,1388,69.4,1,1
AW,parivision-vs-natus-vincere-ancient,de_ancient,8,18,0.4444444444444444,62.5,56124.25,18,69,43,6396.3,0,0,0,0,1351,67.55,4,0
b1t,parivision-vs-natus-vincere-ancient,de_ancient,16,10,1.6,50.0,79348.625,20,105,119,18443.45,4,1,0,0,2276,113.8,3,1
makazze,parivision-vs-natus-vincere-ancient,de_ancient,19,12,1.5833333333333333,42.10526315789473,70462.68421052632,20,142,124,7966.75,2,1,0,0,2600,130.0,0,0
