player_name,kills,deaths,kd_ratio,headshot_percentage,avg_time_to_kill_ticks,opening_kills,kills_before_bomb,kills_after_bomb,avg_time_alive_ticks,multi_kill_2k,multi_kill_3k,multi_kill_4k,multi_kill_5k,total_damage,damage_per_round,bombs_planted,bombs_defused,cluster
---Beast,55,45,3.8026960784313726,57.61904761904761,289213.05,73,315,327,29625.141885521887,17,4,0,0,7977,357.81,4,0,0
1TyRa,54,44,3.706060606060606,50.71010860484544,301732.86090225563,71,332,337,39757.84808080808,14,6,1,0,7289,319.27521739130435,4,1,0
4TAYLOR,48,58,2.4710526315789476,55.86080586080586,276773.35531135526,78,200,232,20023.067236467235,9,3,2,0,7551,313.3318115942029,4,1,0
ADDICT,31,18,3.4444444444444446,67.5438596491228,98526.84210526316,33,91,81,20792.327205882353,6,3,1,1,4049,232.35294117647058,1,1,1
CULIACAN,45,56,2.4218266253869967,51.111111111111114,283104.26666666666,75,183,237,19924.392136752136,12,3,0,0,6431,267.9170289855072,1,0,0
Majesticzz,44,54,2.473529411764706,49.59514170040486,236948.26619433198,78,218,188,22183.916353276352,7,2,1,0,5701,238.25840579710146,3,1,0
Mechanical,20,31,1.2916666666666665,65.0,122704.0,32,55,65,10497.29044117647,5,0,0,0,2842,162.86928104575162,1,0,1
Myst,16,32,1.0,59.52380952380952,133772.26984126985,28,38,54,9475.283088235294,4,2,0,0,2552,145.90196078431373,0,0,1
Nightraid,17,28,1.2142857142857144,67.85714285714286,119448.72857142857,31,51,57,11413.735294117647,4,0,0,0,2725,154.75816993464053,2,0,1
SaVage,28,16,3.5,68.75,112058.0625,33,89,87,38427.397058823524,7,0,0,0,3330,190.21568627450978,1,0,1
Scorchyy,51,40,4.242647058823529,36.037151702786375,277946.0371517028,74,344,274,61780.90303030303,14,3,0,0,7244,317.27260869565214,6,1,0
a_m_c,54,53,3.0555555555555554,33.390666208003665,259489.66890264876,77,259,250,26637.55071225071,12,4,0,0,7949,331.7885507246377,2,0,0
beau,9,26,0.6923076923076923,57.5,89104.4,25,33,23,15326.323529411766,1,0,0,0,1410,80.49673202614379,1,1,1
calamity,45,47,3.0181318681318676,48.014077425842125,241657.41960784316,67,317,211,23337.20282828283,8,3,0,0,6414,282.8408695652174,3,0,0
gadflyy,40,56,2.1940988835725674,39.090909090909086,272870.0961038961,70,267,225,23902.15595959596,8,2,0,0,6408,283.1721739130435,3,1,0
hazr,25,15,3.2777777777777777,57.291666666666664,123566.90972222222,33,73,91,27741.051470588238,7,1,0,0,3417,193.41176470588235,2,0,1
jayketh,16,27,1.1833333333333333,54.76190476190476,114620.9523809524,31,40,60,13739.183823529413,4,0,0,0,2569,146.0718954248366,1,1,1
jsfeltner,56,42,4.166666666666666,39.14131169709263,274498.64543610543,74,382,326,52818.33784511784,11,6,3,1,7427,325.79869565217393,1,1,0
juna,58,51,3.4307533539731683,44.69507101086049,230114.75856307434,76,295,254,23530.232193732194,14,4,0,0,7418,309.5782608695652,2,1,0
keen,31,17,3.666666666666667,39.16666666666667,111929.14583333334,33,86,102,24282.525735294115,9,1,0,0,3985,228.57189542483655,3,1,1
lunari,45,49,2.7481203007518795,55.952380952380956,314587.7470238095,68,273,306,31695.827407407407,16,2,0,0,6493,280.1582608695652,6,1,0
madss,51,53,3.002558479532164,44.82758620689655,266943.02194357367,74,353,313,26386.549764309762,14,4,1,0,6733,290.4582608695652,5,1,0
micro,68,48,4.291751012145749,44.71014492753623,247688.1447826087,77,311,311,24790.30849002849,19,8,1,0,9467,393.3610869565217,5,1,0
sathsea,48,52,2.791666666666667,36.11111111111111,203787.57222222222,67,268,204,23261.898974358977,10,5,1,0,6629,278.08528985507246,7,0,0
shadiy,34,17,4.027777777777778,64.23611111111111,102570.41666666666,32,97,103,23288.448529411762,12,4,1,0,4807,274.9150326797386,0,0,1
spamzzy,64,51,3.8322368421052633,49.88149105796165,251610.66989872872,78,298,289,27037.328774928774,15,4,0,0,8581,357.30188405797105,2,2,0
tender272,59,55,3.2251461988304095,68.73148148148148,270895.5177777778,73,251,284,21092.247806267806,18,6,0,0,8677,360.34478260869565,1,2,0
torii,33,54,1.8617647058823528,53.47222222222222,259993.26388888888,61,244,155,28085.725185185183,5,3,0,0,5056,224.74478260869566,2,1,0
violet_,47,53,2.7254901960784315,31.216931216931215,299565.9111111111,70,260,292,19812.11090909091,11,4,1,0,7286,325.8878260869565,2,0,0
wasteyute,39,54,2.180952380952381,44.444444444444436,232905.6,78,195,162,20490.757321937323,6,2,0,0,5743,238.52949275362317,1,0,0
