player_name,demo_file,map_name,kills,deaths,kd_ratio,headshot_percentage,avg_time_to_kill_ticks,opening_kills,kills_before_bomb,kills_after_bomb,avg_time_alive_ticks,multi_kill_2k,multi_kill_3k,multi_kill_4k,multi_kill_5k,total_damage,damage_per_round,bombs_planted,bombs_defused
a_m_c,aether-vs-full-send-m2-inferno,de_inferno,19,18,1.0555555555555556,26.31578947368421,92657.84210526316,25,115,113,6948.8,4,2,0,0,2796,121.56521739130434,1,0
sathsea,aether-vs-full-send-m2-inferno,de_inferno,20,18,1.1111111111111112,35.0,96580.05,25,114,126,8724.04,3,3,0,0,2463,107.08695652173913,4,0
CULIACAN,aether-vs-full-send-m2-inferno,de_inferno,15,19,0.7894736842105263,53.333333333333336,107290.73333333334,25,72,108,6167.64,5,0,0,0,2061,89.6086956521739,0,0
micro,aether-vs-full-send-m2-inferno,de_inferno,20,13,1.5384615384615385,35.0,104764.55,25,95,145,10702.28,5,2,1,0,2871,124.82608695652173,3,1
Majesticzz,aether-vs-full-send-m2-inferno,de_inferno,12,17,0.7058823529411765,50.0,84216.25,25,76,68,7499.64,2,0,0,0,1875,81.52173913043478,0,0
juna,aether-vs-full-send-m2-inferno,de_inferno,21,19,1.105263157894737,42.857142857142854,92282.90476190476,25,122,130,6473.0,5,1,0,0,2311,100.47826086956522,0,0
wasteyute,aether-vs-full-send-m2-inferno,de_inferno,12,18,0.6666666666666666,33.33333333333333,96946.66666666667,25,65,79,6828.32,2,0,0,0,1641,71.34782608695652,1,0
tender272,aether-vs-full-send-m2-inferno,de_inferno,18,19,0.9473684210526315,44.44444444444444,102264.77777777778,25,89,127,6515.48,6,4,0,0,2609,113.43478260869566,0,0
4TAYLOR,aether-vs-full-send-m2-inferno,de_inferno,14,19,0.7368421052631579,50.0,81487.42857142857,25,90,78,7882.6,2,0,0,0,2370,103.04347826086956,3,0
spamzzy,aether-vs-full-send-m2-inferno,de_inferno,21,16,1.3125,42.857142857142854,82745.09523809524,25,136,116,8691.4,7,0,0,0,2819,122.56521739130434,0,0
a_m_c,aether-vs-full-send-m1-mirage,de_mirage,18,18,1.0,44.44444444444444,72962.94444444444,26,88,74,10443.26923076923,4,1,0,0,2462,102.58333333333333,0,0
sathsea,aether-vs-full-send-m1-mirage,de_mirage,18,16,1.125,33.33333333333333,55494.22222222222,26,102,60,6721.192307692308,4,2,1,0,2615,108.95833333333333,1,0
CULIACAN,aether-vs-full-send-m1-mirage,de_mirage,15,17,0.8823529411764706,40.0,85483.46666666666,24,62,73,7009.307692307692,4,1,0,0,2105,87.70833333333333,0,0
micro,aether-vs-full-send-m1-mirage,de_mirage,23,16,1.4375,39.130434782608695,67439.43478260869,25,114,93,7540.7692307692305,5,3,0,0,2817,117.375,1,0
Majesticzz,aether-vs-full-send-m1-mirage,de_mirage,19,17,1.1176470588235294,52.63157894736842,64894.63157894737,26,98,73,7712.461538461538,4,2,1,0,2218,92.41666666666667,2,1
juna,aether-vs-full-send-m1-mirage,de_mirage,19,15,1.2666666666666666,57.89473684210527,63298.63157894737,26,98,73,8167.2692307692305,4,1,0,0,2892,120.5,2,0
wasteyute,aether-vs-full-send-m1-mirage,de_mirage,12,15,0.8,66.66666666666666,58801.666666666664,26,64,44,8119.807692307692,0,0,0,0,1861,77.54166666666667,0,0
tender272,aether-vs-full-send-m1-mirage,de_mirage,16,18,0.8888888888888888,93.75,73020.5,21,78,66,6829.7307692307695,5,0,0,0,2514,104.75,1,0
4TAYLOR,aether-vs-full-send-m1-mirage,de_mirage,13,19,0.6842105263157895,46.15384615384615,91227.30769230769,26,48,69,5801.615384615385,2,2,1,0,1829,76.20833333333333,1,1
spamzzy,aether-vs-full-send-m1-mirage,de_mirage,17,19,0.8947368421052632,52.94117647058824,87340.88235294117,26,66,87,7646.076923076923,3,1,0,0,2554,106.41666666666667,1,1
a_m_c,aether-vs-full-send-m3-train,de_train,17,17,1.0,29.411764705882355,93868.88235294117,26,56,63,9245.481481481482,4,1,0,0,2691,107.64,1,0
sathsea,aether-vs-full-send-m3-train,de_train,10,18,0.5555555555555556,40.0,51713.3,16,52,18,7816.666666666667,3,0,0,0,1551,62.04,2,0
CULIACAN,aether-vs-full-send-m3-train,de_train,15,20,0.75,60.0,90330.06666666667,26,49,56,6747.444444444444,3,2,0,0,2265,90.6,1,0
micro,aether-vs-full-send-m3-train,de_train,25,19,1.3157894736842106,60.0,75484.16,27,102,73,6547.259259259259,9,3,0,0,3779,151.16,1,0
Majesticzz,aether-vs-full-send-m3-train,de_train,13,20,0.65,46.15384615384615,87837.38461538461,27,44,47,6971.814814814815,1,0,0,0,1608,64.32,1,0
juna,aether-vs-full-send-m3-train,de_train,18,17,1.0588235294117647,33.33333333333333,74533.22222222222,25,75,51,8889.962962962964,5,2,0,0,2215,88.6,0,1
