assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,Majesticzz,76561198144801954,False,False,1.0093751,2,31,0,False,generic,False,False,0,0,False,1453,CULIACAN,76561198166020071,knife_butterfly,17293822569175450115,45837259540,,0
False,4TAYLOR,76561198852710277,a_m_c,76561198804371130,False,False,1.657804,2,31,0,False,generic,False,False,0,0,False,1910,Majesticzz,76561198144801954,knife_t,17293822569102704699,0,,0
False,juna,76561198366358433,sathsea,76561198401647782,False,False,0.9227075,4,55,0,False,generic,False,False,0,0,False,2048,spamzzy,76561198003724030,knife_m9_bayonet,17293822569139864060,44970148319,,0
False,4TAYLOR,76561198852710277,micro,76561198072040762,False,False,1.2373382,3,34,0,False,generic,False,False,0,0,False,2079,a_m_c,76561198804371130,knife_karambit,17293822569105523195,44263201223,,0
False,,,wasteyute,76561199373196281,False,False,1.101531,13,153,0,False,generic,False,False,0,0,False,2112,4TAYLOR,76561198852710277,knife_falchion,17293822569102705152,39316488355,,0
False,wasteyute,76561199373196281,sathsea,76561198401647782,False,False,1.5433336,5,61,0,False,generic,True,False,0,0,False,2189,tender272,76561197993724724,knife_m9_bayonet,17293822569139864060,44970148319,,0
False,,,micro,76561198072040762,False,False,7.4717894,0,133,0,True,head,False,False,0,0,False,6431,CULIACAN,76561198166020071,usp_silencer,17293822569179578429,42933777691,,0
False,,,juna,76561198366358433,False,False,4.6513786,0,140,0,True,head,False,False,0,0,False,7095,spamzzy,76561198003724030,elite,17293822569190195202,44579112838,,0
False,,,wasteyute,76561199373196281,False,False,6.043963,0,134,0,True,head,False,False,0,0,False,7165,a_m_c,76561198804371130,hkp2000,17293822569136455712,37377487075,,0
False,,,4TAYLOR,76561198852710277,False,False,14.178097,0,100,0,True,head,False,False,0,0,False,7410,sathsea,76561198401647782,glock,17293822569183117316,45380065012,,0
False,,,Majesticzz,76561198144801954,False,False,9.094955,0,108,0,True,head,False,False,0,0,False,7844,wasteyute,76561199373196281,glock,17293822569102704644,0,,0
False,spamzzy,76561198003724030,Majesticzz,76561198144801954,False,False,10.094928,0,106,0,True,head,False,False,0,0,False,7931,tender272,76561197993724724,glock,17293822569102704644,0,,0
False,,,micro,76561198072040762,False,True,4.2418327,0,136,0,True,head,False,False,0,0,False,8355,4TAYLOR,76561198852710277,usp_silencer,17293822569179578429,42933777691,,0
False,,,Majesticzz,76561198144801954,False,False,13.410974,0,101,0,True,head,False,False,0,0,False,8444,juna,76561198366358433,glock,17293822569102704644,0,,0
False,,,Majesticzz,76561198144801954,False,False,11.7241335,0,104,0,True,head,False,False,0,0,False,9391,micro,76561198072040762,glock,17293822569102704644,0,,0
False,,,CULIACAN,76561198166020071,False,False,26.252869,0,29,0,False,chest,False,False,0,0,False,13658,tender272,76561197993724724,galilar,17293822569102704653,0,,0
False,,,wasteyute,76561199373196281,False,False,24.73721,28,59,0,True,head,False,False,0,0,False,14290,4TAYLOR,76561198852710277,hkp2000,17293822569136455712,37377487075,,0
False,4TAYLOR,76561198852710277,spamzzy,76561198003724030,False,False,3.6659224,0,38,0,False,stomach,False,False,0,0,False,14295,wasteyute,76561199373196281,galilar,17293822569122168845,42935343253,,0
False,,,sathsea,76561198401647782,False,False,21.152761,29,60,0,True,head,False,False,0,0,False,14314,spamzzy,76561198003724030,usp_silencer,17293822569123217469,46208270198,,0
False,,,Majesticzz,76561198144801954,False,False,11.125434,0,141,0,True,head,False,False,0,0,False,14607,sathsea,76561198401647782,ak47,17293822569170534407,46173004551,,0
False,,,Majesticzz,76561198144801954,False,False,14.725949,0,141,0,True,head,False,False,0,0,False,14672,juna,76561198366358433,ak47,17293822569170534407,46173004551,,0
False,,,a_m_c,76561198804371130,False,False,38.54454,0,75,0,True,head,False,False,1,0,False,15054,micro,76561198072040762,galilar,17293822569102704653,0,,0
False,sathsea,76561198401647782,wasteyute,76561199373196281,False,False,10.705827,5,25,0,False,chest,False,False,0,0,False,18796,Majesticzz,76561198144801954,m4a1_silencer,17293822569190391868,45988055989,,0
False,,,spamzzy,76561198003724030,False,False,3.9292605,13,92,0,True,head,False,False,0,0,False,19012,wasteyute,76561199373196281,galilar,17293822569102704653,0,,0
False,wasteyute,76561199373196281,micro,76561198072040762,False,False,29.673943,4,23,0,False,left_arm,False,False,0,0,False,19053,spamzzy,76561198003724030,m4a1_silencer,17293822569164701756,42956831493,,0
False,wasteyute,76561199373196281,juna,76561198366358433,False,False,20.821836,6,30,0,False,stomach,False,False,0,0,False,19124,4TAYLOR,76561198852710277,m4a1_silencer,17293822569102704700,46214634260,,0
False,juna,76561198366358433,micro,76561198072040762,False,False,29.035294,13,63,0,True,head,False,False,1,0,False,19234,a_m_c,76561198804371130,m4a1_silencer,17293822569164701756,42956831493,,0
False,,,micro,76561198072040762,False,False,25.654512,17,82,0,True,head,False,False,0,0,False,19547,CULIACAN,76561198166020071,m4a1_silencer,17293822569164701756,42956831493,,0
False,,,spamzzy,76561198003724030,False,False,3.730082,3,23,0,False,left_arm,False,False,0,0,True,23654,micro,76561198072040762,galilar,17293822569122168845,42935343253,,0
False,,,juna,76561198366358433,False,False,20.7729,15,108,0,True,head,False,False,0,0,True,23921,4TAYLOR,76561198852710277,ak47,17293822569181806599,43808342240,,0
False,,,juna,76561198366358433,False,False,20.249708,15,108,0,True,head,False,False,0,0,True,24024,spamzzy,76561198003724030,ak47,17293822569181806599,43808342240,,0
False,,,sathsea,76561198401647782,False,False,5.7316113,0,128,0,True,head,False,False,0,0,False,24065,CULIACAN,76561198166020071,m4a1_silencer,17293822569102704700,0,,0
False,,,a_m_c,76561198804371130,False,False,6.6604686,16,111,0,True,head,False,False,0,0,False,24117,sathsea,76561198401647782,ak47,17293822569170534407,40310137444,,0
False,,,tender272,76561197993724724,False,False,6.859111,16,110,0,True,head,False,False,0,0,False,24200,a_m_c,76561198804371130,ak47,17293822569170534407,46173004551,,0
False,,,Majesticzz,76561198144801954,False,False,14.269632,15,110,0,True,head,False,False,0,0,False,24812,tender272,76561197993724724,ak47,17293822569170534407,46173004551,,0
False,,,wasteyute,76561199373196281,False,False,9.612219,18,88,0,True,head,False,False,0,0,False,25530,Majesticzz,76561198144801954,m4a1_silencer,17293822569102704700,46214634260,,0
False,,,micro,76561198072040762,False,False,10.44322,0,93,0,True,head,False,False,0,0,False,28455,CULIACAN,76561198166020071,mp9,17293822569124266018,42934400155,,0
False,4TAYLOR,76561198852710277,a_m_c,76561198804371130,False,False,3.710315,1,47,0,False,chest,False,False,0,0,False,28683,micro,76561198072040762,deagle,17293822569130557441,38632989551,,0
False,,,spamzzy,76561198003724030,False,False,9.793741,0,27,0,False,stomach,False,False,3,0,False,28719,tender272,76561197993724724,deagle,17293822569102704641,0,,0
False,,,wasteyute,76561199373196281,False,False,22.604279,0,139,0,True,head,False,False,0,0,False,29301,Majesticzz,76561198144801954,ak47,17293822569170534407,46173004551,,0
False,juna,76561198366358433,sathsea,76561198401647782,False,False,24.011269,0,42,0,False,stomach,False,False,0,0,True,30282,a_m_c,76561198804371130,m4a1_silencer,17293822569102704700,0,,0
False,,,sathsea,76561198401647782,False,False,14.947144,0,44,0,False,stomach,False,False,0,0,True,30346,4TAYLOR,76561198852710277,m4a1_silencer,17293822569102704700,0,,0
False,tender272,76561197993724724,sathsea,76561198401647782,False,False,20.441135,0,30,0,False,chest,False,False,0,0,True,30441,spamzzy,76561198003724030,usp_silencer,17293822569123217469,46208270198,,0
False,,,a_m_c,76561198804371130,False,False,20.74005,15,108,0,True,head,False,False,0,0,False,35285,juna,76561198366358433,ak47,17293822569170534407,40310137444,,0
False,,,sathsea,76561198401647782,False,False,32.83889,1,109,0,False,chest,False,False,0,0,False,35487,4TAYLOR,76561198852710277,awp,17293822569111683081,41116316378,,0
False,,,spamzzy,76561198003724030,False,False,33.376522,15,106,0,True,head,False,False,0,0,False,35818,wasteyute,76561199373196281,ak47,17293822569102704647,0,,0
False,,,CULIACAN,76561198166020071,False,False,15.407799,4,34,0,False,stomach,False,False,0,0,False,35935,sathsea,76561198401647782,ak47,17293822569181806599,43808342240,,0
False,,,micro,76561198072040762,False,False,9.735627,5,26,0,False,chest,False,False,0,0,False,36075,a_m_c,76561198804371130,m4a1_silencer,17293822569164701756,42956831493,,0
False,a_m_c,76561198804371130,CULIACAN,76561198166020071,False,False,24.923796,3,27,0,False,chest,False,False,0,0,False,36163,micro,76561198072040762,ak47,17293822569181806599,43808342240,,0
False,micro,76561198072040762,tender272,76561197993724724,False,False,12.790767,18,87,0,True,head,False,False,0,0,False,37657,spamzzy,76561198003724030,m4a1_silencer,17293822569102704700,0,,0
False,spamzzy,76561198003724030,CULIACAN,76561198166020071,False,False,22.931072,5,40,0,True,head,False,False,1,0,False,37774,tender272,76561197993724724,ak47,17293822569181806599,43808342240,,0
False,,,Majesticzz,76561198144801954,False,False,31.451456,0,137,0,True,head,False,False,0,0,False,40927,sathsea,76561198401647782,ak47,17293822569170534407,46173004551,,0
False,,,juna,76561198366358433,False,False,20.260664,17,84,0,True,head,False,False,0,0,False,41426,CULIACAN,76561198166020071,m4a1_silencer,17293822569102704700,46214634260,,0
False,CULIACAN,76561198166020071,juna,76561198366358433,False,False,21.057503,5,24,0,False,chest,False,False,0,0,False,41458,spamzzy,76561198003724030,m4a1_silencer,17293822569102704700,46214634260,,0
False,,,tender272,76561197993724724,False,False,23.775822,17,82,0,True,head,False,False,0,0,False,41561,a_m_c,76561198804371130,m4a1_silencer,17293822569102704700,46214634260,,0
False,,,tender272,76561197993724724,False,False,13.46,18,87,0,True,head,False,False,0,0,False,41567,Majesticzz,76561198144801954,m4a1_silencer,17293822569102704700,46214634260,,0
False,Majesticzz,76561198144801954,4TAYLOR,76561198852710277,False,False,13.620761,3,27,0,False,chest,False,False,0,0,False,41610,tender272,76561197993724724,ak47,17293822569110110215,45861538138,,0
False,,,juna,76561198366358433,False,False,17.677988,18,85,0,True,head,False,False,0,0,False,41752,4TAYLOR,76561198852710277,m4a1_silencer,17293822569102704700,46214634260,,0
False,,,sathsea,76561198401647782,False,False,19.24071,0,113,0,False,chest,False,False,0,0,False,46134,CULIACAN,76561198166020071,awp,17293822569140977673,44935018707,,0
False,,,micro,76561198072040762,False,False,17.984602,0,12,0,False,chest,False,False,0,0,False,46147,spamzzy,76561198003724030,xm1014,17293822569135800345,4949931951,,0
False,,,sathsea,76561198401647782,False,False,10.936292,1,112,0,False,right_arm,False,False,0,0,False,46273,a_m_c,76561198804371130,awp,17293822569140977673,44935018707,,0
False,,,sathsea,76561198401647782,False,False,1.7219656,0,138,0,True,head,False,False,0,0,False,46367,Majesticzz,76561198144801954,usp_silencer,17293822569123217469,46208270198,,0
True,juna,76561198366358433,sathsea,76561198401647782,False,False,10.072504,1,111,0,False,chest,False,False,0,0,False,46557,4TAYLOR,76561198852710277,awp,17293822569140977673,44935018707,,0
False,,,CULIACAN,76561198166020071,False,False,24.205252,3,22,0,False,chest,False,False,0,0,False,52960,micro,76561198072040762,galilar,17293822569102704653,0,,0
False,,,sathsea,76561198401647782,False,False,40.040874,1,109,0,False,chest,False,False,0,0,False,52977,spamzzy,76561198003724030,awp,17293822569140977673,44935018707,,0
False,,,4TAYLOR,76561198852710277,False,False,18.447811,15,109,0,True,head,False,False,0,0,False,53616,tender272,76561197993724724,ak47,17293822569110110215,45861538138,,0
False,,,juna,76561198366358433,False,False,21.181591,5,24,0,False,chest,False,False,0,0,False,53945,CULIACAN,76561198166020071,m4a1_silencer,17293822569102704700,46214634260,,0
False,CULIACAN,76561198166020071,4TAYLOR,76561198852710277,False,False,10.926246,6,45,0,True,head,False,False,1,0,False,54023,juna,76561198366358433,ak47,17293822569110110215,45861538138,,0
False,sathsea,76561198401647782,wasteyute,76561199373196281,False,False,18.801321,18,84,0,True,head,False,False,0,0,False,54579,Majesticzz,76561198144801954,m4a1_silencer,17293822569190391868,45988055989,,0
False,,,4TAYLOR,76561198852710277,False,False,12.303129,3,27,0,False,chest,False,False,0,0,False,54805,wasteyute,76561199373196281,ak47,17293822569110110215,45861538138,,0
False,,,a_m_c,76561198804371130,False,False,5.320495,7,13,0,False,chest,False,False,0,0,False,54869,sathsea,76561198401647782,glock,17293822569155657732,15359486587,,0
False,,,micro,76561198072040762,False,False,43.14895,17,84,0,True,head,False,False,0,0,False,57534,4TAYLOR,76561198852710277,m4a1,17293822569170927632,42934169073,,0
False,,,juna,76561198366358433,False,False,7.6962,19,89,0,True,head,False,False,0,0,False,58336,CULIACAN,76561198166020071,m4a1_silencer,17293822569164701756,42956831493,,0
False,,,sathsea,76561198401647782,False,False,26.815495,5,439,0,True,head,False,False,0,0,False,58759,spamzzy,76561198003724030,awp,17293822569140977673,44935018707,,0
False,,,juna,76561198366358433,False,False,31.1896,6,28,0,False,stomach,False,False,0,0,False,58891,Majesticzz,76561198144801954,m4a1_silencer,17293822569164701756,42956831493,,0
False,,,tender272,76561197993724724,False,False,13.35197,18,87,0,True,head,False,False,0,0,False,58896,a_m_c,76561198804371130,m4a1_silencer,17293822569102704700,0,,0
False,juna,76561198366358433,micro,76561198072040762,False,False,9.428704,0,142,0,True,head,False,False,0,0,False,62621,a_m_c,76561198804371130,ak47,17293822569110110215,45861538138,,0
False,,,micro,76561198072040762,False,False,9.63181,4,34,0,False,stomach,False,False,0,0,False,62710,4TAYLOR,76561198852710277,ak47,17293822569110110215,45861538138,,0
False,,,juna,76561198366358433,False,False,10.818975,5,25,0,False,chest,False,False,0,0,False,63301,CULIACAN,76561198166020071,m4a1_silencer,17293822569102704700,46214634260,,0
False,juna,76561198366358433,micro,76561198072040762,False,False,11.927821,3,28,0,False,right_arm,False,False,0,0,False,63510,Majesticzz,76561198144801954,ak47,17293822569110110215,45861538138,,0
False,,,tender272,76561197993724724,False,False,24.643896,0,117,0,True,head,False,False,0,0,False,63621,spamzzy,76561198003724030,m4a1_silencer,17293822569102704700,0,,0
