assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
True,noni,76561199044291307,weaveR,76561198364714069,False,False,4.779,0,113,0,True,head,False,False,0,0,False,861,woozzzi,76561199105136854,glock,17293822569102704644,0,,0
False,ddd,76561198860321247,weaveR,76561198364714069,False,False,14.242291,0,100,0,True,head,False,False,0,0,False,915,NEOFRAG,76561198215434685,glock,17293822569102704644,0,,0
False,,,K1-FiDa,76561198129824467,False,False,26.830858,0,114,0,True,head,False,False,0,0,False,1256,kumao,76561199073314096,usp_silencer,17293822569102704701,0,,0
False,,,MoriiSko,76561198051727799,False,False,25.871405,0,115,0,True,head,False,False,0,0,False,2385,ddd,76561198860321247,usp_silencer,17293822569145499709,25610443335,,0
False,,,MoriiSko,76561198051727799,False,False,9.978098,0,130,0,True,head,False,False,0,0,False,2442,noni,76561199044291307,usp_silencer,17293822569145499709,25610443335,,0
False,NEOFRAG,76561198215434685,M1key,76561198182168605,False,False,4.7321277,0,139,0,True,head,False,False,0,0,False,2698,weaveR,76561198364714069,elite,17293822569151660034,47205493530,,0
False,,,buster,76561198173201923,False,False,19.417322,0,93,0,True,head,False,False,0,0,False,3108,MoriiSko,76561198051727799,glock,17293822569127673860,23326093019,,0
False,MoriiSko,76561198051727799,M1key,76561198182168605,False,False,19.47512,0,106,0,True,head,False,False,0,0,False,3165,buster,76561198173201923,elite,17293822569151660034,47205493530,,0
False,,,woozzzi,76561199105136854,False,False,17.133911,0,28,0,False,chest,False,False,0,0,False,9224,noni,76561199044291307,famas,17293822569102704650,0,,0
False,,,buster,76561198173201923,False,False,20.88818,5,147,0,True,head,False,False,0,0,False,10182,M1key,76561198182168605,deagle,17293822569125707777,39950780362,,0
False,,,woozzzi,76561199105136854,False,False,5.54783,0,117,0,True,head,False,False,0,0,False,10321,buster,76561198173201923,famas,17293822569102704650,0,,0
False,K1-FiDa,76561198129824467,woozzzi,76561199105136854,False,False,20.056988,0,28,0,False,left_arm,False,False,0,0,False,11579,kumao,76561199073314096,famas,17293822569102704650,0,,0
False,NEOFRAG,76561198215434685,woozzzi,76561199105136854,False,False,20.321642,0,35,0,False,stomach,False,False,0,0,False,11625,weaveR,76561198364714069,famas,17293822569102704650,0,,0
