assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,ddd,76561198860321247,False,False,23.746681,0,117,0,True,head,False,False,0,0,False,798,M1key,76561198182168605,usp_silencer,17293822569102704701,0,,0
False,woozzzi,76561199105136854,NEOFRAG,76561198215434685,False,False,38.478924,0,73,0,True,head,False,False,0,0,False,940,noni,76561199044291307,glock,17293822569102901252,41502310858,,0
False,,,NEOFRAG,76561198215434685,False,False,19.472353,0,93,0,True,head,False,False,0,0,False,1512,kumao,76561199073314096,glock,17293822569102901252,41502310858,,0
False,,,ddd,76561198860321247,False,False,7.634982,0,132,0,True,head,False,False,0,0,False,1829,NEOFRAG,76561198215434685,usp_silencer,17293822569102704701,0,,0
False,,,buster,76561198173201923,False,False,9.43917,0,130,0,True,head,False,False,0,0,False,2879,MoriiSko,76561198051727799,usp_silencer,17293822569121710141,18581171104,,0
False,,,weaveR,76561198364714069,False,False,17.891037,0,122,0,True,head,False,False,0,0,True,3583,K1-FiDa,76561198129824467,usp_silencer,17293822569102704701,0,,0
False,,,woozzzi,76561199105136854,False,False,20.332962,0,92,0,True,head,False,False,0,0,False,3816,ddd,76561198860321247,glock,17293822569102704644,0,,0
False,,,woozzzi,76561199105136854,False,False,23.620115,0,88,0,True,head,True,False,0,0,True,4148,weaveR,76561198364714069,glock,17293822569102704644,0,,0
False,,,kumao,76561199073314096,False,False,38.98197,4,22,0,False,chest,False,False,0,0,False,9823,NEOFRAG,76561198215434685,m4a1_silencer,17293822569130885180,28576105772,,0
False,,,K1-FiDa,76561198129824467,False,False,5.3769603,13,92,0,True,head,False,False,0,0,False,9948,weaveR,76561198364714069,galilar,17293822569102704653,0,,0
False,,,kumao,76561199073314096,False,False,34.800007,16,78,0,True,head,False,False,0,0,False,10021,woozzzi,76561199105136854,m4a1_silencer,17293822569130885180,28576105772,,0
False,,,MoriiSko,76561198051727799,False,False,9.385585,3,22,0,False,chest,False,False,0,0,False,10166,noni,76561199044291307,galilar,17293822569170731021,23035582681,,0
False,,,K1-FiDa,76561198129824467,False,False,13.859198,13,91,0,True,head,False,False,0,0,False,10267,kumao,76561199073314096,galilar,17293822569102704653,0,,0
False,weaveR,76561198364714069,ddd,76561198860321247,False,False,20.276241,5,24,0,False,chest,False,False,0,0,False,10384,K1-FiDa,76561198129824467,m4a1_silencer,17293822569102704700,27476497809,,0
False,,,MoriiSko,76561198051727799,False,False,23.903078,13,89,0,True,head,False,False,0,0,False,10872,buster,76561198173201923,galilar,17293822569170731021,23035582681,,0
False,,,MoriiSko,76561198051727799,False,False,4.8011656,3,23,0,False,chest,False,False,0,0,False,12797,ddd,76561198860321247,galilar,17293822569170731021,23035582681,,0
False,,,NEOFRAG,76561198215434685,False,False,20.298008,0,34,0,False,right_arm,False,False,0,0,True,17207,noni,76561199044291307,m4a1_silencer,17293822569102704700,27476497809,,0
False,noni,76561199044291307,ddd,76561198860321247,False,False,6.241309,5,105,0,True,head,False,False,0,0,False,17307,NEOFRAG,76561198215434685,fiveseven,17293822569154084867,45715297204,,0
False,,,MoriiSko,76561198051727799,False,False,7.319754,4,27,0,False,chest,False,False,0,0,False,17523,buster,76561198173201923,ak47,17293822569121185799,39805700822,,0
False,ddd,76561198860321247,weaveR,76561198364714069,False,False,21.18088,3,82,0,True,head,False,False,0,0,False,17874,M1key,76561198182168605,fiveseven,17293822569102704643,0,,0
False,,,K1-FiDa,76561198129824467,False,False,39.90253,3,21,0,False,chest,False,False,0,0,True,22831,ddd,76561198860321247,galilar,17293822569102704653,0,,0
False,,,MoriiSko,76561198051727799,False,False,5.88813,0,142,0,True,head,False,False,0,0,False,24314,noni,76561199044291307,ak47,17293822569121185799,39805700822,,0
False,ddd,76561198860321247,kumao,76561199073314096,False,False,8.642356,18,56,0,True,head,False,False,0,0,False,24336,MoriiSko,76561198051727799,mp9,17293822569152184354,36275932533,,0
False,,,weaveR,76561198364714069,False,False,9.085523,4,100,0,True,head,False,False,0,0,False,26371,K1-FiDa,76561198129824467,fiveseven,17293822569102704643,0,,0
False,buster,76561198173201923,weaveR,76561198364714069,False,False,13.794661,1,23,0,False,chest,False,False,0,0,False,27888,M1key,76561198182168605,fiveseven,17293822569102704643,0,,0
False,,,kumao,76561199073314096,False,False,7.772152,16,110,0,True,head,False,False,0,0,False,31704,MoriiSko,76561198051727799,ak47,17293822569121185799,39805700822,,0
False,,,ddd,76561198860321247,False,False,25.99432,5,23,0,False,chest,False,False,0,0,False,31963,woozzzi,76561199105136854,m4a1_silencer,17293822569102704700,0,,0
False,,,M1key,76561198182168605,False,False,11.31199,15,109,0,True,head,False,False,0,0,False,31968,ddd,76561198860321247,ak47,17293822569182724103,47270764609,,0
False,,,M1key,76561198182168605,False,False,26.21999,0,8,0,False,generic,False,False,0,0,False,32147,kumao,76561199073314096,inferno,,,,0
False,,,K1-FiDa,76561198129824467,False,False,21.326048,15,107,0,True,head,False,False,0,0,False,34236,weaveR,76561198364714069,ak47,17293822569170534407,39959807525,,0
