assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,broky,76561198201620490,False,False,31.563335,0,111,0,True,head,False,False,0,0,False,2231,Wicadia,76561198812513923,usp_silencer,17293822569102704701,0,,0
False,XANTARES,76561198044118796,woxic,76561198083485506,False,False,35.969204,0,113,0,True,head,False,False,0,0,False,2548,rain,76561197997351207,p250,17293822569130623012,27842276787,,0
False,,,XANTARES,76561198044118796,False,False,31.227789,0,80,0,True,head,False,False,0,0,False,2736,Twistzz,76561198016255205,glock,17293822569105195012,16140959508,,0
False,frozen,76561198068422762,broky,76561198201620490,False,False,23.198622,0,118,0,True,head,False,False,0,0,False,6661,MAJ3R,76561197967432889,usp_silencer,17293822569102704701,0,,0
False,,,broky,76561198201620490,False,False,14.4782715,0,126,0,True,head,False,False,0,0,False,6822,jottAAA,76561198410750263,usp_silencer,17293822569102704701,0,,0
False,broky,76561198201620490,frozen,76561198068422762,False,False,34.474686,0,108,0,True,head,False,False,0,0,False,6827,woxic,76561198083485506,usp_silencer,17293822569135734845,42949321073,,0
False,broky,76561198201620490,frozen,76561198068422762,False,False,26.276405,0,115,0,True,head,False,False,0,0,False,7101,XANTARES,76561198044118796,usp_silencer,17293822569135734845,42949321073,,0
False,,,rain,76561197997351207,False,False,11.563588,0,23,0,False,chest,False,False,0,0,False,9697,jottAAA,76561198410750263,mp9,17293822569177022498,26478560146,,0
False,,,broky,76561198201620490,False,False,18.630318,0,44,0,False,stomach,False,False,0,0,False,12808,MAJ3R,76561197967432889,m4a1_silencer,17293822569179119676,44892306957,,0
False,rain,76561197997351207,broky,76561198201620490,False,False,19.134706,0,35,0,False,chest,False,False,0,0,False,12828,XANTARES,76561198044118796,m4a1_silencer,17293822569179119676,44892306957,,0
False,,,karrigan,76561197989430253,False,False,18.246761,0,113,0,True,head,False,False,0,0,False,13036,woxic,76561198083485506,famas,17293822569137373194,8717710150,,0
False,rain,76561197997351207,Twistzz,76561198016255205,False,False,19.343504,0,21,0,False,chest,False,False,0,0,False,13130,Wicadia,76561198812513923,mp9,17293822569128001570,40274871472,,0
False,,,XANTARES,76561198044118796,False,False,20.668888,15,108,0,True,head,False,False,0,0,False,16619,frozen,76561198068422762,ak47,17293822569114501127,16140956420,,0
False,,,XANTARES,76561198044118796,False,False,8.215692,15,111,0,True,head,False,False,0,0,False,17330,Twistzz,76561198016255205,ak47,17293822569114501127,16140956420,,0
False,,,rain,76561197997351207,False,False,8.488071,18,56,0,True,head,False,False,0,0,False,17639,MAJ3R,76561197967432889,mp9,17293822569177022498,26478560146,,0
False,,,rain,76561197997351207,False,False,29.44727,3,26,0,False,chest,False,False,0,0,False,18191,Wicadia,76561198812513923,ak47,17293822569114501127,44121886366,,0
False,,,XANTARES,76561198044118796,False,False,21.402418,15,108,0,True,head,False,False,0,0,False,18354,rain,76561197997351207,ak47,17293822569114501127,16140956420,,0
False,,,jottAAA,76561198410750263,False,False,7.5937247,4,28,0,False,chest,False,False,0,0,False,18434,karrigan,76561197989430253,ak47,17293822569149038599,46834886873,,0
False,XANTARES,76561198044118796,jottAAA,76561198410750263,False,False,24.211073,3,27,0,False,chest,False,False,0,0,False,18910,broky,76561198201620490,ak47,17293822569149038599,46834886873,,0
False,,,jottAAA,76561198410750263,False,False,19.752882,15,108,0,True,head,False,False,0,0,False,22698,broky,76561198201620490,ak47,17293822569149038599,46834886873,,0
False,,,Twistzz,76561198016255205,False,False,16.182129,5,25,0,False,chest,False,False,0,0,False,22779,jottAAA,76561198410750263,m4a1_silencer,17293822569109651516,41487540675,,0
False,,,XANTARES,76561198044118796,False,False,26.96574,0,138,0,True,head,False,False,0,0,False,24044,karrigan,76561197989430253,ak47,17293822569114501127,16140956420,,0
False,,,Wicadia,76561198812513923,False,False,2.3031821,4,28,0,False,chest,False,False,0,0,False,24256,rain,76561197997351207,ak47,17293822569149038599,46834886873,,0
False,,,Wicadia,76561198812513923,False,False,11.065858,0,141,0,True,head,False,False,0,0,True,24275,Twistzz,76561198016255205,ak47,17293822569149038599,46834886873,,0
False,,,frozen,76561198068422762,False,False,26.144997,17,82,0,True,head,False,False,0,0,False,24327,XANTARES,76561198044118796,m4a1_silencer,17293822569167192124,30147640710,,0
False,XANTARES,76561198044118796,Wicadia,76561198812513923,False,False,22.279625,0,139,0,True,head,False,False,0,0,False,24712,frozen,76561198068422762,ak47,17293822569149038599,46834886873,,0
False,,,jottAAA,76561198410750263,False,False,18.084543,0,140,0,True,head,False,False,0,0,True,27503,broky,76561198201620490,ak47,17293822569170534407,25065970543,,0
False,Wicadia,76561198812513923,jottAAA,76561198410750263,False,False,16.01592,0,44,0,False,stomach,False,False,0,0,True,27535,rain,76561197997351207,ak47,17293822569170534407,25065970543,,0
True,MAJ3R,76561197967432889,jottAAA,76561198410750263,False,False,28.322273,0,43,0,False,stomach,False,False,0,0,True,27541,karrigan,76561197989430253,ak47,17293822569170534407,25065970543,,0
False,,,XANTARES,76561198044118796,False,False,10.857421,0,35,0,False,chest,False,False,0,0,False,27646,frozen,76561198068422762,ak47,17293822569114501127,16140956420,,0
True,MAJ3R,76561197967432889,XANTARES,76561198044118796,False,False,14.455254,0,36,0,False,chest,False,False,0,0,False,27754,Twistzz,76561198016255205,ak47,17293822569114501127,16140956420,,0
