assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,acoR,76561198002942763,False,False,1.0786067,4,55,0,False,generic,False,False,0,0,False,2249,p3kko,76561198246097140,knife_butterfly,17293822569106571779,43752786094,,0
False,TMB,76561198084607254,nut nut,76561198155303242,False,False,0.99312454,4,55,0,False,generic,False,False,0,0,False,2307,ottob,76561198153799679,knife_stiletto,17293822569130033674,47029934857,,0
False,,,Uli,76561198012528425,False,False,0.87335134,4,55,0,False,generic,False,False,0,0,False,2347,Anlelele,76561198129799489,knife_karambit,17293822569106571771,44035405816,,0
False,Anlelele,76561198129799489,acoR,76561198002942763,False,False,1.0286015,4,55,0,False,generic,False,False,0,0,False,2355,Uli,76561198012528425,knife_butterfly,17293822569106571779,43752786094,,0
False,nut nut,76561198155303242,sirah,76561198308941038,False,False,1.5430012,4,55,0,False,generic,False,False,0,0,False,2381,alxc,76561198088781077,knife_karambit,17293822569129902587,46442669778,,0
False,alxc,76561198088781077,puuha,76561198248745402,False,False,1.1295902,4,55,0,False,generic,False,False,0,0,False,2456,nut nut,76561198155303242,knife_karambit,17293822569130164731,46143331702,,0
False,TMB,76561198084607254,sirah,76561198308941038,False,False,0.85890675,4,55,0,False,generic,False,False,0,0,False,2463,puuha,76561198248745402,knife_karambit,17293822569129902587,46442669778,,0
False,ottob,76561198153799679,Uli,76561198012528425,False,False,10.128716,0,105,0,True,head,False,False,0,0,False,8666,acoR,76561198002942763,glock,17293822569102901252,2508834026,,0
True,puuha,76561198248745402,p3kko,76561198246097140,False,False,2.1253603,0,117,0,True,head,False,False,0,0,False,8852,sirah,76561198308941038,glock,17293822569181347844,44423989158,,0
False,p3kko,76561198246097140,Uli,76561198012528425,False,False,34.352234,0,19,0,False,chest,False,False,0,0,False,8928,TMB,76561198084607254,glock,17293822569102901252,2508834026,,0
