assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
True,sdy,76561198040577200,rigoN,76561198172837021,False,False,11.768344,0,128,0,True,head,False,False,0,0,False,3797,interz,76561198208074320,usp_silencer,17293822569102704701,0,,0
True,sdy,76561198040577200,myltsi,76561198803032451,False,False,3.8823676,0,33,0,False,chest,False,False,0,0,False,3813,lattykk,76561198214009861,usp_silencer,17293822569104343101,45335255206,,0
False,,,rigoN,76561198172837021,False,False,24.95423,0,116,0,True,head,False,False,0,0,False,3895,HObbit,76561198028292758,usp_silencer,17293822569102704701,0,,0
False,,,oz1k,76561198297313625,False,False,8.286195,0,108,0,True,head,False,False,0,0,False,4027,rigoN,76561198172837021,glock,17293822569181872132,43463455128,,0
False,,,podi,76561198128931118,False,False,10.153783,0,129,0,True,head,False,False,0,0,False,4249,oz1k,76561198297313625,usp_silencer,17293822569135734845,41007981784,,0
False,,,Neityu,76561198971718392,False,False,8.191457,0,131,0,True,head,False,False,0,0,False,4303,cronuss,76561198152411501,usp_silencer,17293822569135734845,44892792471,,0
False,,,cronuss,76561198152411501,False,False,9.686806,5,100,0,True,head,False,False,0,0,False,7718,sdy,76561198040577200,tec9,17293822569127215134,26931858820,,0
False,,,podi,76561198128931118,False,False,6.1733174,4,20,0,False,chest,False,False,0,0,False,10187,HObbit,76561198028292758,famas,17293822569112797194,22683295131,,0
False,,,lattykk,76561198214009861,False,False,27.505272,4,135,0,True,head,False,False,0,0,False,10435,myltsi,76561198803032451,deagle,17293822569165750273,46413205875,,0
False,,,oz1k,76561198297313625,False,False,11.544136,13,91,0,True,head,False,False,0,0,False,10626,rigoN,76561198172837021,galilar,17293822569180364813,43097488411,,0
False,Neityu,76561198971718392,sdy,76561198040577200,False,False,17.621832,4,12,0,False,chest,False,False,0,0,False,26513,lattykk,76561198214009861,mp9,17293822569177022498,39012125683,,0
False,Neityu,76561198971718392,rigoN,76561198172837021,True,False,23.168941,16,77,0,True,head,False,False,0,0,False,26564,cronuss,76561198152411501,famas,17293822569112797194,22683295131,,0
False,cronuss,76561198152411501,HObbit,76561198028292758,False,False,23.19361,0,21,0,False,left_leg,False,False,0,0,False,26734,rigoN,76561198172837021,galilar,17293822569180364813,43097488411,,0
False,rigoN,76561198172837021,sdy,76561198040577200,False,False,17.83122,5,16,0,False,stomach,False,False,0,0,False,26791,HObbit,76561198028292758,mp9,17293822569177022498,39012125683,,0
False,,,oz1k,76561198297313625,False,False,18.350227,5,24,0,False,chest,False,False,0,0,False,27590,podi,76561198128931118,m4a1_silencer,17293822569168306236,46911840000,,0
False,,,sdy,76561198040577200,False,False,42.77104,15,104,0,True,head,False,False,0,0,False,29456,interz,76561198208074320,ak47,17293822569191309319,46829311879,,0
False,,,oz1k,76561198297313625,False,False,13.540491,5,24,0,False,neck,False,False,0,0,False,29752,Neityu,76561198971718392,m4a1_silencer,17293822569168306236,46911840000,,0
False,Neityu,76561198971718392,sdy,76561198040577200,False,False,19.338484,0,26,0,False,right_leg,False,False,0,0,False,31839,oz1k,76561198297313625,ak47,17293822569191309319,46829311879,,0
True,lattykk,76561198214009861,cronuss,76561198152411501,False,False,8.643928,0,142,0,True,head,False,False,0,0,False,39383,Neityu,76561198971718392,ak47,17293822569134817287,40273156403,,0
False,,,oz1k,76561198297313625,False,False,8.347698,0,142,0,True,head,False,False,0,0,False,39491,myltsi,76561198803032451,ak47,17293822569134817287,40273156403,,0
False,,,sdy,76561198040577200,False,False,46.05944,15,103,0,True,head,False,False,0,0,False,39614,HObbit,76561198028292758,ak47,17293822569191309319,46829311879,,0
False,,,cronuss,76561198152411501,False,False,9.787617,15,109,0,True,head,False,False,0,0,False,39764,rigoN,76561198172837021,ak47,17293822569134817287,40273156403,,0
False,Neityu,76561198971718392,sdy,76561198040577200,False,False,27.941072,5,8,0,False,generic,False,False,0,0,False,39935,interz,76561198208074320,hegrenade,,,,0
False,Neityu,76561198971718392,sdy,76561198040577200,False,False,10.328174,15,109,0,True,head,False,False,0,0,False,39950,cronuss,76561198152411501,ak47,17293822569191309319,46829311879,,0
False,myltsi,76561198803032451,podi,76561198128931118,False,False,21.080082,1,137,0,False,stomach,False,False,0,0,False,40412,oz1k,76561198297313625,awp,17293822569106046985,30237604415,,0
False,,,podi,76561198128931118,False,False,26.747704,1,109,0,False,right_arm,False,False,0,0,False,40622,lattykk,76561198214009861,awp,17293822569106046985,30237604415,,0
False,rigoN,76561198172837021,sdy,76561198040577200,False,False,19.160406,3,27,0,False,chest,False,False,0,0,False,49116,cronuss,76561198152411501,ak47,17293822569191309319,46829311879,,0
False,,,myltsi,76561198803032451,False,False,30.041393,4,22,0,False,chest,False,False,0,0,False,49197,interz,76561198208074320,m4a1_silencer,17293822569168306236,46911840000,,0
False,,,myltsi,76561198803032451,False,False,36.41352,0,110,0,True,head,False,False,0,0,False,49299,lattykk,76561198214009861,m4a1_silencer,17293822569168306236,46911840000,,0
False,,,rigoN,76561198172837021,False,False,17.488274,18,85,0,True,head,False,False,0,0,False,49439,oz1k,76561198297313625,m4a1_silencer,17293822569179119676,43302198847,,0
False,,,Neityu,76561198971718392,False,False,20.285404,5,24,0,False,chest,False,False,0,0,False,49819,HObbit,76561198028292758,m4a1_silencer,17293822569131540540,46911839990,,0
False,,,podi,76561198128931118,False,False,14.078517,0,113,0,False,chest,False,False,0,0,False,52961,oz1k,76561198297313625,awp,17293822569106046985,30237604415,,0
False,,,podi,76561198128931118,False,False,35.961273,0,111,0,False,right_arm,False,False,0,0,False,57408,HObbit,76561198028292758,awp,17293822569106046985,30237604415,,0
False,,,myltsi,76561198803032451,False,False,28.461145,0,115,0,True,head,False,False,0,0,False,57586,interz,76561198208074320,m4a1_silencer,17293822569168306236,46911840000,,0
False,,,myltsi,76561198803032451,False,False,20.05452,0,119,0,True,head,False,False,0,0,False,57708,cronuss,76561198152411501,m4a1_silencer,17293822569168306236,46911840000,,0
False,,,myltsi,76561198803032451,False,False,19.866634,0,120,0,True,head,False,False,0,0,False,57766,lattykk,76561198214009861,m4a1_silencer,17293822569168306236,46911840000,,0
False,,,sdy,76561198040577200,False,False,16.55104,15,108,0,True,head,False,False,0,0,False,61202,cronuss,76561198152411501,ak47,17293822569191309319,46829311879,,0
False,,,rigoN,76561198172837021,False,False,12.601581,18,87,0,True,head,False,False,0,0,False,61619,oz1k,76561198297313625,m4a1_silencer,17293822569179119676,43302198847,,0
False,,,myltsi,76561198803032451,False,False,7.0233526,5,25,0,False,right_arm,False,False,0,0,True,61734,interz,76561198208074320,m4a1_silencer,17293822569168306236,46911840000,,0
False,rigoN,76561198172837021,myltsi,76561198803032451,False,False,28.60814,10,48,0,True,head,False,False,1,0,True,61734,lattykk,76561198214009861,m4a1_silencer,17293822569168306236,46911840000,,0
False,,,HObbit,76561198028292758,False,False,15.2219095,15,108,0,True,head,False,False,0,0,False,65972,myltsi,76561198803032451,ak47,17293822569146941447,39085812900,,0
False,cronuss,76561198152411501,HObbit,76561198028292758,False,False,7.977857,16,110,0,True,head,True,False,0,0,False,66932,Neityu,76561198971718392,ak47,17293822569146941447,39085812900,,0
False,,,sdy,76561198040577200,False,False,6.4042816,4,27,0,False,chest,True,False,0,0,False,67023,HObbit,76561198028292758,ak47,17293822569191309319,46829311879,,0
False,,,podi,76561198128931118,False,False,35.192326,1,136,0,False,stomach,False,False,0,0,False,72311,cronuss,76561198152411501,awp,17293822569106046985,30237604415,,0
False,,,sdy,76561198040577200,False,False,26.814705,0,138,0,True,head,False,False,0,0,False,73131,interz,76561198208074320,ak47,17293822569191309319,46829311879,,0
False,myltsi,76561198803032451,sdy,76561198040577200,False,False,10.870729,0,35,0,False,chest,False,False,0,0,False,73176,oz1k,76561198297313625,ak47,17293822569191309319,46829311879,,0
False,,,lattykk,76561198214009861,False,False,26.80485,5,137,0,True,head,False,False,0,0,False,73191,sdy,76561198040577200,deagle,17293822569165750273,46413205875,,0
False,,,Neityu,76561198971718392,False,False,35.62287,0,39,0,False,stomach,False,False,0,0,False,76537,lattykk,76561198214009861,m4a1_silencer,17293822569149497404,39021497883,,0
False,podi,76561198128931118,Neityu,76561198971718392,False,False,38.548878,0,31,0,False,right_arm,False,False,0,0,False,76988,HObbit,76561198028292758,m4a1_silencer,17293822569149497404,39021497883,,0
False,,,cronuss,76561198152411501,False,False,5.858918,16,110,0,True,head,False,False,0,0,False,83618,sdy,76561198040577200,ak47,17293822569191309319,46829311879,,0
False,,,cronuss,76561198152411501,False,False,9.380295,15,109,0,True,head,False,False,0,0,True,84065,rigoN,76561198172837021,ak47,17293822569191309319,46829311879,,0
False,HObbit,76561198028292758,interz,76561198208074320,False,False,20.536884,3,27,0,False,left_arm,False,False,0,0,True,84146,Neityu,76561198971718392,ak47,17293822569105588231,47176145552,,0
False,oz1k,76561198297313625,cronuss,76561198152411501,False,False,23.926746,15,107,0,True,head,False,False,0,0,True,85498,myltsi,76561198803032451,ak47,17293822569191309319,46829311879,,0
False,rigoN,76561198172837021,sdy,76561198040577200,False,False,10.153976,19,90,0,True,head,False,False,0,0,False,89657,cronuss,76561198152411501,m4a1,17293822569184952336,32065236248,,0
False,Neityu,76561198971718392,rigoN,76561198172837021,False,False,7.766268,19,90,0,True,head,False,False,0,0,False,93541,HObbit,76561198028292758,m4a1,17293822569179054096,35696620269,,0
