round_num,winning_team,round_end_reason,bomb_planted,demo_type,map_name,parsing_status
1,,,True,cs2,de_train,success
2,CT,bomb_defused,True,cs2,de_train,success
3,T,bomb_exploded,True,cs2,de_train,success
4,T,bomb_exploded,True,cs2,de_train,success
5,CT,t_killed,True,cs2,de_train,success
6,CT,bomb_defused,True,cs2,de_train,success
7,CT,t_killed,True,cs2,de_train,success
8,CT,t_killed,True,cs2,de_train,success
9,CT,time_ran_out,True,cs2,de_train,success
10,CT,t_killed,True,cs2,de_train,success
11,T,bomb_exploded,True,cs2,de_train,success
12,CT,bomb_defused,True,cs2,de_train,success
13,T,ct_killed,True,cs2,de_train,success
14,CT,t_killed,True,cs2,de_train,success
15,CT,t_killed,True,cs2,de_train,success
16,CT,t_killed,True,cs2,de_train,success
17,T,ct_killed,True,cs2,de_train,success
18,T,bomb_exploded,True,cs2,de_train,success
19,T,ct_killed,True,cs2,de_train,success
20,CT,t_killed,True,cs2,de_train,success
21,T,ct_killed,True,cs2,de_train,success
22,CT,bomb_defused,True,cs2,de_train,success
23,CT,bomb_defused,True,cs2,de_train,success
24,CT,t_killed,True,cs2,de_train,success
25,CT,t_killed,True,cs2,de_train,success
26,T,ct_killed,True,cs2,de_train,success
27,CT,bomb_defused,True,cs2,de_train,success
28,CT,t_killed,True,cs2,de_train,success
29,CT,t_killed,True,cs2,de_train,success
30,CT,t_killed,True,cs2,de_train,success
31,T,ct_killed,True,cs2,de_train,success
32,T,ct_killed,True,cs2,de_train,success
33,T,ct_killed,True,cs2,de_train,success
34,T,ct_killed,True,cs2,de_train,success
35,CT,t_killed,True,cs2,de_train,success
