assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,⑳ ✓ xureba,76561198201457085,False,False,0.0,0,1,0,False,-1,False,False,0,0,False,129325,⑳ ✓ xureba,76561198201457085,world,,,,0
False,,,⑳ ✓ detr0ittJ,76561198242601266,False,False,0.0,0,1,0,False,-1,False,False,0,0,False,131371,⑳ ✓ detr0ittJ,76561198242601266,world,,,,0
False,,,⑳ ✓ lukiz,76561198922682627,False,False,0.0,0,1,0,False,-1,False,False,0,0,False,139121,⑳ ✓ lukiz,76561198922682627,world,,,,0
False,,,⑳ ✓ lukiz,76561198922682627,False,False,7.960831,0,186,0,True,head,False,False,0,0,False,140857,,,deagle,17293822569102704641,0,,0
False,,,⑳ ✓ lukiz,76561198922682627,False,False,5.9862614,0,191,0,True,head,False,False,0,0,False,143992,,,deagle,17293822569102704641,0,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,0.0,0,1,0,False,-1,False,False,0,0,False,150795,⑳ 🜲 hardzao,76561198249302730,world,,,,0
False,,,⑲ ✓ PKL,76561198025578864,False,False,0.0,0,1,0,False,-1,False,False,0,0,False,151491,⑲ ✓ PKL,76561198025578864,world,,,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,25.50896,0,86,0,True,head,False,False,0,0,False,153001,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,13.887119,0,100,0,True,head,False,False,0,0,False,153407,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,13.936396,0,100,0,True,head,False,False,0,0,False,153810,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ ✓ lukiz,76561198922682627,False,False,7.838145,0,186,0,True,head,False,False,0,0,False,154056,,,deagle,17293822569102704641,0,,0
False,,,⑳ ✓ lukiz,76561198922682627,False,False,7.159851,0,188,0,True,head,False,False,0,0,False,154360,,,deagle,17293822569102704641,0,,0
False,,,⑳ ✓ lukiz,76561198922682627,False,False,6.0689645,0,191,0,True,head,False,False,0,0,False,154596,,,deagle,17293822569102704641,0,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,12.435466,0,102,0,True,head,False,False,0,0,False,155351,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,3.5613894,0,114,0,True,head,False,False,0,0,False,155607,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,4.5109324,0,113,0,True,head,False,False,0,0,False,155843,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,4.5109324,0,113,0,True,head,False,False,0,0,False,156068,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,4.5109324,0,113,0,True,head,False,False,0,0,False,156286,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ ✓ lukiz,76561198922682627,False,False,8.4876375,0,185,0,True,head,False,False,0,0,False,156555,,,deagle,17293822569102704641,0,,0
False,,,⑳ ✓ lukiz,76561198922682627,False,False,8.296586,0,185,0,True,head,False,False,0,0,False,156843,,,deagle,17293822569102704641,0,,0
False,,,⑳ ✓ lukiz,76561198922682627,False,False,32.08793,0,137,0,True,head,False,False,0,0,False,159249,,,deagle,17293822569102704641,0,,0
False,⑳ ✓ detr0ittJ,76561198242601266,⑳ 🜲 hardzao,76561198249302730,False,False,12.74874,0,102,0,True,head,False,False,0,0,False,160612,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,4.508898,0,113,0,True,head,False,False,0,0,False,160868,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ ✓ detr0ittJ,76561198242601266,False,False,29.73464,0,137,0,True,head,False,False,0,0,False,161089,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ ✓ detr0ittJ,76561198242601266,False,False,29.73464,0,137,0,True,head,False,False,0,0,False,161312,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ ✓ detr0ittJ,76561198242601266,False,False,29.73464,0,137,0,True,head,False,False,0,0,False,161524,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,4.510794,0,113,0,True,head,False,False,0,0,False,161736,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,4.510794,0,113,0,True,head,False,False,0,0,False,161946,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,4.510794,0,113,0,True,head,False,False,0,0,False,162154,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,4.510794,0,113,0,True,head,False,False,0,0,False,162365,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ ✓ detr0ittJ,76561198242601266,False,False,29.733871,0,137,0,True,head,False,False,0,0,False,162588,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ ✓ detr0ittJ,76561198242601266,False,False,11.951944,0,103,0,True,head,False,False,0,0,False,162914,,,glock,17293822569155067908,26779212983,,0
False,,,⑳ ✓ detr0ittJ,76561198242601266,False,False,7.673678,0,108,0,True,head,False,False,0,0,False,163223,,,glock,17293822569155067908,26779212983,,0
False,,,⑳ ✓ detr0ittJ,76561198242601266,False,False,7.674409,0,108,0,True,head,False,False,0,0,False,163500,,,glock,17293822569155067908,26779212983,,0
False,,,⑳ ✓ detr0ittJ,76561198242601266,False,False,7.7656136,0,68,0,True,head,False,False,1,0,False,163914,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ ✓ detr0ittJ,76561198242601266,False,False,8.44689,0,142,0,True,head,False,False,0,0,False,164255,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,21.834604,0,139,0,True,head,False,False,0,0,False,165597,⑳ ⦻ ksloks,76561198257770857,ak47,17293822569173942279,45262175275,,0
False,,,⑳ 🜲 hardzao,76561198249302730,False,False,7.050962,0,109,0,True,head,False,False,0,0,False,166446,⑳ ⦻ naitte,76561198029203966,glock,17293822569102901252,24097066627,,0
