round_num,winning_team,round_end_reason,bomb_planted,demo_type,map_name,parsing_status
2,CT,t_killed,True,cs2,de_dust2,success
3,CT,bomb_defused,True,cs2,de_dust2,success
4,T,bomb_exploded,True,cs2,de_dust2,success
5,T,ct_killed,True,cs2,de_dust2,success
6,T,bomb_exploded,True,cs2,de_dust2,success
7,CT,t_killed,True,cs2,de_dust2,success
8,T,ct_killed,True,cs2,de_dust2,success
9,T,ct_killed,True,cs2,de_dust2,success
10,T,ct_killed,True,cs2,de_dust2,success
11,T,bomb_exploded,True,cs2,de_dust2,success
12,CT,t_killed,True,cs2,de_dust2,success
13,CT,time_ran_out,True,cs2,de_dust2,success
14,CT,bomb_defused,True,cs2,de_dust2,success
15,T,ct_killed,True,cs2,de_dust2,success
16,CT,time_ran_out,True,cs2,de_dust2,success
17,CT,t_killed,True,cs2,de_dust2,success
18,CT,t_killed,True,cs2,de_dust2,success
19,T,bomb_exploded,True,cs2,de_dust2,success
20,CT,t_killed,True,cs2,de_dust2,success
21,CT,bomb_defused,True,cs2,de_dust2,success
22,CT,t_killed,True,cs2,de_dust2,success
