assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,⑲ PKL,76561198025578864,False,False,0.0,0,1,0,False,-1,False,False,0,0,False,4711,⑲ PKL,76561198025578864,world,,,,0
False,,,⑳ xureba,76561198201457085,False,False,0.0,0,1,0,False,-1,False,False,0,0,False,4999,⑳ xureba,76561198201457085,world,,,,0
False,,,⑳ lukiz,76561198922682627,False,False,0.0,0,1,0,False,-1,False,False,0,0,False,8960,⑳ lukiz,76561198922682627,world,,,,0
False,,,⑳ lukiz,76561198922682627,False,False,12.849734,0,175,0,True,head,False,False,0,0,False,10476,,,deagle,17293822569102704641,0,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,0.0,0,1,0,False,-1,False,False,0,0,False,12619,⑳ detr0ittJ,76561198242601266,world,,,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,13.812712,0,140,0,True,head,False,False,0,0,False,14171,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,5.172532,0,142,0,True,head,False,False,0,0,False,14405,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,13.746678,0,140,0,True,head,False,False,0,0,False,14654,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,16.409098,0,140,0,True,head,False,False,0,0,False,14892,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,15.878903,0,140,0,True,head,False,False,0,0,False,15119,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,19.537882,0,139,0,True,head,False,False,0,0,False,15426,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,18.836676,0,139,0,True,head,False,False,0,0,False,15658,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,15.925838,0,140,0,True,head,False,False,0,0,False,15887,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,16.756618,0,140,0,True,head,False,False,0,0,False,16148,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,16.039463,0,140,0,True,head,False,False,0,0,False,16378,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,23.338017,0,138,0,True,head,False,False,0,0,False,16729,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,14.601247,0,140,0,True,head,False,False,0,0,False,16969,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,23.579662,0,59,0,True,head,False,False,1,0,False,17412,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,23.535885,0,51,0,True,head,False,False,1,0,False,17710,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,19.289782,0,139,0,True,head,False,False,0,0,False,18179,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,19.289782,0,139,0,True,head,False,False,0,0,False,18403,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ detr0ittJ,76561198242601266,False,False,19.289782,0,139,0,True,head,False,False,0,0,False,18632,,,ak47,17293822569121185799,44023487887,,0
False,,,⑳ hardzao,76561198249302730,False,False,0.0,0,1,0,False,-1,False,False,0,0,False,20313,⑳ hardzao,76561198249302730,world,,,,0
False,,,⑳ hardzao,76561198249302730,False,False,20.866636,0,91,0,True,head,False,False,0,0,False,22328,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ hardzao,76561198249302730,False,False,8.28628,0,108,0,True,head,False,False,0,0,False,22565,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ hardzao,76561198249302730,False,False,3.3591213,0,115,0,True,head,False,False,0,0,False,22895,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ hardzao,76561198249302730,False,False,6.2737308,0,110,0,True,head,False,False,0,0,False,23147,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ hardzao,76561198249302730,False,False,10.5429125,0,104,0,True,head,False,False,0,0,False,23382,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ hardzao,76561198249302730,False,False,10.515447,0,104,0,True,head,False,False,0,0,False,23614,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ hardzao,76561198249302730,False,False,10.515447,0,104,0,True,head,False,False,0,0,False,23831,,,glock,17293822569102901252,24097066627,,0
False,,,⑳ hardzao,76561198249302730,False,False,10.515447,0,104,0,True,head,False,False,0,0,False,24056,,,glock,17293822569102901252,24097066627,,0
