round_num,winning_team,round_end_reason,bomb_planted,demo_type,map_name,parsing_status
2,T,ct_killed,True,cs2,de_train,success
3,T,ct_killed,True,cs2,de_train,success
4,T,ct_killed,True,cs2,de_train,success
5,T,ct_killed,True,cs2,de_train,success
6,CT,bomb_defused,True,cs2,de_train,success
7,CT,t_killed,True,cs2,de_train,success
8,T,bomb_exploded,True,cs2,de_train,success
9,T,ct_killed,True,cs2,de_train,success
10,T,ct_killed,True,cs2,de_train,success
11,CT,t_killed,True,cs2,de_train,success
12,CT,t_killed,True,cs2,de_train,success
13,CT,bomb_defused,True,cs2,de_train,success
14,T,ct_killed,True,cs2,de_train,success
15,CT,t_killed,True,cs2,de_train,success
16,CT,t_killed,True,cs2,de_train,success
17,T,bomb_exploded,True,cs2,de_train,success
18,CT,time_ran_out,True,cs2,de_train,success
19,CT,t_killed,True,cs2,de_train,success
20,CT,t_killed,True,cs2,de_train,success
21,CT,t_killed,True,cs2,de_train,success
