assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,FalleN,76561197960690195,False,False,21.122747,0,92,0,True,head,False,False,0,0,False,2037,XANTARES,76561198044118796,glock,17293822569102835716,5893251642,,0
False,,,molodoy,76561198200982290,False,False,21.251095,0,91,0,True,head,False,False,0,0,False,2053,jottAAA,76561198410750263,glock,17293822569102704644,0,,0
False,,,Wicadia,76561198812513923,False,True,6.059801,9,24,0,False,stomach,False,False,0,0,False,2690,yuurih,76561198164970560,elite,17293822569143664642,14072342322,,0
False,,,YEKINDAR,76561198134401925,False,False,11.853149,0,103,0,True,head,False,False,0,0,False,2694,MAJ3R,76561197967432889,glock,17293822569105850372,29191090047,,0
False,,,KSCERATO,76561198058500492,False,False,11.852087,0,103,0,True,head,False,False,0,0,False,2762,Wicadia,76561198812513923,glock,17293822569181872132,43945489348,,0
False,XANTARES,76561198044118796,woxic,76561198083485506,False,False,42.670506,0,102,0,True,head,False,False,0,0,False,4055,FalleN,76561197960690195,hkp2000,17293822569116532768,46402365308,,0
False,,,woxic,76561198083485506,False,False,25.105366,0,117,0,True,head,False,False,0,0,False,4202,molodoy,76561198200982290,hkp2000,17293822569116532768,46402365308,,0
False,,,YEKINDAR,76561198134401925,False,False,22.536486,0,90,0,True,head,False,False,0,0,False,4230,woxic,76561198083485506,glock,17293822569105850372,29191090047,,0
False,,,YEKINDAR,76561198134401925,False,False,4.382944,16,111,0,True,head,False,False,0,0,False,7483,Wicadia,76561198812513923,ak47,17293822569114501127,43328686744,,0
False,,,yuurih,76561198164970560,False,False,8.367704,3,23,0,False,chest,False,False,0,0,False,7594,XANTARES,76561198044118796,galilar,17293822569121972237,44808379718,,0
False,yuurih,76561198164970560,MAJ3R,76561197967432889,False,False,16.352198,17,52,0,True,head,False,False,0,0,False,7857,YEKINDAR,76561198134401925,mp9,17293822569134293026,15237199682,,0
False,,,yuurih,76561198164970560,False,False,21.467558,3,23,0,False,chest,False,False,0,0,False,7898,MAJ3R,76561197967432889,galilar,17293822569121972237,44808379718,,0
False,,,KSCERATO,76561198058500492,False,False,38.10437,0,135,0,True,head,False,False,0,0,False,7957,woxic,76561198083485506,ak47,17293822569179447303,46819477194,,0
False,woxic,76561198083485506,jottAAA,76561198410750263,False,False,12.053781,1,24,0,False,chest,False,False,0,0,False,8364,FalleN,76561197960690195,fiveseven,17293822569154084867,35252276303,,0
False,yuurih,76561198164970560,molodoy,76561198200982290,False,False,24.993944,15,107,0,True,head,False,False,0,0,False,8690,jottAAA,76561198410750263,ak47,17293822569122496519,45508652840,,0
False,,,molodoy,76561198200982290,False,False,32.07842,0,137,0,True,head,False,False,0,0,False,12328,Wicadia,76561198812513923,ak47,17293822569122496519,45508652840,,0
False,,,YEKINDAR,76561198134401925,False,False,8.850917,0,25,0,False,chest,False,False,0,0,False,13586,woxic,76561198083485506,mac10,17293822569164767249,24354029280,,0
False,,,molodoy,76561198200982290,False,False,43.385914,0,134,0,True,head,False,False,0,0,False,14322,XANTARES,76561198044118796,ak47,17293822569122496519,45508652840,,0
False,MAJ3R,76561197967432889,jottAAA,76561198410750263,False,False,23.973337,1,45,0,False,stomach,False,False,0,0,False,16054,YEKINDAR,76561198134401925,deagle,17293822569165750273,46834886833,,0
False,,,woxic,76561198083485506,False,False,29.139185,1,110,0,False,chest,False,False,0,0,False,19142,YEKINDAR,76561198134401925,awp,17293822569152249865,43945030315,,0
False,,,jottAAA,76561198410750263,False,False,19.84677,18,84,0,True,head,False,False,0,0,False,24196,molodoy,76561198200982290,m4a1_silencer,17293822569167192124,38669446202,,0
False,,,FalleN,76561197960690195,False,False,14.944063,15,109,0,True,head,False,False,0,0,False,24253,jottAAA,76561198410750263,ak47,17293822569121185799,44576554785,,0
False,,,XANTARES,76561198044118796,False,False,24.25957,5,23,0,False,chest,False,False,0,0,False,24276,yuurih,76561198164970560,m4a1_silencer,17293822569167192124,29725456983,,0
False,jottAAA,76561198410750263,MAJ3R,76561197967432889,False,False,31.763428,4,23,0,False,chest,False,False,0,0,True,24278,FalleN,76561197960690195,m4a1_silencer,17293822569167192124,27842276779,,0
False,,,Wicadia,76561198812513923,False,False,12.882404,18,87,0,True,head,False,False,0,0,False,24325,KSCERATO,76561198058500492,m4a1_silencer,17293822569168306236,46563656854,,0
False,,,XANTARES,76561198044118796,False,False,8.463842,5,25,0,False,chest,False,False,0,0,False,31414,YEKINDAR,76561198134401925,m4a1_silencer,17293822569167192124,29725456983,,0
