assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,YEKINDAR,76561198134401925,False,False,16.875067,0,97,0,True,head,False,False,0,0,False,2115,Wicadia,76561198812513923,glock,17293822569105850372,29191090047,,0
False,,,MAJ3R,76561197967432889,False,False,28.599941,0,113,0,True,head,False,False,0,0,True,2257,YEKINDAR,76561198134401925,usp_silencer,17293822569124462653,40256288078,,0
True,FalleN,76561197960690195,yuurih,76561198164970560,False,False,5.5492353,0,112,0,True,head,False,False,0,0,False,2560,jottAAA,76561198410750263,glock,17293822569127673860,28632714792,,0
False,,,molodoy,76561198200982290,False,False,21.636986,6,11,0,False,chest,False,False,0,0,False,4101,XANTARES,76561198044118796,glock,17293822569105850372,29191090047,,0
False,FalleN,76561197960690195,molodoy,76561198200982290,False,False,22.589788,0,90,0,True,head,False,False,0,0,False,4458,MAJ3R,76561197967432889,glock,17293822569105850372,29191090047,,0
False,,,woxic,76561198083485506,False,False,30.53515,0,112,0,True,head,False,False,0,0,False,4603,FalleN,76561197960690195,hkp2000,17293822569116532768,46402365308,,0
False,,,molodoy,76561198200982290,False,False,25.414879,0,87,0,True,head,False,False,0,0,False,4635,woxic,76561198083485506,glock,17293822569105850372,29191090047,,0
True,molodoy,76561198200982290,YEKINDAR,76561198134401925,False,False,18.28077,0,85,0,True,head,False,False,0,0,False,7095,woxic,76561198083485506,mac10,17293822569164767249,24354029280,,0
False,YEKINDAR,76561198134401925,yuurih,76561198164970560,False,False,5.0736337,1,9,0,False,stomach,False,False,1,0,False,7630,MAJ3R,76561197967432889,galilar,17293822569121972237,44808379718,,0
False,FalleN,76561197960690195,yuurih,76561198164970560,False,False,5.9810987,0,118,0,True,head,False,False,0,0,False,7677,XANTARES,76561198044118796,galilar,17293822569121972237,44808379718,,0
False,,,YEKINDAR,76561198134401925,False,False,28.212368,0,71,0,True,head,False,False,0,0,False,12729,jottAAA,76561198410750263,mac10,17293822569164767249,24354029280,,0
False,,,KSCERATO,76561198058500492,False,False,8.721901,0,100,0,True,head,False,False,0,0,False,13137,Wicadia,76561198812513923,mac10,17293822569105195025,43676763871,,0
False,yuurih,76561198164970560,FalleN,76561197960690195,False,False,21.527746,0,80,0,True,head,False,False,0,0,False,18421,woxic,76561198083485506,mac10,17293822569118826513,9048178107,,0
False,,,KSCERATO,76561198058500492,True,False,20.024248,0,16,0,False,generic,False,False,0,0,False,18468,jottAAA,76561198410750263,hegrenade,,,,0
True,MAJ3R,76561197967432889,Wicadia,76561198812513923,False,False,4.5116935,6,23,0,False,chest,False,False,0,0,False,18484,KSCERATO,76561198058500492,p250,17293822569147138084,40886445782,,0
False,yuurih,76561198164970560,XANTARES,76561198044118796,False,False,2.823881,6,186,0,True,head,False,False,0,0,False,19338,molodoy,76561198200982290,deagle,17293822569105129473,16742192342,,0
False,,,yuurih,76561198164970560,False,False,5.412432,0,119,0,True,head,False,False,0,0,False,19342,XANTARES,76561198044118796,galilar,17293822569121972237,44808379718,,0
False,,,YEKINDAR,76561198134401925,False,False,20.25727,0,21,0,False,chest,False,False,0,0,False,20371,Wicadia,76561198812513923,mp9,17293822569102704674,0,,0
False,,,yuurih,76561198164970560,False,False,16.369663,0,35,0,False,chest,False,False,0,0,False,22308,MAJ3R,76561197967432889,ak47,17293822569122496519,45508652840,,0
False,,,XANTARES,76561198044118796,False,False,2.6790276,5,26,0,False,right_arm,False,False,0,0,False,28841,yuurih,76561198164970560,m4a1_silencer,17293822569167192124,29725456983,,0
