round_num,winning_team,round_end_reason,bomb_planted,demo_type,map_name,parsing_status
2,CT,t_killed,True,cs2,de_mirage,success
3,CT,t_killed,True,cs2,de_mirage,success
4,T,ct_killed,True,cs2,de_mirage,success
5,T,ct_killed,True,cs2,de_mirage,success
6,T,ct_killed,True,cs2,de_mirage,success
7,T,ct_killed,True,cs2,de_mirage,success
8,T,ct_killed,True,cs2,de_mirage,success
9,T,bomb_exploded,True,cs2,de_mirage,success
10,CT,t_killed,True,cs2,de_mirage,success
11,CT,bomb_defused,True,cs2,de_mirage,success
12,CT,t_killed,True,cs2,de_mirage,success
13,T,ct_killed,True,cs2,de_mirage,success
14,CT,t_killed,True,cs2,de_mirage,success
15,T,ct_killed,True,cs2,de_mirage,success
16,CT,t_killed,True,cs2,de_mirage,success
17,T,ct_killed,True,cs2,de_mirage,success
18,T,bomb_exploded,True,cs2,de_mirage,success
19,CT,bomb_defused,True,cs2,de_mirage,success
20,CT,t_killed,True,cs2,de_mirage,success
21,CT,t_killed,True,cs2,de_mirage,success
22,T,ct_killed,True,cs2,de_mirage,success
23,T,ct_killed,True,cs2,de_mirage,success
24,T,ct_killed,True,cs2,de_mirage,success
25,T,ct_killed,True,cs2,de_mirage,success
26,T,bomb_exploded,True,cs2,de_mirage,success
