round_num,winning_team,round_end_reason,bomb_planted,demo_type,map_name,parsing_status
2,T,ct_killed,True,cs2,de_train,success
3,CT,t_killed,True,cs2,de_train,success
4,CT,bomb_defused,True,cs2,de_train,success
5,CT,t_killed,True,cs2,de_train,success
6,CT,t_killed,True,cs2,de_train,success
7,CT,t_killed,True,cs2,de_train,success
8,CT,t_killed,True,cs2,de_train,success
9,CT,t_killed,True,cs2,de_train,success
10,CT,bomb_defused,True,cs2,de_train,success
11,T,ct_killed,True,cs2,de_train,success
12,T,ct_killed,True,cs2,de_train,success
13,T,ct_killed,True,cs2,de_train,success
14,CT,t_killed,True,cs2,de_train,success
15,CT,t_killed,True,cs2,de_train,success
16,CT,bomb_defused,True,cs2,de_train,success
17,CT,bomb_defused,True,cs2,de_train,success
18,T,ct_killed,True,cs2,de_train,success
19,T,ct_killed,True,cs2,de_train,success
20,T,ct_killed,True,cs2,de_train,success
21,T,ct_killed,True,cs2,de_train,success
