assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,expSasiKi,76561198420739672,False,False,0.82473165,5,61,0,False,generic,False,False,0,0,False,1376,SPine,76561198372938462,knife_karambit,17293822569130295803,46357508665,,0
False,,,Rage,76561198358424861,False,False,0.8586402,5,61,0,False,generic,False,False,0,0,False,1441,suki,76561199277904177,knife_butterfly,17293822569175122435,46901884825,,0
False,,,clouda,76561198047509694,False,False,0.8139339,1,22,0,False,generic,False,False,0,0,False,1553,reV3nnn,76561199103826639,knife_m9_bayonet,17293822569129509372,46932095593,,0
False,,,Bhavi,76561198449686750,False,False,0.68807507,2,30,0,False,generic,False,False,0,0,False,1595,BENZENE,76561198829326089,knife_gypsy_jackknife,17293822569150874120,46586405156,,0
False,EmbeR,76561198095750974,Bhavi,76561198449686750,False,False,1.7626288,0,8,0,False,generic,False,False,0,0,False,1991,clouda,76561198047509694,knife_gypsy_jackknife,17293822569150874120,46586405156,,0
False,,,expSasiKi,76561198420739672,False,False,2.0411015,2,30,0,False,generic,False,False,0,0,False,2314,Rage,76561198358424861,knife_karambit,17293822569130295803,46357508665,,0
False,,,expSasiKi,76561198420739672,False,True,1.2381903,5,61,0,False,generic,False,False,0,0,False,2468,rubeN,76561198417754488,knife_karambit,17293822569130295803,46357508665,,0
False,,,EmbeR,76561198095750974,False,False,1.0767251,4,55,0,False,generic,False,False,0,0,False,2873,expSasiKi,76561198420739672,knife_tactical,17293822569140650493,44935289651,,0
False,,,Rage,76561198358424861,False,False,16.692268,0,123,0,True,head,False,False,0,0,False,5894,BENZENE,76561198829326089,usp_silencer,17293822569123217469,46901460212,,0
False,,,SPine,76561198372938462,False,False,36.28566,0,107,0,True,head,False,False,0,0,False,6151,clouda,76561198047509694,usp_silencer,17293822569186852925,45841451007,,0
