round_num,winning_team,round_end_reason,bomb_planted,demo_type,map_name,parsing_status
1,,,True,cs2,de_inferno,success
2,T,ct_killed,True,cs2,de_inferno,success
3,T,ct_killed,True,cs2,de_inferno,success
4,T,bomb_exploded,True,cs2,de_inferno,success
5,T,ct_killed,True,cs2,de_inferno,success
6,CT,t_killed,True,cs2,de_inferno,success
7,CT,t_killed,True,cs2,de_inferno,success
8,CT,bomb_defused,True,cs2,de_inferno,success
9,CT,t_killed,True,cs2,de_inferno,success
10,CT,t_killed,True,cs2,de_inferno,success
11,CT,t_killed,True,cs2,de_inferno,success
12,T,bomb_exploded,True,cs2,de_inferno,success
13,CT,bomb_defused,True,cs2,de_inferno,success
14,CT,bomb_defused,True,cs2,de_inferno,success
15,T,ct_killed,True,cs2,de_inferno,success
16,T,ct_killed,True,cs2,de_inferno,success
17,T,ct_killed,True,cs2,de_inferno,success
18,T,bomb_exploded,True,cs2,de_inferno,success
19,T,ct_killed,True,cs2,de_inferno,success
