assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,mopoz,76561197998197366,False,False,0.0,0,101,0,False,generic,False,False,0,0,False,4,mopoz,76561197998197366,world,,,,0
False,,,xertioN,76561198193174134,False,False,0.0,27,101,0,False,head,False,False,0,0,False,4,xertioN,76561198193174134,world,,,,0
False,,,Jimpphat,76561198855375325,False,False,0.0,0,101,0,False,stomach,False,False,0,0,False,4,Jimpphat,76561198855375325,world,,,,0
False,,,sausoL,76561197991593267,False,False,0.0,0,101,0,False,chest,False,False,0,0,False,4,sausoL,76561197991593267,world,,,,0
False,,,alex ,76561198000984547,False,False,0.0,0,101,0,False,head,False,False,0,0,False,4,alex ,76561198000984547,world,,,,0
False,,,Spinx,76561198063336407,False,False,0.0,3,101,0,False,chest,False,False,0,0,False,4,Spinx,76561198063336407,world,,,,0
False,,,MartinezSa,76561198370086461,False,False,0.0,0,101,0,False,stomach,False,False,0,0,False,4,MartinezSa,76561198370086461,world,,,,0
False,,,dav1g,76561198417348056,False,False,0.0,0,101,0,False,right_arm,False,False,0,0,False,4,dav1g,76561198417348056,world,,,,0
False,,,Brollan,76561198138828475,False,False,0.0,6,101,0,False,chest,False,False,0,0,False,4,Brollan,76561198138828475,world,,,,0
False,,,torzsi,76561198355739212,False,False,0.0,3,101,0,False,right_arm,False,False,0,0,False,4,torzsi,76561198355739212,world,,,,0
False,,,torzsi,76561198355739212,False,False,19.645767,1,111,0,False,chest,False,False,0,0,False,6319,sausoL,76561197991593267,awp,17293822569162801161,44281783439,,0
False,dav1g,76561198417348056,mopoz,76561197998197366,False,False,17.73095,15,109,0,True,head,False,False,0,0,False,8164,Jimpphat,76561198855375325,ak47,17293822569114501127,31284298832,,0
False,,,dav1g,76561198417348056,False,False,10.738407,15,110,0,True,head,False,False,0,0,False,8300,torzsi,76561198355739212,ak47,17293822569163063303,46813202516,,0
False,,,Jimpphat,76561198855375325,False,False,4.584688,19,90,0,True,head,False,False,0,0,False,17556,mopoz,76561197998197366,m4a1_silencer,17293822569169354812,26497449213,,0
False,,,dav1g,76561198417348056,False,False,12.320694,0,141,0,True,head,False,False,0,0,False,18848,Jimpphat,76561198855375325,ak47,17293822569163063303,46813202516,,0
False,,,torzsi,76561198355739212,False,False,17.593431,1,110,0,False,chest,False,False,1,0,True,18938,sausoL,76561197991593267,awp,17293822569120989193,39586995535,,0
False,,,dav1g,76561198417348056,False,False,11.717457,3,27,0,False,chest,False,False,0,0,False,19048,Spinx,76561198063336407,ak47,17293822569163063303,46813202516,,0
False,Brollan,76561198138828475,xertioN,76561198193174134,False,False,12.321257,5,25,0,False,chest,False,False,0,0,False,19077,dav1g,76561198417348056,m4a1_silencer,17293822569167192124,46641748082,,0
False,,,alex ,76561198000984547,False,False,8.4408045,3,28,0,False,left_arm,False,False,0,0,False,19105,xertioN,76561198193174134,ak47,17293822569183838215,38164851846,,0
False,,,alex ,76561198000984547,False,False,0.8271,16,111,0,True,head,False,False,0,0,False,20041,torzsi,76561198355739212,ak47,17293822569183838215,38164851846,,0
False,,,MartinezSa,76561198370086461,False,False,19.01553,1,111,0,False,chest,False,False,0,0,False,20324,Brollan,76561198138828475,awp,17293822569162801161,44281783439,,0
False,torzsi,76561198355739212,Brollan,76561198138828475,False,False,10.046355,0,18,0,False,left_leg,False,False,0,0,False,25992,dav1g,76561198417348056,mp9,17293822569132064802,22287701199,,0
False,,,mopoz,76561197998197366,False,False,5.9134555,5,34,0,False,stomach,False,False,0,0,False,26043,Brollan,76561198138828475,ak47,17293822569114501127,31284298832,,0
False,,,Spinx,76561198063336407,False,False,12.390507,5,25,0,False,chest,False,False,0,0,False,26079,MartinezSa,76561198370086461,m4a1_silencer,17293822569168306236,44281800487,,0
False,Brollan,76561198138828475,Spinx,76561198063336407,False,False,7.79208,19,89,0,True,head,False,False,0,0,False,26091,mopoz,76561197998197366,m4a1_silencer,17293822569168306236,44281800487,,0
False,xertioN,76561198193174134,alex ,76561198000984547,False,False,14.237154,0,141,0,True,head,False,False,0,0,False,26094,Spinx,76561198063336407,ak47,17293822569183838215,38164851846,,0
False,,,alex ,76561198000984547,False,False,13.995352,15,109,0,True,head,False,False,0,0,False,29126,torzsi,76561198355739212,ak47,17293822569183838215,38164851846,,0
False,xertioN,76561198193174134,Jimpphat,76561198855375325,False,False,17.544165,6,30,0,False,stomach,False,False,0,0,False,29334,sausoL,76561197991593267,m4a1_silencer,17293822569102704700,0,,0
False,sausoL,76561197991593267,alex ,76561198000984547,False,False,25.098925,0,139,0,True,head,False,False,0,0,False,30119,Jimpphat,76561198855375325,ak47,17293822569183838215,38164851846,,0
False,,,dav1g,76561198417348056,False,False,7.0946374,0,142,0,True,head,False,False,0,0,True,34342,xertioN,76561198193174134,ak47,17293822569144582151,46813202497,,0
False,,,MartinezSa,76561198370086461,False,False,32.32496,1,137,0,False,stomach,False,False,0,0,True,34846,Brollan,76561198138828475,awp,17293822569120989193,23807674037,,0
False,,,sausoL,76561197991593267,False,False,10.257947,0,142,0,True,head,False,False,0,0,False,35335,Spinx,76561198063336407,ak47,17293822569121185799,17732358890,,0
