assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,Sowalio,76561199034495166,False,False,1.119698,5,61,0,False,generic,False,False,0,0,False,1051,1eeR,76561198837117408,knife_karambit,17293822569130230267,46438460017,,0
False,,,Xant3r,76561198839305865,False,False,0.79573053,5,61,0,False,generic,False,False,0,0,False,1276,Sowalio,76561199034495166,knife_m9_bayonet,17293822569130164732,47118278909,,0
False,,,KIRO,76561198145768818,False,False,2.0974321,0,8,0,False,generic,False,False,0,0,False,1462,z1Nny,76561198237043662,knife_butterfly,17293822569105326595,42803262909,,0
False,riskyb0b,76561198889240025,-khaN,76561198951467648,False,False,1.1248204,4,55,0,False,generic,False,False,0,0,False,1657,kinqie44,76561198002372151,knife_butterfly,17293822569139995139,47127774972,,0
False,kinqie44,76561198002372151,Xant3r,76561198839305865,False,False,1.3086088,2,30,0,False,generic,False,False,0,0,False,1784,riskyb0b,76561198889240025,knife_m9_bayonet,17293822569130164732,47118278909,,0
False,riskyb0b,76561198889240025,executor,76561199095171343,False,False,1.9793824,1,21,0,False,generic,False,False,0,0,False,1953,-khaN,76561198951467648,knife_karambit,17293822569130099195,39479060437,,0
False,KIRO,76561198145768818,executor,76561199095171343,False,False,0.8833255,1,21,0,False,generic,False,False,0,0,False,2043,Xant3r,76561198839305865,knife_karambit,17293822569130099195,39479060437,,0
False,Xant3r,76561198839305865,bluewh1te,76561198976881234,False,False,1.0666356,5,61,0,False,generic,True,False,0,0,False,2064,executor,76561199095171343,knife_karambit,17293822569109127675,46880744639,,0
False,,,Xant3r,76561198839305865,False,False,9.270004,0,128,0,True,head,False,False,0,0,False,5729,bluewh1te,76561198976881234,elite,17293822569111814146,40459719038,,0
False,,,z1Nny,76561198237043662,False,False,6.8380575,0,110,0,True,head,False,False,0,0,False,6042,Xant3r,76561198839305865,glock,17293822569128853508,41827651852,,0
False,Sowalio,76561199034495166,-khaN,76561198951467648,False,False,14.797041,0,23,0,False,right_leg,False,False,0,0,False,6188,z1Nny,76561198237043662,usp_silencer,17293822569123217469,45748830989,,0
False,,,-khaN,76561198951467648,False,False,15.590124,0,124,0,True,head,False,False,0,0,False,6200,executor,76561199095171343,usp_silencer,17293822569123217469,45748830989,,0
False,,,-khaN,76561198951467648,False,False,17.647495,0,122,0,True,head,False,False,0,0,False,6262,KIRO,76561198145768818,usp_silencer,17293822569123217469,45748830989,,0
False,,,1eeR,76561198837117408,False,False,22.13537,0,37,0,False,stomach,False,False,0,0,False,6450,kinqie44,76561198002372151,usp_silencer,17293822569135734845,46440061045,,0
False,,,-khaN,76561198951467648,False,False,9.441934,0,36,0,False,chest,False,False,0,0,False,9398,kinqie44,76561198002372151,m4a1_silencer,17293822569169354812,43221257524,,0
False,riskyb0b,76561198889240025,-khaN,76561198951467648,False,False,14.761146,0,20,0,False,stomach,False,False,1,0,False,9430,KIRO,76561198145768818,m4a1_silencer,17293822569169354812,43221257524,,0
False,,,riskyb0b,76561198889240025,False,False,32.800404,0,108,0,True,head,False,False,0,0,False,9445,executor,76561199095171343,famas,17293822569102704650,0,,0
False,,,-khaN,76561198951467648,False,False,11.001895,0,125,0,True,head,False,False,0,0,False,9468,bluewh1te,76561198976881234,m4a1_silencer,17293822569169354812,43221257524,,0
False,,,z1Nny,76561198237043662,False,False,5.7882953,29,52,0,True,head,False,False,0,0,False,11178,1eeR,76561198837117408,glock,17293822569128853508,41827651852,,0
False,1eeR,76561198837117408,-khaN,76561198951467648,False,False,7.1616464,0,36,0,False,chest,False,False,0,0,False,11400,z1Nny,76561198237043662,m4a1_silencer,17293822569169354812,43221257524,,0
False,,,executor,76561199095171343,False,False,15.430326,3,27,0,False,chest,False,False,0,0,False,13744,Sowalio,76561199034495166,ak47,17293822569149038599,36716784305,,0
False,,,Xant3r,76561198839305865,False,False,17.800709,5,24,0,False,stomach,False,False,0,0,False,13762,executor,76561199095171343,famas,17293822569180299274,45016583894,,0
False,,,riskyb0b,76561198889240025,False,False,6.4568944,17,82,0,True,head,False,False,0,0,False,13795,bluewh1te,76561198976881234,famas,17293822569102704650,0,,0
False,,,-khaN,76561198951467648,False,False,20.761301,1,110,0,False,chest,False,False,0,0,False,14999,z1Nny,76561198237043662,awp,17293822569162801161,45563561849,,0
False,,,riskyb0b,76561198889240025,False,False,11.256254,13,91,0,True,head,False,False,0,0,False,15439,KIRO,76561198145768818,galilar,17293822569128787981,34434050078,,0
False,bluewh1te,76561198976881234,kinqie44,76561198002372151,False,False,10.691313,3,27,0,False,chest,False,False,0,0,False,15506,riskyb0b,76561198889240025,ak47,17293822569114501127,42947692472,,0
False,,,Xant3r,76561198839305865,False,False,28.403257,6,28,0,False,stomach,False,False,0,0,False,16032,kinqie44,76561198002372151,m4a1_silencer,17293822569176760380,32032603905,,0
False,,,Sowalio,76561199034495166,False,False,42.633827,0,82,0,True,head,False,False,1,0,False,18759,executor,76561199095171343,m4a1_silencer,17293822569176760380,32032603905,,0
False,,,z1Nny,76561198237043662,False,False,17.889929,25,290,0,True,head,False,False,0,0,True,19846,1eeR,76561198837117408,ssg08,17293822569166077992,41103955441,,0
False,1eeR,76561198837117408,-khaN,76561198951467648,False,False,21.987015,1,110,0,False,chest,False,False,0,0,False,20705,kinqie44,76561198002372151,awp,17293822569162801161,45563561849,,0
False,,,bluewh1te,76561198976881234,False,False,17.82202,5,153,0,True,head,False,False,0,0,True,21079,-khaN,76561198951467648,deagle,17293822569165750273,33155759157,,0
False,-khaN,76561198951467648,Xant3r,76561198839305865,False,False,21.00324,0,43,0,False,stomach,False,False,0,0,False,21608,KIRO,76561198145768818,ak47,17293822569114501127,42947692472,,0
False,,,Sowalio,76561199034495166,False,False,19.28303,0,120,0,True,head,False,False,0,0,False,21633,bluewh1te,76561198976881234,m4a1_silencer,17293822569176760380,32032603905,,0
True,riskyb0b,76561198889240025,Sowalio,76561199034495166,False,False,22.06691,0,34,0,False,right_arm,False,False,0,0,False,22137,z1Nny,76561198237043662,m4a1_silencer,17293822569176760380,32032603905,,0
False,,,riskyb0b,76561198889240025,False,False,11.4445,5,25,0,False,chest,False,False,0,0,False,25000,kinqie44,76561198002372151,m4a1_silencer,17293822569179840572,46855792716,,0
False,,,-khaN,76561198951467648,True,False,38.57065,28,43,0,False,generic,False,False,0,0,False,25158,KIRO,76561198145768818,hegrenade,,,,0
False,,,kinqie44,76561198002372151,False,False,13.457418,13,91,0,True,head,False,False,0,0,False,34452,-khaN,76561198951467648,galilar,17293822569118498829,31789437756,,0
False,,,1eeR,76561198837117408,False,False,23.787014,4,21,0,False,chest,False,False,0,0,False,34548,kinqie44,76561198002372151,m4a1,17293822569183182864,45951187514,,0
False,kinqie44,76561198002372151,bluewh1te,76561198976881234,False,False,22.81189,15,107,0,True,head,False,False,0,0,False,34573,1eeR,76561198837117408,ak47,17293822569121185799,45232139292,,0
False,bluewh1te,76561198976881234,z1Nny,76561198237043662,False,False,25.041752,15,107,0,True,head,False,False,0,0,False,35318,Xant3r,76561198839305865,ak47,17293822569157492743,47154810174,,0
False,,,executor,76561199095171343,False,False,25.854641,4,33,0,False,stomach,False,False,0,0,False,35817,riskyb0b,76561198889240025,ak47,17293822569149038599,36716784305,,0
True,-khaN,76561198951467648,Xant3r,76561198839305865,False,False,19.59968,5,24,0,False,right_arm,False,False,0,0,False,42672,z1Nny,76561198237043662,m4a1_silencer,17293822569179840572,42868103070,,0
False,,,1eeR,76561198837117408,False,False,11.50527,5,25,0,False,right_arm,False,False,0,0,True,44174,kinqie44,76561198002372151,m4a1_silencer,17293822569179840572,42868103070,,0
False,kinqie44,76561198002372151,bluewh1te,76561198976881234,False,False,26.781199,3,26,0,False,chest,False,False,0,0,True,44183,1eeR,76561198837117408,ak47,17293822569121185799,45232139292,,0
False,,,riskyb0b,76561198889240025,False,False,16.47317,5,24,0,False,right_arm,False,False,0,0,False,44199,KIRO,76561198145768818,m4a1_silencer,17293822569169354812,43221257524,,0
