round_num,winning_team,round_end_reason,bomb_planted,demo_type,map_name,parsing_status
1,,,True,cs2,de_dust2,success
2,T,ct_killed,True,cs2,de_dust2,success
3,CT,t_killed,True,cs2,de_dust2,success
4,CT,t_killed,True,cs2,de_dust2,success
5,CT,t_killed,True,cs2,de_dust2,success
6,CT,bomb_defused,True,cs2,de_dust2,success
7,CT,time_ran_out,True,cs2,de_dust2,success
8,T,bomb_exploded,True,cs2,de_dust2,success
9,CT,t_killed,True,cs2,de_dust2,success
10,CT,time_ran_out,True,cs2,de_dust2,success
11,T,bomb_exploded,True,cs2,de_dust2,success
12,CT,time_ran_out,True,cs2,de_dust2,success
13,T,ct_killed,True,cs2,de_dust2,success
14,T,ct_killed,True,cs2,de_dust2,success
15,T,ct_killed,True,cs2,de_dust2,success
16,T,bomb_exploded,True,cs2,de_dust2,success
17,CT,time_ran_out,True,cs2,de_dust2,success
18,CT,t_killed,True,cs2,de_dust2,success
19,CT,t_killed,True,cs2,de_dust2,success
20,CT,t_killed,True,cs2,de_dust2,success
21,T,ct_killed,True,cs2,de_dust2,success
22,CT,time_ran_out,True,cs2,de_dust2,success
23,T,bomb_exploded,True,cs2,de_dust2,success
24,T,ct_killed,True,cs2,de_dust2,success
