assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,glowiing,76561198174263909,False,False,0.74305993,5,61,0,False,generic,False,False,0,0,False,1040,bl1x1,76561199032362645,knife_widowmaker,17293822569158803979,45258802394,,0
False,,,alpha--,76561198845426189,False,False,0.7887054,5,61,0,False,generic,False,False,0,0,False,1154,glowiing,76561198174263909,knife_karambit,17293822569130230267,47215917234,,0
False,,,SoLb,76561198309457929,False,False,1.371453,5,61,0,False,generic,False,False,0,0,False,1334,Djon8,76561198163633612,knife_karambit,17293822569106571771,47060573366,,0
False,notineki,76561198293974689,FenomeN--,76561198400817766,False,False,1.1674492,4,55,0,False,generic,False,False,0,0,False,1782,yuramyata,76561199238748352,knife_widowmaker,17293822569158803979,47083298870,,0
False,,,alpha--,76561198845426189,False,False,1.1067407,4,55,0,False,generic,False,False,0,0,False,2255,k4nfuz-,76561198168987887,knife_karambit,17293822569130230267,47215917234,,0
False,notineki,76561198293974689,FenomeN--,76561198400817766,False,False,0.99880356,1,21,0,False,generic,False,False,0,0,False,2260,SoLb,76561198309457929,knife_widowmaker,17293822569158803979,47083298870,,0
False,SoLb,76561198309457929,1NVISIBLEE,76561198347665147,False,False,1.3454016,4,55,0,False,generic,False,False,0,0,False,2476,FenomeN--,76561198400817766,knife_butterfly,17293822569105326595,47038983993,,0
False,yuramyata,76561199238748352,1NVISIBLEE,76561198347665147,False,False,2.0835268,4,55,0,False,generic,False,False,0,0,False,2665,notineki,76561198293974689,knife_butterfly,17293822569105326595,47038983993,,0
False,k4nfuz-,76561198168987887,1NVISIBLEE,76561198347665147,False,False,1.7539036,1,21,0,False,generic,False,False,0,0,False,2786,alpha--,76561198845426189,knife_butterfly,17293822569105326595,47038983993,,0
False,k4nfuz-,76561198168987887,alpha--,76561198845426189,False,False,25.175694,0,87,0,True,head,False,False,0,0,False,6093,Djon8,76561198163633612,glock,17293822569125838852,27448840870,,0
False,alpha--,76561198845426189,yuramyata,76561199238748352,False,False,3.2609284,0,45,0,True,head,False,False,0,0,False,6215,k4nfuz-,76561198168987887,usp_silencer,17293822569177153597,38766438800,,0
False,,,SoLb,76561198309457929,False,False,23.044508,0,118,0,True,head,False,False,0,0,False,6439,bl1x1,76561199032362645,usp_silencer,17293822569177153597,38426130657,,0
