assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,soulfly,76561198327068178,Banjo,76561198276486363,False,False,5.6999826,7,13,0,False,chest,False,False,0,0,False,1413,turbo,76561199228548850,glock,17293822569120923652,22627792091,,0
False,,,Banjo,76561198276486363,False,False,11.212396,0,104,0,True,head,False,False,0,0,False,2068,AquaRS,76561198800147622,glock,17293822569120923652,22627792091,,0
False,,,Banjo,76561198276486363,False,False,6.621074,0,110,0,True,head,False,False,0,0,False,2164,TriBorgg1,76561198965249056,glock,17293822569120923652,22627792091,,0
False,,,Banjo,76561198276486363,False,False,18.262367,0,122,0,True,head,False,False,0,0,False,2584,F0R3VER,76561199012381348,usp_silencer,17293822569177546813,46525377579,,0
False,soulfly,76561198327068178,Banjo,76561198276486363,False,False,8.001484,8,16,0,False,chest,False,False,0,0,False,2836,lasfas,76561198141667219,usp_silencer,17293822569177546813,46525377579,,0
False,,,Banjo,76561198276486363,False,False,11.534569,0,29,0,False,stomach,False,False,0,0,False,8182,TriBorgg1,76561198965249056,mac10,17293822569176825873,36914366882,,0
False,,,Banjo,76561198276486363,False,False,12.487014,0,23,0,False,chest,False,False,0,0,False,8478,F0R3VER,76561199012381348,mac10,17293822569176825873,36914366882,,0
False,,,soulfly,76561198327068178,False,False,39.609806,0,42,0,False,stomach,False,False,0,0,False,8715,lasfas,76561198141667219,ak47,17293822569102704647,0,,0
False,,,Banjo,76561198276486363,False,False,7.431514,0,25,0,False,chest,False,False,0,0,False,8921,AquaRS,76561198800147622,mac10,17293822569176825873,36914366882,,0
False,,,Banjo,76561198276486363,False,False,16.610714,0,21,0,False,right_arm,False,False,0,0,False,9268,turbo,76561199228548850,mac10,17293822569176825873,36914366882,,0
False,,,AquaRS,76561198800147622,False,False,6.115648,17,82,0,True,head,False,False,0,0,False,15418,Banjo,76561198276486363,famas,17293822569132916746,40193743692,,0
False,,,AquaRS,76561198800147622,False,False,4.543358,17,82,0,True,head,False,False,0,0,False,15493,soulfly,76561198327068178,famas,17293822569132916746,40193743692,,0
False,Banjo,76561198276486363,shield,76561198253891911,False,False,7.039598,3,22,0,False,chest,False,False,0,0,False,15925,AquaRS,76561198800147622,galilar,17293822569102704653,0,,0
False,,,F0R3VER,76561199012381348,False,False,36.97558,4,22,0,False,chest,False,False,0,0,False,16020,paz,76561198028790343,m4a1_silencer,17293822569102704700,0,,0
False,,,F0R3VER,76561199012381348,False,False,10.397109,5,25,0,False,chest,False,False,0,0,False,16192,FinigaN,76561198186361079,m4a1_silencer,17293822569102704700,0,,0
False,,,TriBorgg1,76561198965249056,False,False,27.516066,6,29,0,False,stomach,False,False,0,0,False,16512,shield,76561198253891911,m4a1_silencer,17293822569169354812,47258686103,,0
False,,,FinigaN,76561198186361079,False,False,7.64234,16,110,0,True,head,False,False,0,0,False,18955,AquaRS,76561198800147622,ak47,17293822569168502791,44162723544,,0
False,,,F0R3VER,76561199012381348,False,False,32.662544,16,78,0,True,head,False,False,0,0,True,19096,FinigaN,76561198186361079,m4a1_silencer,17293822569102704700,0,,0
False,,,lasfas,76561198141667219,False,False,10.489184,18,87,0,True,head,False,False,0,0,False,20214,Banjo,76561198276486363,m4a1_silencer,17293822569141174332,47273083878,,0
False,,,F0R3VER,76561199012381348,False,False,38.15151,16,76,0,True,head,False,False,0,0,True,20309,paz,76561198028790343,m4a1_silencer,17293822569102704700,0,,0
False,,,soulfly,76561198327068178,False,False,35.691654,0,25,0,False,left_leg,False,False,0,0,True,20372,turbo,76561199228548850,ak47,17293822569144582151,37983025740,,0
False,TriBorgg1,76561198965249056,F0R3VER,76561199012381348,False,False,14.664545,5,24,0,False,chest,False,False,0,0,False,20938,shield,76561198253891911,m4a1_silencer,17293822569102704700,0,,0
False,FinigaN,76561198186361079,soulfly,76561198327068178,False,False,11.138497,15,109,0,True,head,False,False,0,0,False,21646,F0R3VER,76561199012381348,ak47,17293822569144582151,37983025740,,0
False,,,TriBorgg1,76561198965249056,False,False,21.764952,15,107,0,True,head,False,False,0,0,False,21751,soulfly,76561198327068178,ak47,17293822569102704647,0,,0
False,turbo,76561199228548850,F0R3VER,76561199012381348,False,False,14.208844,0,123,0,True,head,False,False,0,0,False,26994,Banjo,76561198276486363,m4a1_silencer,17293822569169354812,47258686103,,0
False,,,F0R3VER,76561199012381348,False,False,9.657303,0,126,0,True,head,False,False,0,0,False,27019,FinigaN,76561198186361079,m4a1_silencer,17293822569169354812,47258686103,,0
False,,,AquaRS,76561198800147622,False,False,24.058783,0,34,0,False,chest,False,False,0,0,False,27031,soulfly,76561198327068178,ak47,17293822569144582151,37983025740,,0
False,,,F0R3VER,76561199012381348,False,False,11.541848,0,124,0,True,head,False,False,0,0,False,27101,paz,76561198028790343,m4a1_silencer,17293822569169354812,47258686103,,0
False,,,AquaRS,76561198800147622,False,False,27.939634,0,34,0,False,chest,False,False,0,0,False,27131,shield,76561198253891911,ak47,17293822569144582151,37983025740,,0
False,,,paz,76561198028790343,False,False,18.95411,4,33,0,False,stomach,False,False,0,0,True,32644,AquaRS,76561198800147622,ak47,17293822569179447303,41920355914,,0
False,,,F0R3VER,76561199012381348,False,False,14.623194,5,24,0,False,chest,False,False,0,0,False,32900,FinigaN,76561198186361079,m4a1_silencer,17293822569169354812,47258686103,,0
False,,,F0R3VER,76561199012381348,False,False,11.000949,18,87,0,True,head,False,False,0,0,False,33253,soulfly,76561198327068178,m4a1_silencer,17293822569169354812,47258686103,,0
False,,,Banjo,76561198276486363,True,False,32.356155,0,5,0,False,right_leg,False,False,4,0,False,34028,TriBorgg1,76561198965249056,ak47,17293822569102704647,0,,0
False,AquaRS,76561198800147622,F0R3VER,76561199012381348,False,False,3.383927,5,34,0,False,stomach,False,False,0,0,False,34932,paz,76561198028790343,ak47,17293822569168502791,44162723544,,0
False,,,shield,76561198253891911,False,False,14.778214,15,109,0,True,head,False,False,0,0,True,35126,F0R3VER,76561199012381348,ak47,17293822569170534407,41097134975,,0
False,,,Banjo,76561198276486363,False,False,26.839672,15,106,0,True,head,False,False,0,0,False,35486,turbo,76561199228548850,ak47,17293822569102704647,0,,0
False,Banjo,76561198276486363,shield,76561198253891911,False,False,17.071968,3,27,0,False,right_arm,False,False,0,0,False,36254,lasfas,76561198141667219,ak47,17293822569170534407,41097134975,,0
False,,,lasfas,76561198141667219,False,False,21.172636,1,110,0,False,chest,False,False,0,0,False,38428,FinigaN,76561198186361079,awp,17293822569102704649,0,,0
False,,,shield,76561198253891911,False,False,51.71584,1,107,0,False,chest,False,False,0,0,False,41509,lasfas,76561198141667219,awp,17293822569120989193,44462461863,,0
False,soulfly,76561198327068178,paz,76561198028790343,False,False,13.277506,4,34,0,False,stomach,False,False,0,0,False,42125,F0R3VER,76561199012381348,ak47,17293822569102704647,0,,0
False,F0R3VER,76561199012381348,TriBorgg1,76561198965249056,False,False,23.427027,0,25,0,False,right_leg,False,False,0,0,False,43127,paz,76561198028790343,m4a1_silencer,17293822569169354812,47258686103,,0
True,turbo,76561199228548850,TriBorgg1,76561198965249056,False,False,18.710913,5,24,0,False,chest,False,False,0,0,False,43253,soulfly,76561198327068178,m4a1_silencer,17293822569169354812,47258686103,,0
False,soulfly,76561198327068178,Banjo,76561198276486363,False,False,6.025648,0,142,0,True,head,False,False,0,0,False,43345,turbo,76561199228548850,ak47,17293822569102704647,0,,0
False,soulfly,76561198327068178,Banjo,76561198276486363,False,False,8.836642,3,27,0,False,left_arm,False,False,0,0,False,43364,AquaRS,76561198800147622,ak47,17293822569102704647,0,,0
False,soulfly,76561198327068178,Banjo,76561198276486363,False,False,16.734076,0,140,0,True,head,False,False,0,0,False,43469,TriBorgg1,76561198965249056,ak47,17293822569102704647,0,,0
False,,,shield,76561198253891911,False,False,14.946385,0,140,0,True,head,False,False,0,0,False,45625,F0R3VER,76561199012381348,ak47,17293822569102704647,0,,0
False,,,Banjo,76561198276486363,False,False,26.332981,1,109,0,False,chest,False,False,0,0,False,45861,TriBorgg1,76561198965249056,awp,17293822569120989193,44462461863,,0
False,,,turbo,76561199228548850,False,False,17.950104,23,83,0,True,head,False,False,0,0,False,47845,FinigaN,76561198186361079,p250,17293822569166143524,42427921445,,0
False,,,soulfly,76561198327068178,False,False,24.479113,0,43,0,False,stomach,False,False,0,0,False,47950,lasfas,76561198141667219,ak47,17293822569144582151,37983025740,,0
False,lasfas,76561198141667219,AquaRS,76561198800147622,False,False,2.88854,6,23,0,False,left_arm,False,False,0,0,False,48104,soulfly,76561198327068178,p250,17293822569156771876,26785683510,,0
False,,,paz,76561198028790343,False,False,19.338041,0,139,0,True,head,False,False,0,0,False,48536,AquaRS,76561198800147622,ak47,17293822569102704647,0,,0
False,,,shield,76561198253891911,False,False,30.231709,0,449,0,True,head,False,False,0,0,False,50083,turbo,76561199228548850,awp,17293822569120989193,44462461863,,0
False,,,shield,76561198253891911,False,False,38.006332,1,108,0,False,right_arm,False,False,0,0,False,53453,F0R3VER,76561199012381348,awp,17293822569120989193,44462461863,,0
False,AquaRS,76561198800147622,lasfas,76561198141667219,False,False,32.52273,6,28,0,False,stomach,False,False,0,0,True,57216,soulfly,76561198327068178,m4a1_silencer,17293822569141174332,47273083878,,0
False,,,TriBorgg1,76561198965249056,False,False,27.03713,6,29,0,False,stomach,False,False,0,0,True,57489,Banjo,76561198276486363,m4a1_silencer,17293822569102704700,0,,0
False,,,paz,76561198028790343,False,False,37.187164,0,25,0,False,right_leg,False,False,0,0,True,57778,AquaRS,76561198800147622,ak47,17293822569102704647,0,,0
