assistedflash,assister_name,assister_steamid,attacker_name,attacker_steamid,attackerblind,attackerinair,distance,dmg_armor,dmg_health,dominated,headshot,hitgroup,noreplay,noscope,penetrated,revenge,thrusmoke,tick,user_name,user_steamid,weapon,weapon_fauxitemid,weapon_itemid,weapon_originalowner_xuid,wipe
False,,,F0R3VER,76561199012381348,False,False,10.304633,0,105,0,True,head,False,False,0,0,False,3921,FinigaN,76561198186361079,glock,17293822569102704644,0,,0
False,,,TriBorgg1,76561198965249056,False,False,22.657223,0,90,0,True,head,False,False,0,0,False,3992,shield,76561198253891911,glock,17293822569157230596,44605273108,,0
True,paz,76561198028790343,soulfly,76561198327068178,False,False,20.968237,0,119,0,True,head,False,False,0,0,False,4224,turbo,76561199228548850,hkp2000,17293822569102704672,0,,0
False,,,lasfas,76561198141667219,False,False,21.80127,0,91,0,True,head,False,False,0,0,False,4235,soulfly,76561198327068178,glock,17293822569105850372,45849525413,,0
False,,,Banjo,76561198276486363,False,False,3.1887908,0,137,0,True,head,False,False,0,0,False,5131,AquaRS,76561198800147622,usp_silencer,17293822569102704701,0,,0
False,,,TriBorgg1,76561198965249056,False,False,9.933168,0,105,0,True,head,False,False,0,0,False,5164,Banjo,76561198276486363,glock,17293822569157230596,44605273108,,0
False,,,paz,76561198028790343,False,False,11.1348095,0,129,0,True,head,False,False,0,0,False,5172,TriBorgg1,76561198965249056,usp_silencer,17293822569154871357,20187529365,,0
False,,,F0R3VER,76561199012381348,False,False,12.816788,0,102,0,True,head,False,False,0,0,False,6213,paz,76561198028790343,glock,17293822569102704644,0,,0
False,,,shield,76561198253891911,False,False,17.184624,17,51,0,True,head,False,False,0,0,False,8643,lasfas,76561198141667219,mp9,17293822569102704674,0,,0
False,,,AquaRS,76561198800147622,False,False,10.766697,0,96,0,True,head,False,False,0,0,False,8669,shield,76561198253891911,mac10,17293822569121316881,27898664335,,0
False,,,AquaRS,76561198800147622,False,False,8.387883,5,14,0,False,chest,False,False,0,0,False,8760,paz,76561198028790343,mac10,17293822569121316881,27898664335,,0
False,,,F0R3VER,76561199012381348,False,False,18.797531,0,139,0,True,head,False,False,0,0,False,9145,soulfly,76561198327068178,ak47,17293822569155198983,35919760054,,0
